SUM149_DMSO_12H_R	SUM149R_DMSO_12H_R	LOG2_FOLD_CHANGE	P_VALUE
ABI2	12.1974	9.217885	-0.404065981221218	0.11846766885559
ABL1	22.10265	23.64165	0.097111375631278	0.272908216591196
ABL2	3.79658	5.78671	0.608042937122923	0.153344394609063
ABLIM1	12.16015	14.1616	0.219823247526061	0.201584596097004
ABLIM2	0.4927765	0.5937975	0.269037562274181	0.341157681029688
ABLIM3	11.41255	13.38375	0.229861221233181	0.0672541380253252
ABR	18.87605	17.18235	-0.135629533236742	0.0953872566938604
ABRACL	65.605	75.64145	0.205371246962727	0.192336780080466
ABT1	31.6104	18.962	-0.737288152080776	0.0131136453439934
ABTB1	3.818105	3.791	-0.0102783216906903	0.881643829327726
ABTB2	5.864075	8.76265	0.579463680260436	0.0270214553687882
ACAA1	25.11425	28.2677	0.170648311438811	0.229097686293505
ACAA2	60.8982	82.7209	0.44185229593243	0.060557917955058
ACACA	21.72245	23.40215	0.107454250130397	0.553115613938293
ACACB	0.482686	0.8636075	0.839290789562466	0.0758118662099313
ACAD10	6.360495	7.579655	0.252993136973925	0.0748232633182676
ACAD11	4.58561	3.752345	-0.289321181903683	0.0963217302364655
ACAD8	5.04332	5.567025	0.142532794385753	0.407268694897036
ACAD9	15.7937	17.713	0.165459386039363	0.127588375157
ACADM	43.27555	31.68845	-0.449595061424251	0.0302655898584241
ACADS	1.886225	1.606735	-0.231369775552943	0.0963480297031839
ACADSB	4.58623	3.946565	-0.216711197431998	0.0968771127122576
ACADVL	121.1545	172.2535	0.507685305878854	0.0711732439518073
ACAP2	11.16185	9.87922	-0.176107118333218	0.0449775277170441
ACAP3	12.15825	5.92617	-1.03676367152761	0.0481561322444999
ACAT1	56.0141	62.40945	0.155974466162838	0.239676081366319
ACAT2	86.0799	63.8325	-0.43138524984567	0.0384479488062235
ACBD3	46.66045	32.28165	-0.531485900508204	0.0582365278745402
ACBD4	8.133955	8.297115	0.028652773088129	0.802472923620641
ACBD5	9.84178	11.4672	0.220521992342716	0.059970270608786
ACBD6	46.68525	49.9921	0.0987333223066754	0.339214221103083
ACBD7	1.173585	1.56925	0.419152872268687	0.0855291127228255
ACCS	2.203625	1.700285	-0.37410214572971	0.148476280873276
ACD	51.5792	38.0552	-0.43869579465504	0.0792205847254133
ACER2	0.589524	0.759031	0.36460826105543	0.155315225836757
ACER3	9.36635	8.61172	-0.121185536673992	0.357886394933591
ACIN1	59.5462	69.17285	0.216196454313978	0.0140421691036951
ACLY	70.3982	87.14625	0.307900043613586	0.00929831354905284
ACN9	11.60455	15.3095	0.399736586873467	0.112056620043324
ACO1	6.15441	9.599745	0.641375526113855	0.0126322398500928
ACO2	29.12825	32.9971	0.179920208393645	0.142865811646388
ACOT11	9.544875	5.866375	-0.702257007820471	0.119892020764016
ACOT13	10.8985	8.063895	-0.434580826588923	0.0562847116131947
ACOT2	6.28492	6.22908	-0.0128752798103973	0.833691363233885
ACOT4	1.24588	1.46779	0.236480455009246	0.428577878057205
ACOT7	69.76755	46.1406	-0.596519407406717	0.0258041280561961
ACOT8	28.9377	22.86595	-0.339749400141391	0.053973609106657
ACOT9	36.3138	23.29135	-0.640723643928934	0.00287180078757063
ACOX1	6.142265	3.46252	-0.826948352455211	0.00256178882738027
ACOX2	7.904915	8.829865	0.159641430995837	0.0830612604648152
ACOX3	3.750135	3.43156	-0.128077951617848	0.00227058861668955
ACOXL	2.000535	1.721025	-0.217117814869583	0.0942189602943647
ACP1	137.181	149.4795	0.123866965564604	0.345178371022846
ACP2	10.94435	11.6676	0.0923215589029938	0.334712883512674
ACP6	9.96255	8.134475	-0.292465822522471	0.0318355719408401
ACPL2	13.8004	7.610155	-0.858712340381166	0.0164877747461224
ACSF2	6.917005	4.901645	-0.496881498001371	0.117010787615531
ACSF3	8.613545	10.93105	0.343752966012098	0.0502220698800903
ACSL1	49.03575	51.8973	0.0818255391687045	0.0836638301608545
ACSL3	52.3324	43.0896	-0.280364717462853	0.0164713267899438
ACSL4	17.081	23.40025	0.454131503726317	0.0338589975094057
ACSS2	30.00475	29.6254	-0.0183562760479871	0.538564754682678
ACTA2	1.30983	0.5826135	-1.16876854333143	0.0599205566529437
ACTB	1404.035	1624.13	0.210088214758848	0.0910412342586473
ACTBL2	0.484057	0.788788	0.704460662191552	0.136857360817012
ACTG1	1965.415	2550.43	0.375906532929357	0.0105479232926931
ACTG1P4	0.4114535	0.5820685	0.500459549735096	0.600571313128742
ACTL10	3.23154	2.67751	-0.271329886222402	0.155860800897842
ACTL6A	89.51275	99.09665	0.146743096046467	0.176849727848554
ACTL8	2.473095	12.27085	2.31084562300457	0.000528197769971829
ACTN1	123.2815	124.005	0.00844197188601843	0.899474973555122
ACTN4	160.387	217.8265	0.441622267498675	0.0180021352823053
ACTR10	26.96045	31.2305	0.212111090165795	0.192471537336342
ACTR1A	43.813	34.06775	-0.362952335472795	0.0260099055773118
ACTR1B	16.1036	16.792	0.0603908292679438	0.645483070365632
ACTR2	129.449	117.1455	-0.144082284476129	0.0737187685883787
ACTR3	73.77825	81.40735	0.141963487423874	0.155946621602491
ACTR3B	6.070865	9.06181	0.577897150198682	0.0282044305832876
ACTR5	11.73045	13.20995	0.171366647295409	0.0151957562519111
ACTR6	56.1028	56.0202	-0.00212564116078257	0.977388231476783
ACTR8	5.18471	5.08404	-0.0282879148634195	0.8519691710051
ACTRT3	4.885515	4.343385	-0.169690810239262	0.25028589284502
ACVR1	9.45734	7.757325	-0.285875217958556	0.136736369856522
ACVR1B	4.58347	4.19419	-0.128048012606653	0.114787249845608
ACVR2A	2.527555	2.11846	-0.254726597234137	0.26860725907329
ACVR2B	1.176795	1.194645	0.0217189495332075	0.809059344311121
ACY1	13.7338	18.04555	0.393912255510137	0.120686471546517
ACYP1	16.02465	12.24335	-0.388294487513557	0.0478102880954691
ACYP2	7.953345	5.711305	-0.47774132278558	0.0972723056576705
ADA	8.849055	6.572705	-0.429036161865351	0.0481970038346397
ADAL	4.09599	4.11355	0.00617178637386499	0.955326173404688
ADAM10	7.831355	9.516505	0.281169883714717	0.162054172069577
ADAM15	75.96475	64.04615	-0.246218270002461	0.109434095275557
ADAM17	22.96085	22.9036	-0.00360167118489283	0.973395759784847
ADAM19	8.96466	7.615335	-0.235341364933351	0.163710940778157
ADAM22	1.09204	1.644075	0.59025041263585	0.237520670491299
ADAM8	27.8666	27.19775	-0.0350496842003761	0.785597241308599
ADAM9	38.18835	31.38705	-0.282963147386327	0.141279490292773
ADAMTS1	2.625995	0.44831	-2.55029558367755	0.0197428681962096
ADAMTS6	0.573099	1.107495	0.950443901458599	0.0324120213292661
ADAMTS7	1.893055	1.443225	-0.391420092345082	0.218931373673068
ADAMTSL4	5.51059	2.96014	-0.896541381666601	0.0398062993108108
ADAP1	5.850985	5.380185	-0.121023738235692	0.61253901373436
ADAR	38.09595	40.15155	0.0758180500217066	0.357643075747686
ADARB1	3.69445	3.351765	-0.140438601628075	0.111437279341487
ADARB2	1.020845	1.0396815	0.0263778040986112	0.856340558834098
ADAT1	8.369835	8.855905	0.0814405637012986	0.604556588319143
ADAT2	3.253445	3.521155	0.114080570574573	0.103438123213558
ADAT3	3.17429	3.19887	0.0111284260665425	0.972696399639412
ADC	1.18677	0.6246185	-0.925993157980594	0.055757258291015
ADCK1	2.875335	2.663215	-0.110561150308034	0.517492320631437
ADCK2	8.12071	13.98305	0.784001303459368	0.0394900626728754
ADCK3	30.96135	32.09665	0.0519543495338195	0.189748266523811
ADCK4	9.73239	11.69855	0.265463684422553	0.240069363872314
ADCK5	3.25451	2.418585	-0.428277105649601	0.0942151881796322
ADCY1	3.662875	4.979755	0.443098296397629	0.212008212041491
ADCY3	25.05115	26.71135	0.0925760586660194	0.0604052416157078
ADCY6	8.11637	7.380995	-0.137019321690203	0.219354299951835
ADCY7	18.0346	19.1345	0.0854087776092019	0.430801404359445
ADCY9	1.39659	2.038855	0.545850629168428	0.0479738739100788
ADD1	39.32665	31.95	-0.29969136585787	0.00741997876333452
ADD2	16.64415	17.94675	0.108707412829371	0.276506951459
ADD3	18.24545	11.5928	-0.6543076720876	0.027376967498472
ADH5	56.12365	65.33665	0.219283647862803	0.0575723872587852
ADI1	72.2784	111.174	0.621182952571095	0.0598560943987336
ADIPOR1	87.68855	89.7116	0.0329060683893151	0.555058957922934
ADIPOR2	44.6677	55.2958	0.307937934279567	0.0577474919390655
ADIRF	15.908	39.98645	1.32975873700468	0.0520875681991008
ADK	31.49875	25.40715	-0.310060024850733	0.0120767506393456
ADM	8.794265	3.882715	-1.17949719225401	0.0473607790695082
ADM2	1.0941175	1.562625	0.514203919701925	0.116968173185055
ADM5	1.551205	3.133795	1.01452144890739	0.00533883873116351
ADNP	25.3828	28.4825	0.166224558840322	0.145514603378163
ADNP2	14.933	15.97865	0.0976414951856042	0.288344787017294
ADO	12.89695	12.54385	-0.0400497101543875	0.494561410650791
ADORA1	2.385865	3.57892	0.585011882424898	0.0818981353383886
ADORA2B	11.6675	16.04865	0.459956476760798	0.0423003734155476
ADPGK	34.33895	60.01155	0.805394266814432	0.00315686603848693
ADPGK-AS1	1.895955	2.82784	0.576775771706357	0.213436519466814
ADPRH	1.18513	1.4004	0.240793646094343	0.00379140611895554
ADPRHL1	6.06267	3.06606	-0.98356736707355	0.0154432113352764
ADPRHL2	37.77705	22.19375	-0.767356591198423	0.0735432606202093
ADPRM	3.27114	4.734335	0.533368288338512	0.129968359143571
ADRA1B	2.569745	1.70027	-0.595861343445597	0.0408892807204862
ADRB2	0.461372	3.38473	2.87503839785639	0.004227835776177
ADRBK1	52.71965	38.7924	-0.442566757500711	0.10092345563944
ADRBK2	0.6621785	1.42028	1.10088330242624	0.0107941877187706
ADRM1	180.5745	186.015	0.0428247873681968	0.783117808654014
ADSL	87.3375	71.57735	-0.287098103146915	0.0359565815397525
ADSS	61.5061	52.5713	-0.22645408915951	0.0695444484689802
ADSSL1	1.51416	1.267835	-0.256150660874324	0.209569449796085
ADTRP	4.144625	2.76119	-0.585951410050178	0.0994929393473431
AEBP2	14.64685	19.792	0.434326978186921	0.00178408272553268
AEN	19.2574	37.3094	0.954126225602671	4.85513028773723e-05
AES	101.0366	137.466	0.444196838710667	0.0914329703250196
AFAP1	13.26495	10.9419	-0.277755961737451	0.23688930797765
AFAP1L1	5.336335	6.916955	0.3742878329607	0.0206580278257935
AFAP1L2	1.399145	0.439267	-1.67137545761639	0.0612197336170466
AFF1	4.950475	5.1051	0.0443722622744947	0.759991696053848
AFF4	11.2307	14.17765	0.336170567645095	0.19215387661636
AFG3L1P	11.569	9.27899	-0.318224481848777	0.186128152713465
AFG3L2	58.72575	70.10405	0.255504559624387	0.0877208255020042
AFMID	6.84031	5.381365	-0.346089545637513	0.141424245329069
AFTPH	13.82845	19.0851	0.464807288754064	0.0983690634204906
AGA	18.25185	19.89155	0.124112996627227	0.237278504248144
AGAP1	4.96342	4.568205	-0.119707145655566	0.270805829310843
AGAP3	31.20115	33.0726	0.084037262984163	0.394045238898989
AGAP5	0.4931175	0.371656	-0.407963553812433	0.315988164630925
AGAP6	1.485745	1.63311	0.1364354427207	0.212254520014998
AGBL5	16.229	13.35245	-0.281469624630764	0.0110520084013681
AGER	4.729815	2.222235	-1.08977236678183	0.136642723627415
AGFG1	11.07335	11.8661	0.0997541020819301	0.159999150181852
AGFG2	2.454445	2.766275	0.172547745644398	0.0520138796158214
AGGF1	11.5579	13.7832	0.25403157991868	0.032138223632957
AGK	8.512585	11.08355	0.380750838747072	0.0720748781540897
AGL	7.229795	5.299945	-0.447977352071005	0.0405455066526208
AGMAT	7.945685	6.96662	-0.189712727673938	0.0315946500177982
AGO1	9.70219	6.220725	-0.641227702057648	0.0482228397906433
AGO2	20.3841	17.7189	-0.202155216980531	0.387663341093768
AGO3	7.18223	3.76254	-0.93272493444586	0.0225118180953881
AGO4	2.09946	0.819624	-1.35698416678945	0.0114481243259994
AGPAT1	51.1765	28.68195	-0.835338371837934	0.00472700373436527
AGPAT2	47.18265	44.5504	-0.0828180642261069	0.527315822421419
AGPAT3	15.13715	15.632	0.0464087699957411	0.446359623731972
AGPAT4	1.43053	1.0188865	-0.489556403266011	0.0688158394116212
AGPAT5	21.485	24.633	0.197262564145968	0.0753774054421759
AGPAT6	25.6355	25.25255	-0.0217139582038674	0.173577298578059
AGPAT9	4.146775	2.12574	-0.964024619003902	0.0204213739371114
AGPHD1	3.66553	5.249075	0.518041398139387	0.136598700087003
AGPS	18.76655	19.9917	0.0912377045299811	0.209883460027611
AGR2	5.10304	2.50587	-1.02604537808759	0.0167523244833618
AGRN	39.63365	15.22285	-1.38048735279246	0.0596366101608515
AGTPBP1	4.895575	6.9731	0.510321852558538	0.0133123940967744
AGTRAP	77.7749	57.9447	-0.424627925825612	0.0330804211521998
AGXT2L2	5.23752	5.21986	-0.00487273459364478	0.965591607305228
AHCTF1	12.9292	11.6792	-0.146691554407637	0.348260482318958
AHCY	194.3525	184.841	-0.072390865809951	0.284335421193494
AHCYL1	66.3012	46.51925	-0.511207144876224	0.0161996707682976
AHCYL2	2.651845	4.31714	0.703079425962545	0.0762807994908224
AHDC1	4.885975	2.274755	-1.10293531201994	0.0264368415201896
AHI1	6.84391	6.41272	-0.0938843721268094	0.520105353094932
AHNAK	35.0249	54.498	0.637822354374274	0.186761729820534
AHNAK2	3.91026	8.630195	1.14212861956259	0.126770864909007
AHR	13.73845	13.55	-0.0199263939557831	0.764665002588169
AHRR	0.5825825	0.6971695	0.259047089850743	0.442849401578957
AHSA1	173.245	207.313	0.258996870985686	0.133364433525419
AHSA2	32.96905	30.32945	-0.120392980394852	0.21062368571761
AIDA	102.1875	77.9714	-0.390201786709736	0.0354287189217398
AIF1L	8.79756	17.87475	1.02274771079051	0.0197719136202583
AIFM1	74.2367	61.4564	-0.272569321572199	0.0635428687664224
AIFM2	14.9457	12.93455	-0.208500606217866	0.0941594234690314
AIG1	26.05045	28.5515	0.132258247851526	0.447074514316416
AIM1	21.64135	27.50745	0.346031906780297	0.220437009184925
AIM1L	2.11779	0.573183	-1.88549181227866	0.0291249940883054
AIMP1	30.49285	34.00245	0.157167704056502	0.17216458381711
AIMP2	38.34015	42.5865	0.151540184561157	0.117460228472109
AIP	50.44445	45.7523	-0.140851279343723	0.299366435948143
AJUBA	7.8958	10.054075	0.348623004186694	0.0175873322084939
AK1	22.59785	21.9164	-0.0441746787015331	0.69568000661322
AK2	105.4985	87.9994	-0.261656894262929	0.08400635038937
AK3	29.00055	35.34525	0.285436084801543	0.0225903780919504
AK4	19.70995	15.5252	-0.34431226280258	0.00827952018806913
AKAP1	32.7512	45.49735	0.474234749978552	0.00896475650055051
AKAP10	9.224725	13.17195	0.513891132189628	0.0745759127094529
AKAP11	7.828975	6.854915	-0.191684659711583	0.187395509720287
AKAP12	5.88152	7.963925	0.437290586147803	0.105181201790746
AKAP13	6.67983	9.014805	0.432484897999012	0.173592068675687
AKAP2	11.251	20.64025	0.875407209856922	0.0233748335130227
AKAP7	3.898865	3.1162	-0.323266372022557	0.0736559141151302
AKAP8	13.2849	13.84545	0.0596245762304949	0.597860016046551
AKAP8L	24.50605	24.83475	0.0192222613061179	0.677657760778923
AKAP9	4.13768	4.62432	0.160419160544509	0.488408250000267
AKD1	1.64416	1.63502	-0.00804241720282284	0.97070689204786
AKIP1	15.3526	17.3151	0.173547719378292	0.374361178839748
AKIRIN1	37.417	23.7908	-0.653290106309962	0.0115043970760411
AKIRIN2	24.36785	25.97935	0.0923863689559003	0.26433125735461
AKNA	2.699105	3.375325	0.322545320356521	0.0920423944293391
AKR1A1	29.92675	22.78135	-0.393582370589602	0.014966135898723
AKR1B1	134.6045	212.5075	0.65878711711178	0.0700159278540513
AKR1B10	0.4509555	1.767025	1.97026546999561	0.0254491736959474
AKR1C1	2.831825	6.821485	1.268353727186	0.0548422551161375
AKR1C2	0.5347835	2.12485	1.99033414147431	0.013511157060046
AKR1C3	4.061225	22.00395	2.43777566705167	0.0409722110333968
AKR1E2	1.372945	2.03237	0.565889241186664	0.0171811412689059
AKR7A2	24.79665	22.70965	-0.126839755800112	0.0686262660024044
AKR7A2P1	0.8080905	0.3088715	-1.38751011527272	0.110318342380761
AKT1	73.85455	61.07045	-0.27421232890111	0.0737677714784076
AKT1S1	29.56975	43.56155	0.558933242588614	0.025558094341233
AKT2	27.9699	28.64195	0.03425462165104	0.541038956274097
AKT3	24.50065	19.8426	-0.304218948106975	0.303314518607066
AKTIP	12.2976	21.37755	0.797719734094426	0.0333848979183091
ALAD	8.0241	10.017195	0.320067093071126	0.160398903850644
ALAS1	10.250825	13.79525	0.428431577292098	0.0505566181686072
ALCAM	21.65545	19.3392	-0.163202035470254	0.0850773813087577
ALDH16A1	9.05035	11.121	0.297241029925424	0.181220024407277
ALDH18A1	55.7128	44.24815	-0.332391686553021	0.0182393421962161
ALDH1A1	2.29256	2.824705	0.301140714575797	0.00307865006751036
ALDH1A3	8.081715	7.525975	-0.102782979049701	0.375496761101819
ALDH1B1	10.2107	15.0806	0.562612054787817	0.0900434102698255
ALDH1L2	1.64012	2.99177	0.867197894570023	0.0933879767156086
ALDH2	18.4841	29.70405	0.68437484905781	0.0730695029812232
ALDH3A2	24.8622	26.051	0.0673847903391914	0.100284158581119
ALDH3B1	11.6341	8.923345	-0.382703085420191	0.135266757339723
ALDH3B2	7.74058	5.6092	-0.464646646999416	0.00513661073297207
ALDH4A1	1.7026	2.76191	0.697926772946406	0.0263620934307448
ALDH5A1	13.51115	9.66452	-0.483380488569006	0.0414525344598227
ALDH6A1	4.804465	3.76406	-0.352086163849709	0.0781755012943569
ALDH7A1	29.4582	34.77875	0.239536801663319	0.0743960948646831
ALDH9A1	27.5909	20.9844	-0.394875304066376	0.0758521778583007
ALDOA	1185.435	977.348	-0.278472306001801	0.0399394589103364
ALDOC	5.80633	1.877885	-1.62851785283907	0.00144373797442798
ALG1	6.71408	10.48415	0.642948267678874	0.00270509916384536
ALG10	2.90269	2.32906	-0.317642698018613	0.0822164791600458
ALG10B	5.331525	3.641045	-0.550195681254907	0.0212653097164157
ALG11	4.276845	4.860505	0.184559293227134	0.14957360429245
ALG12	9.21411	8.94712	-0.0424214551098588	0.74310935330681
ALG13	5.615045	7.99633	0.510040427100091	0.0405479108079879
ALG14	7.51747	9.70864	0.369022009598127	0.0561581703184226
ALG1L	0.51617	0.4764455	-0.115535098368302	0.844181856266439
ALG1L9P	1.84973	1.47556	-0.326052114292444	0.356785862952858
ALG2	19.18325	25.1852	0.392729027245476	0.0252182500490563
ALG3	83.9437	90.37745	0.106540797411387	0.329732009273348
ALG5	43.7527	36.6443	-0.255783243673088	0.0656414627841342
ALG6	5.58223	5.910855	0.082525262274025	0.285927186542568
ALG8	50.95495	51.904	0.0266234213862592	0.708256708836852
ALG9	4.904115	5.00997	0.0308091543184032	0.656620778207114
ALKBH1	5.372785	5.74872	0.097570656236635	0.429486133624133
ALKBH2	19.79385	25.90825	0.388359319580478	0.193510371170688
ALKBH3	19.9786	26.36425	0.400127466224381	0.163176257054237
ALKBH4	6.571	7.416165	0.174560400279646	0.286170453110732
ALKBH5	35.74745	34.8232	-0.0377915503889477	0.730082582252032
ALKBH6	11.7041	10.32375	-0.181046890394401	0.0546522584381663
ALKBH7	9.03622	6.471855	-0.481540110707025	0.128351666772743
ALKBH8	3.935585	7.00058	0.830896355462607	0.00454863670115243
ALMS1	4.500975	3.607895	-0.319080198831799	0.249596648893358
ALOX12	0.6079885	0.491805	-0.305957633236604	0.233202463548343
ALOX12P2	4.923595	4.21329	-0.224764875221659	0.335345523099101
ALOXE3	1.86541	1.91985	0.0415008395298507	0.0922015158505426
ALPK1	1.790825	1.451495	-0.303084761297744	0.238823248042884
ALPP	18.79975	16.4615	-0.191617674414925	0.144541874457144
ALS2	5.489865	5.470755	-0.00503072456986831	0.957547613205139
ALS2CL	2.935545	3.40052	0.212127004534289	0.0228967164794475
ALS2CR8	1.341545	1.39042	0.0516252910180289	0.565745540589208
ALX1	3.826515	3.07194	-0.316881016913885	0.0937459443271916
ALX3	2.34395	1.18871	-0.979544999894771	0.0758736120433157
ALX4	7.09579	5.584965	-0.3454150740726	0.0319780125142455
ALYREF	251.554	262.434	0.0610865120888621	0.560829832680705
AMACR	2.110985	3.420105	0.69612429031886	0.174697045762953
AMBRA1	10.68835	12.7979	0.259867942557638	0.196405598576478
AMD1	59.5487	79.2337	0.412044160621363	0.000693675650949465
AMDHD2	8.61313	7.092565	-0.280230139189499	0.0691057740036212
AMER1	5.64781	4.001745	-0.497062316735696	0.088322698755143
AMFR	22.90465	27.05215	0.240102740840542	0.0341115758109793
AMH	3.031155	7.810315	1.36551310815952	0.00982126918919145
AMIGO1	1.941925	1.59533	-0.283632601083003	0.154871437557421
AMIGO2	63.24145	75.49625	0.255534539431461	0.0440816686739908
AMIGO3	1.387435	2.829765	1.02826206415201	0.0536052395209991
AMMECR1	9.9835	13.03045	0.38426932035892	0.00412065578449993
AMMECR1L	8.46477	12.0301	0.507105861278937	0.0142425166367374
AMN	2.54988	1.45683	-0.807596817298373	0.1864589964752
AMN1	3.097765	2.855455	-0.117507054885507	0.209630280712728
AMOT	0.1583225	0.809467	2.35410596792822	0.012108617886686
AMOTL1	6.27286	10.29201	0.714329494425943	0.145782747737538
AMOTL2	6.14178	14.05155	1.19400053951804	0.0122796468173778
AMPD2	24.1226	15.05365	-0.68027207918928	0.0746575102181851
AMPD3	1.129515	1.557405	0.46344073321466	0.0697216609747965
AMT	2.00976	1.13788	-0.8206748089314	0.0691968800026879
AMY2B	0.762305	0.5920565	-0.364633479929682	0.147377165062781
AMZ1	1.0201565	0.3030275	-1.75126985935936	0.00212836670415761
AMZ2	60.3576	61.6532	0.0306403359946148	0.612372769831185
AMZ2P1	1.318555	0.8580555	-0.619814879625776	0.0294590795764482
ANAPC1	16.2278	17.9886	0.148615483004207	0.301686440914962
ANAPC10	8.25204	9.55193	0.211041449652892	0.545089072656721
ANAPC11	103.5675	96.53145	-0.101500394193361	0.500560769530724
ANAPC13	29.1886	35.22545	0.271213121697892	0.0128817941896238
ANAPC15	34.98575	24.0452	-0.54101849334735	0.0175374389060504
ANAPC16	22.911	22.38765	-0.033337331075633	0.698526662838581
ANAPC2	26.8457	29.2135	0.121944190811245	0.191007779769222
ANAPC4	16.3648	13.2189	-0.307993841657578	0.0884806904116175
ANAPC5	75.41025	100.4022	0.412958344168227	0.0599182130599858
ANAPC7	30.78375	44.69095	0.537813724672229	0.0190439607114574
ANG	1.48414	0.8601785	-0.786919211890548	0.16919711874986
ANGEL1	11.1447	10.32795	-0.109803860400029	0.37378158358363
ANGEL2	8.13128	7.48588	-0.119310552837377	0.158573729371033
ANGPT1	2.24969	1.502	-0.58284140357899	0.0277457892768903
ANGPTL4	30.2609	46.32315	0.614278464839151	0.0349996035748314
ANGPTL6	1.40761	1.311765	-0.1017383812324	0.677729737936529
ANK3	3.760495	1.811225	-1.05395680199962	0.0610034333429526
ANKEF1	11.789	9.729875	-0.276948171245373	0.0719229440770756
ANKFY1	15.60535	20.5154	0.394666568839608	0.158890151742241
ANKH	2.126775	3.187225	0.583633455878791	0.0163165902844805
ANKHD1	18.6904	20.502	0.133467208549943	0.418366089103534
