SUM149_DMSO_12H_R	SUM149_JQ1_12H_R	SUM149R_DMSO_12H_R	SUM149R_JQ1_12H_R
ABT1	31.6104	22.16045	18.962	14.4833
ABTB1	3.818105	4.05877	3.791	4.672075
ABTB2	5.864075	11.6695	8.76265	15.7386
ACAA1	25.11425	45.05	28.2677	36.88785
ACAA2	60.8982	48.59055	82.7209	71.96325
ACACA	21.72245	14.89255	23.40215	17.9917
ACACB	0.482686	0.593806	0.8636075	1.527825
ACAD10	6.360495	10.24055	7.579655	11.28955
ACAD11	4.58561	4.94159	3.752345	3.5142
ACAD8	5.04332	8.9865	5.567025	7.67723
ACAD9	15.7937	17.85425	17.713	21.45265
ACADM	43.27555	41.08735	31.68845	33.49235
ACADS	1.886225	2.37885	1.606735	2.257885
ACADSB	4.58623	5.844655	3.946565	5.301125
ACADVL	121.1545	246.59	172.2535	254.34
ACAP2	11.16185	15.47385	9.87922	12.92375
ACAP3	12.15825	19.81975	5.92617	9.75998
ACAT1	56.0141	52.88145	62.40945	55.4004
ACAT2	86.0799	57.4898	63.8325	43.2297
ACBD3	46.66045	52.4093	32.28165	42.2095
ACBD4	8.133955	9.91296	8.297115	9.09534
ACBD5	9.84178	8.07585	11.4672	9.287925
ACBD6	46.68525	32.48035	49.9921	39.52085
ACBD7	1.173585	3.515095	1.56925	3.963885
ACCS	2.203625	2.77567	1.700285	1.616925
ACD	51.5792	38.3073	38.0552	37.65065
ACER2	0.589524	3.92192	0.759031	3.645565
ACER3	9.36635	8.959245	8.61172	9.21489
ACIN1	59.5462	68.98185	69.17285	69.40345
ACLY	70.3982	64.57225	87.14625	88.45545
ACN9	11.60455	12.0804	15.3095	19.1318
ACO1	6.15441	7.945845	9.599745	13.34125
ACO2	29.12825	37.52395	32.9971	40.12095
ACOT11	9.544875	7.55649	5.866375	3.65671
ACOT13	10.8985	8.963545	8.063895	7.064
ACOT2	6.28492	4.02357	6.22908	4.77184
ACOT4	1.24588	0.5629955	1.46779	1.76124
ACOT7	69.76755	78.4027	46.1406	66.3047
ACOT8	28.9377	39.01375	22.86595	25.4882
ACOT9	36.3138	52.79785	23.29135	27.4161
ACOX1	6.142265	9.932495	3.46252	5.029195
ACOX2	7.904915	7.400105	8.829865	5.1334
ACOX3	3.750135	4.506455	3.43156	3.966055
ACOXL	2.000535	0.784755	1.721025	1.0061405
ACP1	137.181	127.4625	149.4795	141.005
ACP2	10.94435	13.8249	11.6676	12.74425
ACP6	9.96255	8.363725	8.134475	5.63586
ACPL2	13.8004	3.42685	7.610155	4.73585
ACSF2	6.917005	9.57944	4.901645	9.28675
ACSF3	8.613545	5.938635	10.93105	9.92994
ACSL1	49.03575	50.7053	51.8973	52.60895
ACSL3	52.3324	58.84805	43.0896	48.16265
ACSL4	17.081	12.91725	23.40025	18.9842
ACSS2	30.00475	44.4539	29.6254	39.36145
ACTA2	1.30983	1.498205	0.5826135	1.0000455
ACTB	1404.035	1794.595	1624.13	2104.86
ACTBL2	0.484057	1.24965	0.788788	1.586675
ACTG1	1965.415	3096.11	2550.43	4230.665
ACTG1P4	0.4114535	0.69932	0.5820685	0.890813
ACTL10	3.23154	8.559885	2.67751	4.886695
ACTL6A	89.51275	77.56375	99.09665	105.181
ACTL8	2.473095	0.8559425	12.27085	3.576685
ACTN1	123.2815	115.987	124.005	128.005
ACTN4	160.387	248.221	217.8265	288.193
ACTR10	26.96045	26.2663	31.2305	29.6933
ACTR1A	43.813	50.24225	34.06775	39.77775
ACTR1B	16.1036	20.8984	16.792	20.37495
ACTR2	129.449	124.9405	117.1455	124.843
ACTR3	73.77825	60.97535	81.40735	64.8351
ACTR3B	6.070865	5.79008	9.06181	8.596585
ACTR5	11.73045	10.2997	13.20995	13.5826
ACTR6	56.1028	30.2867	56.0202	36.1492
ACTR8	5.18471	5.970835	5.08404	5.892245
ACTRT3	4.885515	3.18664	4.343385	2.898995
ACVR1	9.45734	16.45675	7.757325	11.1005
ACVR1B	4.58347	2.420905	4.19419	2.94008
ACVR2A	2.527555	4.26189	2.11846	3.6231
ACVR2B	1.176795	0.3747515	1.194645	0.511024
ACY1	13.7338	8.306275	18.04555	11.51215
ACYP1	16.02465	19.82865	12.24335	16.55565
ACYP2	7.953345	10.099325	5.711305	6.72132
ADA	8.849055	3.50738	6.572705	4.61973
ADAL	4.09599	4.519295	4.11355	5.27044
ADAM10	7.831355	8.020135	9.516505	11.28125
ADAM15	75.96475	75.85955	64.04615	67.7216
ADAM17	22.96085	30.6488	22.9036	27.55555
ADAM19	8.96466	2.74202	7.615335	3.80709
ADAM22	1.09204	1.0316535	1.644075	1.81449
ADAM8	27.8666	48.9064	27.19775	37.94255
ADAM9	38.18835	36.2582	31.38705	29.1053
ADAMTS1	2.625995	1.51336	0.44831	0.190495
ADAMTS6	0.573099	0.1900545	1.107495	0.1696075
ADAMTS7	1.893055	1.546775	1.443225	1.46094
ADAMTSL4	5.51059	2.64146	2.96014	1.52919
ADAP1	5.850985	2.058125	5.380185	2.43849
ADAR	38.09595	29.8713	40.15155	40.0536
ADARB1	3.69445	9.649855	3.351765	6.629835
ADARB2	1.020845	0.525641	1.0396815	1.033755
ADAT1	8.369835	11.424	8.855905	11.62245
ADAT2	3.253445	0.576586	3.521155	0.869427
ADAT3	3.17429	6.23407	3.19887	5.907165
ADC	1.18677	4.375135	0.6246185	2.17965
ADCK1	2.875335	4.21344	2.663215	3.609145
ADCK2	8.12071	5.731345	13.98305	11.0208
ADCK3	30.96135	26.27175	32.09665	31.8369
ADCK4	9.73239	9.235	11.69855	8.127155
ADCK5	3.25451	8.09028	2.418585	5.237545
ADCY1	3.662875	2.14346	4.979755	4.281485
ADCY3	25.05115	8.497365	26.71135	21.75145
ADCY6	8.11637	4.69124	7.380995	6.291885
ADCY7	18.0346	3.84947	19.1345	5.52371
ADCY9	1.39659	0.685008	2.038855	1.82314
ADD1	39.32665	37.66825	31.95	32.80315
ADD2	16.64415	6.935895	17.94675	15.0774
ADD3	18.24545	16.58005	11.5928	13.1435
ADH5	56.12365	45.15025	65.33665	52.2657
ADI1	72.2784	161.2985	111.174	221.4635
ADIPOR1	87.68855	94.18325	89.7116	95.0647
ADIPOR2	44.6677	53.4672	55.2958	64.6305
ADIRF	15.908	19.06325	39.98645	44.37475
ADK	31.49875	53.57795	25.40715	39.98715
ADM	8.794265	21.74525	3.882715	5.85912
ADM2	1.0941175	0.7657675	1.562625	0.6430435
ADM5	1.551205	1.65987	3.133795	2.910445
ADNP	25.3828	13.6467	28.4825	15.78625
ADNP2	14.933	11.55025	15.97865	16.61985
ADO	12.89695	11.75765	12.54385	13.6959
ADORA1	2.385865	0.228157	3.57892	0.488036
ADORA2B	11.6675	4.18957	16.04865	8.14936
ADPGK	34.33895	34.0886	60.01155	65.4319
ADPGK-AS1	1.895955	1.946375	2.82784	3.18195
ADPRH	1.18513	0.308748	1.4004	0.4254305
ADPRHL1	6.06267	4.868675	3.06606	3.20266
ADPRHL2	37.77705	54.08735	22.19375	28.7929
ADPRM	3.27114	9.11998	4.734335	9.344585
ADRA1B	2.569745	1.372395	1.70027	0.674597
ADRB2	0.461372	2.1092	3.38473	4.068455
ADRBK1	52.71965	39.0448	38.7924	35.3915
ADRBK2	0.6621785	0.409813	1.42028	1.177265
ADRM1	180.5745	228.6045	186.015	214.703
ADSL	87.3375	64.6884	71.57735	68.88465
ADSS	61.5061	38.7274	52.5713	38.29895
ADSSL1	1.51416	1.77946	1.267835	1.66764
ADTRP	4.144625	2.741545	2.76119	1.905695
AEBP2	14.64685	12.1364	19.792	15.81085
AEN	19.2574	9.101605	37.3094	24.72185
AES	101.0366	48.24355	137.466	72.22115
AFAP1	13.26495	9.100215	10.9419	10.7282
AFAP1L1	5.336335	1.97323	6.916955	4.819055
AFAP1L2	1.399145	1.087825	0.439267	0.2681135
AFF1	4.950475	9.048895	5.1051	6.737205
AFF4	11.2307	18.1489	14.17765	17.70135
AFG3L1P	11.569	11.3849	9.27899	9.797325
AFG3L2	58.72575	68.7938	70.10405	79.2315
AFMID	6.84031	21.7662	5.381365	9.78106
AFTPH	13.82845	18.09285	19.0851	20.71085
AGA	18.25185	17.5124	19.89155	18.50665
AGAP1	4.96342	3.870135	4.568205	3.91767
AGAP3	31.20115	21.18855	33.0726	29.84075
AGAP5	0.4931175	1.871495	0.371656	0.7471505
AGAP6	1.485745	1.89613	1.63311	1.286255
AGBL5	16.229	9.818855	13.35245	10.4418
AGER	4.729815	2.919615	2.222235	1.365265
AGFG1	11.07335	12.15485	11.8661	12.68655
AGFG2	2.454445	3.954295	2.766275	5.333185
AGGF1	11.5579	11.7744	13.7832	13.1597
AGK	8.512585	7.64514	11.08355	11.88865
AGL	7.229795	7.5829	5.299945	6.148305
AGMAT	7.945685	3.18008	6.96662	3.390655
AGO1	9.70219	8.710205	6.220725	6.640205
AGO2	20.3841	17.59755	17.7189	15.9337
AGO3	7.18223	15.4353	3.76254	6.2478
AGO4	2.09946	0.2820215	0.819624	0.2101225
AGPAT1	51.1765	47.49125	28.68195	26.65275
AGPAT2	47.18265	44.1297	44.5504	45.5547
AGPAT3	15.13715	3.45822	15.632	9.401765
AGPAT4	1.43053	2.17651	1.0188865	1.136365
AGPAT5	21.485	13.08945	24.633	18.15895
AGPAT6	25.6355	33.97895	25.25255	31.3949
AGPAT9	4.146775	2.869205	2.12574	0.883373
AGPHD1	3.66553	5.205905	5.249075	6.519225
AGPS	18.76655	11.3549	19.9917	17.59265
AGR2	5.10304	18.63355	2.50587	4.480135
AGRN	39.63365	73.4868	15.22285	29.6915
AGTPBP1	4.895575	5.97769	6.9731	7.088625
AGTRAP	77.7749	51.2053	57.9447	40.96195
AGXT2L2	5.23752	7.41083	5.21986	5.409675
AHCTF1	12.9292	12.82465	11.6792	12.69825
AHCY	194.3525	249.6435	184.841	247.605
AHCYL1	66.3012	86.1656	46.51925	58.8122
AHCYL2	2.651845	5.79746	4.31714	9.311905
AHDC1	4.885975	5.6002	2.274755	2.324195
AHI1	6.84391	6.425885	6.41272	6.895915
AHNAK	35.0249	71.3783	54.498	69.6819
AHNAK2	3.91026	7.59784	8.630195	9.10063
AHR	13.73845	18.10015	13.55	17.5305
AHRR	0.5825825	0.9531255	0.6971695	0.732828
AHSA1	173.245	130.9135	207.313	162.429
AHSA2	32.96905	18.65445	30.32945	16.6271
AIDA	102.1875	108.969	77.9714	98.85795
AIF1L	8.79756	5.59169	17.87475	11.14865
AIFM1	74.2367	47.0103	61.4564	50.32145
AIFM2	14.9457	9.66606	12.93455	8.451295
AIG1	26.05045	23.82845	28.5515	29.8444
AIM1	21.64135	17.22785	27.50745	20.1505
AIM1L	2.11779	3.82625	0.573183	0.538369
AIMP1	30.49285	20.7266	34.00245	23.4445
AIMP2	38.34015	46.8896	42.5865	53.47705
AIP	50.44445	33.57075	45.7523	35.77685
AJUBA	7.8958	9.50477	10.054075	6.44269
AK1	22.59785	20.9979	21.9164	20.70805
AK2	105.4985	82.11565	87.9994	71.943
AK3	29.00055	31.72005	35.34525	43.12585
AK4	19.70995	8.998035	15.5252	7.91634
AKAP1	32.7512	20.73935	45.49735	37.61205
AKAP10	9.224725	6.76853	13.17195	10.9701
AKAP11	7.828975	8.273785	6.854915	8.4061
AKAP12	5.88152	3.760865	7.963925	7.546065
AKAP13	6.67983	13.55425	9.014805	14.98735
AKAP2	11.251	15.7533	20.64025	22.78135
AKAP7	3.898865	1.800125	3.1162	2.664
AKAP8	13.2849	9.732725	13.84545	10.33094
AKAP8L	24.50605	37.0743	24.83475	27.86085
AKAP9	4.13768	6.49824	4.62432	5.944505
AKD1	1.64416	2.24287	1.63502	2.33762
AKIP1	15.3526	10.4059	17.3151	13.26245
AKIRIN1	37.417	46.51475	23.7908	25.479
AKIRIN2	24.36785	32.26645	25.97935	31.5371
AKNA	2.699105	2.59892	3.375325	4.40826
AKR1A1	29.92675	34.59985	22.78135	26.11125
AKR1B1	134.6045	154.879	212.5075	244.837
AKR1B10	0.4509555	0.3953565	1.767025	0.866963
AKR1C1	2.831825	1.796345	6.821485	4.16074
AKR1C2	0.5347835	0.189672	2.12485	0.976599
AKR1C3	4.061225	4.708125	22.00395	13.986
AKR1E2	1.372945	1.3115	2.03237	2.551885
AKR7A2	24.79665	43.17685	22.70965	35.26415
AKR7A2P1	0.8080905	1.86753	0.3088715	0.590377
AKT1	73.85455	66.53325	61.07045	76.87395
AKT1S1	29.56975	28.3295	43.56155	35.7909
AKT2	27.9699	16.63645	28.64195	20.6645
AKT3	24.50065	14.19895	19.8426	15.2245
AKTIP	12.2976	14.8897	21.37755	24.09215
ALAD	8.0241	17.4135	10.017195	19.37035
ALAS1	10.250825	11.7169	13.79525	15.67365
ALCAM	21.65545	31.97775	19.3392	27.69335
ALDH16A1	9.05035	14.87435	11.121	17.26025
ALDH18A1	55.7128	39.9556	44.24815	37.74965
ALDH1A1	2.29256	0.3313265	2.824705	0.69361
ALDH1A3	8.081715	3.380765	7.525975	7.26942
ALDH1B1	10.2107	4.481895	15.0806	8.841635
ALDH1L2	1.64012	0.716622	2.99177	1.4898
ALDH2	18.4841	21.81055	29.70405	33.0545
ALDH3A2	24.8622	39.91205	26.051	43.767
ALDH3B1	11.6341	9.672835	8.923345	7.54667
ALDH3B2	7.74058	2.62554	5.6092	2.19484
ALDH4A1	1.7026	5.338865	2.76191	6.917285
ALDH5A1	13.51115	8.054155	9.66452	7.93872
ALDH6A1	4.804465	7.46519	3.76406	5.234105
ALDH7A1	29.4582	29.32915	34.77875	40.11065
ALDH9A1	27.5909	32.8355	20.9844	27.19025
ALDOA	1185.435	2312.15	977.348	1302.945
ALDOC	5.80633	13.37585	1.877885	4.697315
ALG1	6.71408	6.461155	10.48415	9.7739
ALG10	2.90269	1.21068	2.32906	1.644195
ALG10B	5.331525	2.195655	3.641045	2.24182
ALG11	4.276845	3.901785	4.860505	5.31258
ALG12	9.21411	8.73945	8.94712	10.9164
ALG13	5.615045	5.484295	7.99633	7.55496
ALG14	7.51747	3.6277	9.70864	6.665465
ALG1L	0.51617	0.841792	0.4764455	0.7519785
ALG1L9P	1.84973	2.10003	1.47556	1.4804
ALG2	19.18325	30.53875	25.1852	31.23525
ALG3	83.9437	49.4756	90.37745	59.83995
ALG5	43.7527	28.58085	36.6443	26.89475
ALG6	5.58223	6.970755	5.910855	8.208255
ALG8	50.95495	21.6619	51.904	28.41505
ALG9	4.904115	3.65569	5.00997	4.2846
ALKBH1	5.372785	4.50019	5.74872	5.48112
ALKBH2	19.79385	20.09225	25.90825	16.3853
ALKBH3	19.9786	9.317935	26.36425	14.7267
ALKBH4	6.571	1.660785	7.416165	2.48937
ALKBH5	35.74745	56.6498	34.8232	47.1209
ALKBH6	11.7041	6.42082	10.32375	7.059885
ALKBH7	9.03622	11.08925	6.471855	7.59316
ALKBH8	3.935585	0.8923375	7.00058	2.606005
ALMS1	4.500975	3.36461	3.607895	3.298045
ALOX12	0.6079885	1.38308	0.491805	0.511414
ALOX12P2	4.923595	4.585925	4.21329	3.34189
ALOXE3	1.86541	1.84288	1.91985	1.264695
ALPK1	1.790825	1.9777	1.451495	1.34411
ALPP	18.79975	8.80576	16.4615	8.54191
ALS2	5.489865	15.336	5.470755	10.05476
ALS2CL	2.935545	4.31361	3.40052	2.43639
ALS2CR8	1.341545	1.0325	1.39042	1.0096075
ALX1	3.826515	2.04786	3.07194	1.81215
ALX3	2.34395	1.88798	1.18871	1.0525
ALX4	7.09579	1.644815	5.584965	3.72335
ALYREF	251.554	135.3635	262.434	183.5175
AMACR	2.110985	3.146585	3.420105	5.50133
AMBRA1	10.68835	16.331	12.7979	17.5032
AMD1	59.5487	61.7817	79.2337	77.96345
AMDHD2	8.61313	6.603465	7.092565	6.04527
AMER1	5.64781	1.64987	4.001745	1.89379
AMFR	22.90465	31.991	27.05215	37.18985
AMH	3.031155	4.176535	7.810315	8.892605
AMIGO1	1.941925	0.791957	1.59533	1.158625
AMIGO2	63.24145	8.787395	75.49625	14.037
AMIGO3	1.387435	8.88237	2.829765	4.277845
AMMECR1	9.9835	6.94934	13.03045	10.61315
AMMECR1L	8.46477	6.29307	12.0301	9.307745
AMN	2.54988	1.575535	1.45683	1.153595
AMN1	3.097765	5.92283	2.855455	4.57022
AMOT	0.1583225	0.3851095	0.809467	1.0651955
AMOTL1	6.27286	3.884735	10.29201	10.69795
AMOTL2	6.14178	8.737385	14.05155	12.54915
AMPD2	24.1226	14.48365	15.05365	8.440415
AMPD3	1.129515	0.593555	1.557405	0.7021905
AMT	2.00976	1.096575	1.13788	0.6074665
AMY2B	0.762305	1.19196	0.5920565	0.552945
AMZ1	1.0201565	0.2739665	0.3030275	0.113971
AMZ2	60.3576	45.18965	61.6532	50.20845
AMZ2P1	1.318555	2.05706	0.8580555	1.384555
ANAPC1	16.2278	10.42755	17.9886	15.4699
ANAPC10	8.25204	8.938885	9.55193	10.256085
ANAPC11	103.5675	123.191	96.53145	119.25
ANAPC13	29.1886	33.1651	35.22545	36.7555
ANAPC15	34.98575	22.90815	24.0452	20.5545
ANAPC16	22.911	30.9457	22.38765	25.67425
ANAPC2	26.8457	34.13015	29.2135	39.61345
ANAPC4	16.3648	16.1278	13.2189	13.9562
ANAPC5	75.41025	77.1996	100.4022	112.542
ANAPC7	30.78375	26.7068	44.69095	42.75105
ANG	1.48414	4.165885	0.8601785	2.060855
ANGEL1	11.1447	9.40875	10.32795	12.297
ANGEL2	8.13128	7.403345	7.48588	6.644165
ANGPT1	2.24969	0.174044	1.502	0.116331
ANGPTL4	30.2609	77.1092	46.32315	161.7545
ANGPTL6	1.40761	1.858325	1.311765	2.25811
ANK3	3.760495	1.34059	1.811225	0.9819055
ANKEF1	11.789	10.43735	9.729875	10.134975
ANKFY1	15.60535	18.7346	20.5154	24.55495
ANKH	2.126775	1.808245	3.187225	3.161995
ANKHD1	18.6904	13.9402	20.502	18.17295
ANKHD1-EIF4EBP3	5.393795	8.722115	6.230935	9.937675
ANKIB1	10.1178	13.14945	13.8686	16.12405
ANKLE1	8.11889	1.9494	6.223435	3.526785
ANKLE2	28.6366	28.7598	41.72725	37.07235
ANKMY1	1.18819	1.765435	0.940401	1.69006
ANKMY2	9.31236	9.96813	5.99018	6.803585
ANKRA2	4.37229	4.575725	3.967105	4.051795
ANKRD10	18.38415	25.3005	22.56655	24.82105
ANKRD11	18.81755	19.80945	15.59505	14.7236
ANKRD12	2.48208	4.06086	3.412775	4.727895
ANKRD13A	7.83024	15.80655	11.2927	16.3639
ANKRD13B	18.28815	4.216605	17.3995	8.494985
ANKRD13C	6.67892	6.115195	7.75757	7.46116
ANKRD13D	19.54135	24.20495	13.29965	13.3299
ANKRD16	6.06344	4.8307	7.605215	6.079055
ANKRD17	31.11205	30.63265	28.25055	27.5525
ANKRD19P	1.931815	0.565929	0.824819	0.3257275
ANKRD20A12P	1.05981	1.6286	0.788645	1.357135
ANKRD20A9P	0.8586925	1.21465	0.683062	0.662698
ANKRD22	3.36522	1.52484	3.356205	1.317035
ANKRD23	1.72864	2.204785	1.60374	1.74295
ANKRD26	4.249435	4.610455	5.564065	7.46404
ANKRD27	19.173	15.89885	23.12185	21.2957
ANKRD28	22.76095	13.63355	26.46705	18.57775
ANKRD29	2.400905	0.8410125	3.660205	2.31535
ANKRD30BL	1.739065	5.91929	1.663145	4.85459
ANKRD32	7.06514	3.98596	7.39294	7.263595
ANKRD34A	1.0063095	0.528253	0.7357445	0.356808
ANKRD36BP1	3.63044	3.095465	3.04713	2.307585
ANKRD37	4.759665	20.6525	4.60263	10.008235
ANKRD39	19.4908	13.46575	17.92075	15.609
ANKRD40	17.33585	11.0471	23.62575	15.9547
ANKRD42	1.783025	3.51673	2.055265	3.30902
ANKRD46	6.981465	8.129815	6.58462	7.62467
ANKRD49	7.436595	8.140035	8.317085	10.56485
ANKRD50	4.18243	8.0661	4.45653	6.624475
ANKRD52	20.1377	21.50145	21.62975	23.4675
ANKRD54	13.3302	19.1542	12.0076	16.89
ANKRD9	7.92379	3.89771	5.438955	4.92977
ANKS1A	13.32165	14.61065	8.103975	8.9825
ANKS1B	2.068715	2.63741	1.627085	2.6544
ANKS3	6.09119	4.45544	5.51271	3.931285
ANKS6	9.71733	6.04883	10.4855	10.3957
ANKZF1	23.7308	36.2928	16.472	19.2868
ANLN	44.5877	46.15155	48.8188	67.72275
ANO1	7.808815	0.406475	2.84324	0.516135
ANO10	9.95959	15.12775	8.541905	13.27965
ANO6	15.34915	18.92185	17.96535	20.88345
ANO8	5.123075	5.67718	4.401225	5.657355
ANO9	5.021105	3.600845	2.765045	1.806095
ANP32A	81.0683	26.78105	96.49275	50.35395
ANP32B	257.706	79.63315	292.3555	133.6005
ANP32E	53.4694	21.82105	36.82505	25.7542
ANPEP	162.057	169.107	158.156	207.9615
ANTXR1	18.7617	16.5953	20.96145	22.14075
ANTXR2	6.096265	10.28715	9.586335	12.7307
ANXA1	671.3625	795.4655	535.9045	495.204
ANXA11	31.1067	32.8456	24.8197	22.4484
ANXA2	300.67	519.158	398.85	472.6795
ANXA3	83.51195	44.8924	141.32	77.26725
ANXA4	25.0728	35.59245	21.4942	29.20185
ANXA5	250.7305	339.046	298.5095	392.6595
ANXA7	74.1899	103.783	69.2457	87.7622
ANXA8L2	0.8858905	0.1112535	1.439355	0.61914
ANXA9	1.59274	0.92305	0.734893	0.233541
AOC2	1.138851	1.302765	2.162565	2.196265
AOC3	0.3765995	0.657747	0.929974	0.9545485
AOX1	0.944353	0.423437	1.698065	0.908383
AP1AR	15.5058	14.5627	20.22495	19.6458
AP1B1	29.8488	43.37665	29.67795	45.07635
AP1G1	17.6664	25.67545	20.56185	26.8287
AP1G2	27.2551	37.6664	18.2395	25.3209
AP1M1	16.51785	20.39115	17.85195	21.41335
AP1M2	50.31585	46.4643	49.79045	50.6957
AP1S1	70.0676	31.9891	89.07785	44.59315
AP1S2	5.40818	9.31599	6.27906	10.18815
AP1S3	11.50605	10.39135	13.1727	10.74665
AP2A1	20.12195	27.42145	21.93285	32.0271
AP2A2	14.2851	19.3823	15.17645	22.2258
AP2B1	41.5023	37.16435	54.24625	49.11185
AP2M1	258.381	323.652	216.389	253.1425
AP2S1	110.3265	117.605	117.9355	122.547
AP3B1	16.6005	14.2093	20.02645	21.27335
AP3B2	0.8709335	4.6305	2.87714	9.903505
AP3D1	43.43795	60.079	55.4882	74.96375
AP3M1	13.5685	13.0087	13.2657	13.40005
AP3M2	21.8514	23.2896	21.072	26.37435
AP3S1	35.6704	37.8228	52.8693	60.7889
AP3S2	8.64905	12.7445	13.0184	15.3477
AP4B1	10.4801	14.2222	8.021135	7.640885
AP4B1-AS1	0.6889475	1.168625	0.6028075	0.7124285
AP4E1	6.056145	5.93212	6.81178	6.852895
AP4M1	6.37471	5.509135	6.139265	7.0823
AP4S1	3.338105	3.197465	3.086885	2.314965
AP5B1	7.43505	4.47539	7.35131	5.97616
AP5M1	22.58465	18.3694	25.71155	19.9063
AP5S1	9.597155	14.2643	10.167765	16.12375
AP5Z1	6.19453	10.59365	6.840835	8.29168
APAF1	5.58129	8.06744	4.16077	7.94846
APBA2	3.97812	0.501001	0.983836	0.2457805
APBA3	6.03131	5.52655	8.734835	9.628775
APBB1	4.8235	2.207855	6.60841	5.79101
APBB2	4.07472	6.554245	4.08689	5.19881
APBB3	5.871485	8.257535	5.3865	7.47053
APC	3.747585	3.51249	5.539415	5.10273
APEH	64.2027	71.5472	62.9428	75.7107
APEX1	127.612	99.71565	146.4505	140.908
APEX2	54.34685	54.32865	45.0238	43.97325
APH1A	84.57355	45.26735	80.95965	55.24665
APH1B	1.230055	0.957773	1.436785	1.178225
API5	59.3472	65.55195	72.7028	81.5352
APIP	38.94215	30.04995	35.1968	31.25745
APITD1	35.80695	27.43665	21.96725	22.80925
