SUM149R_DMSO_12H_R	SUM149R_JQ1_12H_R	LOG2_FOLD_CHANGE	P_VALUE
ABCF3	35.5678	42.5745	0.259417845686437	0.0279327326165018
ABCG1	2.30279	3.71476	0.689886152988493	0.0437180495266846
ABCG2	0.4235945	0.222854	-0.926585001257998	0.170180637209251
ABHD10	20.6431	30.022	0.540360451010649	0.0479001244026162
ABHD11	12.80525	19.06255	0.57400570238071	0.0529383404540096
ABHD12	33.26545	40.7949	0.294364254064966	0.0387643131585199
ABHD13	4.484825	4.315005	-0.0556894604735804	0.44807172892435
ABHD14A	3.211305	4.179365	0.380124065896032	0.224333244283996
ABHD14A-ACY1	1.515015	0.3067295	-2.30429324678535	0.121944572754178
ABHD14B	8.943095	10.8589	0.28003185981848	0.142299426289709
ABHD15	9.20285	12.5538	0.447971511114449	0.0504761828313704
ABHD16A	12.6418	13.2204	0.0645639321108776	0.530461632872928
ABHD16B	6.48072	7.9346	0.292003391925405	0.223447460839005
ABHD2	16.6945	22.1873	0.410361229515698	0.04648133112728
ABHD3	17.80545	39.87685	1.16323255351326	0.0206685220438976
ABHD4	2.89098	3.55619	0.298773778303909	0.230655061242622
ABHD5	6.091605	7.37292	0.275413707369976	0.106352012751007
ABHD6	3.710965	5.13894	0.469676413661273	0.126287601480559
ABHD8	4.06116	5.25043	0.370543714414504	0.085131519152821
ABI1	15.67665	20.6385	0.396720822256826	0.00560699847028688
ABI2	9.217885	7.183715	-0.359705654009999	0.0145101456824519
ABL1	23.64165	20.61225	-0.197828731982065	0.104445089215783
ABL2	5.78671	3.507715	-0.722211811169449	0.130706857054944
ABLIM1	14.1616	8.54516	-0.72880486223993	0.0525425557216719
ABLIM2	0.5937975	1.0573175	0.832365741688635	0.0948541724778209
ABLIM3	13.38375	7.537245	-0.828373208401774	0.00832406445581259
ABR	17.18235	13.34635	-0.364482121582616	0.0169732511255805
ABRACL	75.64145	55.7458	-0.440313905528674	0.11808517287528
ABT1	18.962	14.4833	-0.388720783273524	0.029924351142479
ABTB1	3.791	4.672075	0.301484977225551	0.0566553098148572
ABTB2	8.76265	15.7386	0.84486807344682	0.00668223723197447
ACAA1	28.2677	36.88785	0.383991201194432	0.0330575597081727
ACAA2	82.7209	71.96325	-0.200991539233121	0.159605275946163
ACACA	23.40215	17.9917	-0.379309568613942	0.226213873374332
ACACB	0.8636075	1.527825	0.823031626171723	0.0173582130975495
ACAD10	7.579655	11.28955	0.574783893165526	0.0391589318096961
ACAD11	3.752345	3.5142	-0.0945961786667199	0.342474216362005
ACAD8	5.567025	7.67723	0.463679308075155	0.121957213160779
ACAD9	17.713	21.45265	0.276347293862678	0.0341008216331549
ACADM	31.68845	33.49235	0.0798745128292924	0.407249047756844
ACADS	1.606735	2.257885	0.490840003877341	0.0371097126761513
ACADSB	3.946565	5.301125	0.425701048982102	0.0218364393823638
ACADVL	172.2535	254.34	0.562225075036897	0.0136570106149174
ACAP2	9.87922	12.92375	0.387555702710798	0.0822123792427608
ACAP3	5.92617	9.75998	0.719778178940613	0.0133814924250197
ACAT1	62.40945	55.4004	-0.17186810480399	0.211428149339002
ACAT2	63.8325	43.2297	-0.562268327618455	0.0264416756421953
ACBD3	32.28165	42.2095	0.386853419264223	0.0230925278737556
ACBD4	8.297115	9.09534	0.132517786997481	0.290143545705344
ACBD5	11.4672	9.287925	-0.304084937140853	0.0346839271054238
ACBD6	49.9921	39.52085	-0.339086154847264	0.119302668888766
ACBD7	1.56925	3.963885	1.33683989882632	0.111634065578445
ACCS	1.700285	1.616925	-0.0725238277664828	0.705728159383591
ACD	38.0552	37.65065	-0.015418830492799	0.912087921815221
ACER2	0.759031	3.645565	2.26391171099499	0.0489437775824937
ACER3	8.61172	9.21489	0.0976655314907571	0.409950170418374
ACIN1	69.17285	69.40345	0.00480148168930372	0.747016860445392
ACLY	87.14625	88.45545	0.0215124494162766	0.468706542080581
ACN9	15.3095	19.1318	0.321545448904692	0.0541600503645409
ACO1	9.599745	13.34125	0.474825856406369	0.00732805025860429
ACO2	32.9971	40.12095	0.282016530459743	0.093628746328981
ACOT11	5.866375	3.65671	-0.681923079884721	0.217067777039278
ACOT13	8.063895	7.064	-0.190991510637472	0.141557334899521
ACOT2	6.22908	4.77184	-0.384473430841016	0.0162067335149888
ACOT4	1.46779	1.76124	0.262945941861019	0.359379961839303
ACOT7	46.1406	66.3047	0.523074374649472	0.075753510934953
ACOT8	22.86595	25.4882	0.156628633206541	0.217864272320792
ACOT9	23.29135	27.4161	0.235229096554839	0.100976233957006
ACOX1	3.46252	5.029195	0.53850508858868	0.0544163582673635
ACOX2	8.829865	5.1334	-0.782476699382226	0.0233851895947289
ACOX3	3.43156	3.966055	0.208840104468044	0.206081747066929
ACOXL	1.721025	1.0061405	-0.774436273656661	0.0156045693655278
ACP1	149.4795	141.005	-0.0842013219949959	0.465176382229419
ACP2	11.6676	12.74425	0.127338640831316	0.186918582399903
ACP6	8.134475	5.63586	-0.529413462982923	0.057763292107177
ACPL2	7.610155	4.73585	-0.684302451374173	0.0300676589241759
ACSF2	4.901645	9.28675	0.921907796700304	0.0478666326843978
ACSF3	10.93105	9.92994	-0.138575082463453	0.345869171654128
ACSL1	51.8973	52.60895	0.0196487730823421	0.671147043109891
ACSL3	43.0896	48.16265	0.16057506809071	0.0087751399663778
ACSL4	23.40025	18.9842	-0.301724738507664	0.0291980573921714
ACSS2	29.6254	39.36145	0.409948734456361	0.000473762902753071
ACTA2	0.5826135	1.0000455	0.779454604815794	0.0528131969894419
ACTB	1624.13	2104.86	0.374057164313615	0.0257720694650736
ACTBL2	0.788788	1.586675	1.00829714100381	0.0370453135903869
ACTG1	2550.43	4230.665	0.730143947624042	0.00150916332449141
ACTG1P4	0.5820685	0.890813	0.613933667243002	0.503781401522522
ACTL10	2.67751	4.886695	0.867967099307188	0.0122466730196187
ACTL6A	99.09665	105.181	0.0859659258115666	0.272895764106898
ACTL8	12.27085	3.576685	-1.77854021739561	0.000106336356468703
ACTN1	124.005	128.005	0.0458018717731817	0.530173699186058
ACTN4	217.8265	288.193	0.403855816019263	0.013812178653154
ACTR10	31.2305	29.6933	-0.0728182292231502	0.447720952103486
ACTR1A	34.06775	39.77775	0.223555005486387	0.128117521526267
ACTR1B	16.792	20.37495	0.279022447240738	0.0699793013007317
ACTR2	117.1455	124.843	0.091813395096992	0.196137620627522
ACTR3	81.40735	64.8351	-0.328383995174182	0.0764727183587336
ACTR3B	9.06181	8.596585	-0.0760355801125087	0.435460384053738
ACTR5	13.20995	13.5826	0.0401346627322668	0.399589818613452
ACTR6	56.0202	36.1492	-0.631983414084091	0.0688912222887751
ACTR8	5.08404	5.892245	0.212842037827627	0.270528432978528
ACTRT3	4.343385	2.898995	-0.583266994596168	0.0192318214697985
ACVR1	7.757325	11.1005	0.516993510364501	0.0709381346079561
ACVR1B	4.19419	2.94008	-0.512536806563078	0.0118572261905456
ACVR2A	2.11846	3.6231	0.774208737185502	0.0158599401666114
ACVR2B	1.194645	0.511024	-1.22511901813239	0.052128190220857
ACY1	18.04555	11.51215	-0.648485819768134	0.066463066812157
ACYP1	12.24335	16.55565	0.435325294982234	0.189828986038313
ACYP2	5.711305	6.72132	0.234924161013542	0.218309332821119
ADA	6.572705	4.61973	-0.508678698786562	0.0989119778934445
ADAL	4.11355	5.27044	0.357539430048481	0.050922406634027
ADAM10	9.516505	11.28125	0.245423195470434	0.146551056630473
ADAM15	64.04615	67.7216	0.0805042103647156	0.0450843496950565
ADAM17	22.9036	27.55555	0.266768543473759	0.156899383210969
ADAM19	7.615335	3.80709	-1.00021882676834	0.0586617969893601
ADAM22	1.644075	1.81449	0.142287991974035	0.594990357715498
ADAM8	27.19775	37.94255	0.480329335067836	0.0414047076400724
ADAM9	31.38705	29.1053	-0.108887551449776	0.289664233291889
ADAMTS1	0.44831	0.190495	-1.23474354928381	0.0202932153415142
ADAMTS6	1.107495	0.1696075	-2.70702831344197	0.0492009514224718
ADAMTS7	1.443225	1.46094	0.0176006939262179	0.900007246395369
ADAMTSL4	2.96014	1.52919	-0.952897738874829	0.0228578471969402
ADAP1	5.380185	2.43849	-1.14166772529096	0.00270295038236907
ADAR	40.15155	40.0536	-0.00352376498286419	0.95308033848331
ADARB1	3.351765	6.629835	0.98405196382046	0.0141836821933051
ADARB2	1.0396815	1.033755	-0.00824732799333793	0.954281548881746
ADAT1	8.855905	11.62245	0.392202568284434	0.139080228049629
ADAT2	3.521155	0.869427	-2.01791193129849	0.00255870956815491
ADAT3	3.19887	5.907165	0.884903546686881	0.019669748881646
ADC	0.6246185	2.17965	1.80304928609639	0.0501544294326856
ADCK1	2.663215	3.609145	0.438488204420944	0.0901097794499158
ADCK2	13.98305	11.0208	-0.343450124487876	0.000786777855721006
ADCK3	32.09665	31.8369	-0.0117228622144783	0.12449149907063
ADCK4	11.69855	8.127155	-0.525507408668669	0.050500024830389
ADCK5	2.418585	5.237545	1.11472749273509	0.0021538207767257
ADCY1	4.979755	4.281485	-0.217963493531411	0.372937436326588
ADCY3	26.71135	21.75145	-0.296341314650217	0.0233600288438921
ADCY6	7.380995	6.291885	-0.230323010752348	0.0964965541198794
ADCY7	19.1345	5.52371	-1.79246671886524	0.0422683887745678
ADCY9	2.038855	1.82314	-0.161333825877141	0.525737203037145
ADD1	31.95	32.80315	0.0380184285239598	0.377981470855894
ADD2	17.94675	15.0774	-0.251334941567423	0.0732463645353036
ADD3	11.5928	13.1435	0.181120442544405	0.134697577117109
ADH5	65.33665	52.2657	-0.322028014628136	0.0325344641964399
ADI1	111.174	221.4635	0.994249516052931	0.0153099937268279
ADIPOR1	89.7116	95.0647	0.0836151879246599	0.228541955080008
ADIPOR2	55.2958	64.6305	0.22504524823619	0.0121978799292917
ADIRF	39.98645	44.37475	0.150227787361956	0.287820968329355
ADK	25.40715	39.98715	0.654301906935303	0.0169396119897509
ADM	3.882715	5.85912	0.593618183851766	0.0584623179306706
ADM2	1.562625	0.6430435	-1.28098336072164	0.0347362161492611
ADM5	3.133795	2.910445	-0.106671053131507	0.152185745049462
ADNP	28.4825	15.78625	-0.851407279959142	0.0253862794834862
ADNP2	15.97865	16.61985	0.056761837962526	0.456395309442816
ADO	12.54385	13.6959	0.126763860269169	0.352735752138593
ADORA1	3.57892	0.488036	-2.87446481809268	0.0501653228689988
ADORA2B	16.04865	8.14936	-0.9776932754447	0.0180941820530155
ADPGK	60.01155	65.4319	0.124753971243312	0.0444470365938946
ADPGK-AS1	2.82784	3.18195	0.170210671507775	0.465842038407876
ADPRH	1.4004	0.4254305	-1.71884359494314	0.00793599781412732
ADPRHL1	3.06606	3.20266	0.0628847177070809	0.574305985597914
ADPRHL2	22.19375	28.7929	0.375559648171115	0.115997351261824
ADPRM	4.734335	9.344585	0.980968799913853	0.0134384151538788
ADRA1B	1.70027	0.674597	-1.33366605441273	0.0238892399617298
ADRB2	3.38473	4.068455	0.265440278986067	0.00373912554252816
ADRBK1	38.7924	35.3915	-0.132371126095534	0.0278999831259717
ADRBK2	1.42028	1.177265	-0.270736272061383	0.238353507661702
ADRM1	186.015	214.703	0.206923386796386	0.255761626544975
ADSL	71.57735	68.88465	-0.0553205980806764	0.316063147401108
ADSS	52.5713	38.29895	-0.456970570861125	0.0370368753464299
ADSSL1	1.267835	1.66764	0.395440881282971	0.204361281016941
ADTRP	2.76119	1.905695	-0.534972925210994	0.100395986777916
AEBP2	19.792	15.81085	-0.324002475566112	0.0301869392188684
AEN	37.3094	24.72185	-0.593752451412755	0.0098624318687274
AES	137.466	72.22115	-0.928581537319455	0.0462994188517786
AFAP1	10.9419	10.7282	-0.0284552378578551	0.853160629554793
AFAP1L1	6.916955	4.819055	-0.521386803947535	0.013597994211987
AFAP1L2	0.439267	0.2681135	-0.712254257361937	0.0612380845420007
AFF1	5.1051	6.737205	0.400210977129608	0.143406156951055
AFF4	14.17765	17.70135	0.320240972030984	0.156357212169266
AFG3L1P	9.27899	9.797325	0.0784201192605017	0.648053332960396
AFG3L2	70.10405	79.2315	0.176576322423109	0.152925416176836
AFMID	5.381365	9.78106	0.862018659130911	0.0285322555453259
AFTPH	19.0851	20.71085	0.117940018991494	0.262592242391056
AGA	19.89155	18.50665	-0.104111931069219	0.155748534937485
AGAP1	4.568205	3.91767	-0.221631514539041	0.139393829031574
AGAP3	33.0726	29.84075	-0.148352671446973	0.0548439257084114
AGAP5	0.371656	0.7471505	1.00743097817989	0.0600678757738523
AGAP6	1.63311	1.286255	-0.344445283301769	0.00839894286593088
AGBL5	13.35245	10.4418	-0.354734050887989	0.020385006852177
AGER	2.222235	1.365265	-0.70283038130402	0.0591545068664083
AGFG1	11.8661	12.68655	0.0964539477122463	0.136493275627772
AGFG2	2.766275	5.333185	0.94705278943307	0.000908633932509098
AGGF1	13.7832	13.1597	-0.0667842721569134	0.495870338114609
AGK	11.08355	11.88865	0.101164858370141	0.246065285114643
AGL	5.299945	6.148305	0.214211346584853	0.180244163137833
AGMAT	6.96662	3.390655	-1.03889487520672	0.0143898638624735
AGO1	6.220725	6.640205	0.094145051573226	0.390135799474643
AGO2	17.7189	15.9337	-0.153207726096574	0.516861127490328
AGO3	3.76254	6.2478	0.731641352309001	0.0224249596412521
AGO4	0.819624	0.2101225	-1.9637315749236	0.01507961576272
AGPAT1	28.68195	26.65275	-0.10585871562083	0.0684470318789429
AGPAT2	44.5504	45.5547	0.0321615232248502	0.664373176129241
AGPAT3	15.632	9.401765	-0.733498846929051	0.00423545285509615
AGPAT4	1.0188865	1.136365	0.157432952542011	0.431761663962141
AGPAT5	24.633	18.15895	-0.439911556778104	0.00262776526424119
AGPAT6	25.25255	31.3949	0.314101138582605	0.000798359938891506
AGPAT9	2.12574	0.883373	-1.26687050845264	0.0108368246846642
AGPHD1	5.249075	6.519225	0.312637257016386	0.159338783825257
AGPS	19.9917	17.59265	-0.184428343388062	0.0916891662712249
AGR2	2.50587	4.480135	0.838230633503538	0.0743417580222072
AGRN	15.22285	29.6915	0.963811495999528	0.0300895384189648
AGTPBP1	6.9731	7.088625	0.0237056398863225	0.611810873148809
AGTRAP	57.9447	40.96195	-0.500392312278477	0.0982389075376546
AGXT2L2	5.21986	5.409675	0.051530809771679	0.667164033088284
AHCTF1	11.6792	12.69825	0.120688230633935	0.397136677064822
AHCY	184.841	247.605	0.421755648143336	0.0125901484251029
AHCYL1	46.51925	58.8122	0.338287621345091	0.0178953586481407
AHCYL2	4.31714	9.311905	1.10900046141764	0.0115092545654042
AHDC1	2.274755	2.324195	0.0310199461723343	0.875949208161257
AHI1	6.41272	6.895915	0.104805575837555	0.390230609600635
AHNAK	54.498	69.6819	0.354580676119073	0.201671250867508
AHNAK2	8.630195	9.10063	0.0765732631502645	0.70937415797321
AHR	13.55	17.5305	0.371574293248099	0.0265447783056918
AHRR	0.6971695	0.732828	0.0719651718440336	0.677305190294072
AHSA1	207.313	162.429	-0.352001352888718	0.105118781536213
AHSA2	30.32945	16.6271	-0.867182771825468	0.0351968706609271
AIDA	77.9714	98.85795	0.342411951085066	0.00824465323067864
AIF1L	17.87475	11.14865	-0.681054040707923	0.0526595558043715
AIFM1	61.4564	50.32145	-0.288389765338527	0.0934265480765117
AIFM2	12.93455	8.451295	-0.613985533769421	0.0685958849182195
AIG1	28.5515	29.8444	0.0638937078072357	0.660450557385975
AIM1	27.50745	20.1505	-0.449006767714412	0.175685230380211
AIM1L	0.573183	0.538369	-0.0904004813806629	0.598524099240109
AIMP1	34.00245	23.4445	-0.536389190442849	0.0519063028264762
AIMP2	42.5865	53.47705	0.328523717109523	0.0143104088670073
AIP	45.7523	35.77685	-0.354817900706602	0.150785389763977
AJUBA	10.054075	6.44269	-0.642045272165858	0.0073917178601346
AK1	21.9164	20.70805	-0.081819133141421	0.524893573124245
AK2	87.9994	71.943	-0.290639366511678	0.0540998426250389
AK3	35.34525	43.12585	0.287036545986313	0.0463202840537477
AK4	15.5252	7.91634	-0.971706372428477	0.022623291410831
AKAP1	45.49735	37.61205	-0.274587576872023	0.0204597922106217
AKAP10	13.17195	10.9701	-0.263892263707273	0.103630873744537
AKAP11	6.854915	8.4061	0.294297842173705	0.094671028514162
AKAP12	7.963925	7.546065	-0.0777551073578646	0.517679209481741
AKAP13	9.014805	14.98735	0.733377124533522	0.0650652901006005
AKAP2	20.64025	22.78135	0.142392797084188	0.216162902966688
AKAP7	3.1162	2.664	-0.226193747187024	0.154446485075012
AKAP8	13.84545	10.33094	-0.422440415150126	0.0346107225118507
AKAP8L	24.83475	27.86085	0.165879049546918	0.0872169100189832
AKAP9	4.62432	5.944505	0.36231544662569	0.172414358432129
AKD1	1.63502	2.33762	0.515732143326793	0.12254877442302
AKIP1	17.3151	13.26245	-0.38468340743576	0.207204055517557
AKIRIN1	23.7908	25.479	0.0989048705161251	0.273887038336391
AKIRIN2	25.97935	31.5371	0.279684667739289	0.0871831632871244
AKNA	3.375325	4.40826	0.385182895178088	0.0440872671201313
AKR1A1	22.78135	26.11125	0.196818281881294	0.320885719827175
AKR1B1	212.5075	244.837	0.204307836950663	0.154160260147081
AKR1B10	1.767025	0.866963	-1.02728012244425	0.0358121808029915
AKR1C1	6.821485	4.16074	-0.713245701468737	0.123965608844462
AKR1C2	2.12485	0.976599	-1.12152279453465	0.194872173191336
AKR1C3	22.00395	13.986	-0.653779119535262	0.105116059168121
AKR1E2	2.03237	2.551885	0.328400242258398	0.0285038167091678
AKR7A2	22.70965	35.26415	0.634896794227534	0.0349030358584632
AKR7A2P1	0.3088715	0.590377	0.934629760110561	0.160382064309463
AKT1	61.07045	76.87395	0.33202032432649	0.0467124193161571
AKT1S1	43.56155	35.7909	-0.283462466407144	0.0254072657103092
AKT2	28.64195	20.6645	-0.470975260884382	0.0436644512172617
AKT3	19.8426	15.2245	-0.382206227989736	0.319431569730311
AKTIP	21.37755	24.09215	0.172466625696592	0.133241038419133
ALAD	10.017195	19.37035	0.95137143825021	0.0106070208061351
ALAS1	13.79525	15.67365	0.18416958472201	0.000565989810622936
ALCAM	19.3392	27.69335	0.518011467284724	0.0120403540182835
ALDH16A1	11.121	17.26025	0.634166839884533	0.0504249527511067
ALDH18A1	44.24815	37.74965	-0.229153869475702	0.0137431703902853
ALDH1A1	2.824705	0.69361	-2.0259036029269	0.0158849161052726
ALDH1A3	7.525975	7.26942	-0.0500382355658418	0.119677267241029
ALDH1B1	15.0806	8.841635	-0.770308745765528	0.0641776331033986
ALDH1L2	2.99177	1.4898	-1.00588060125473	0.0855404638787008
ALDH2	29.70405	33.0545	0.154187043120937	0.192769931212493
ALDH3A2	26.051	43.767	0.748504744923335	0.00171660680627856
ALDH3B1	8.923345	7.54667	-0.241744429803119	0.0691397858274165
ALDH3B2	5.6092	2.19484	-1.35367925060382	0.00808049741053773
ALDH4A1	2.76191	6.917285	1.32453958982945	0.00296655470338086
ALDH5A1	9.66452	7.93872	-0.283791667936267	0.171169242308768
ALDH6A1	3.76406	5.234105	0.475653241053616	0.0362453066117938
ALDH7A1	34.77875	40.11065	0.205779264492896	0.120059773543969
ALDH9A1	20.9844	27.19025	0.37377220293122	0.102428343955102
ALDOA	977.348	1302.945	0.414831933198674	0.0527266951133301
ALDOC	1.877885	4.697315	1.32272762703098	0.0106824763992881
ALG1	10.48415	9.7739	-0.101203650930863	0.107154911691423
ALG10	2.32906	1.644195	-0.502366394508084	0.0948994811551317
ALG10B	3.641045	2.24182	-0.699682125230023	0.000222848535021605
ALG11	4.860505	5.31258	0.128306445551187	0.428555305461643
ALG12	8.94712	10.9164	0.287001892845732	0.177021908174788
ALG13	7.99633	7.55496	-0.0819138947838711	0.19271549732245
ALG14	9.70864	6.665465	-0.542563690093919	0.101284017172832
ALG1L	0.4764455	0.7519785	0.658380218541606	0.102869508764401
ALG1L9P	1.47556	1.4804	0.00472445516043722	0.989377815630775
ALG2	25.1852	31.23525	0.31059888922939	0.0244847174598019
ALG3	90.37745	59.83995	-0.594853882174002	0.0824056238184893
ALG5	36.6443	26.89475	-0.446264226992589	0.0688461527647102
ALG6	5.910855	8.208255	0.473708720746699	0.0313813607832039
ALG8	51.904	28.41505	-0.869190470665575	0.0466581054389995
ALG9	5.00997	4.2846	-0.225641440433421	0.0961814248698449
ALKBH1	5.74872	5.48112	-0.0687700434052052	0.64422528021897
ALKBH2	25.90825	16.3853	-0.661009482893041	0.133291039329529
ALKBH3	26.36425	14.7267	-0.840148772608394	0.0499562369042581
ALKBH4	7.416165	2.48937	-1.57489266552257	0.0462323972667655
ALKBH5	34.8232	47.1209	0.436318312313989	0.0300622822698377
ALKBH6	10.32375	7.059885	-0.548250522226977	0.0476909636847833
ALKBH7	6.471855	7.59316	0.230521123403472	0.106263091695933
ALKBH8	7.00058	2.606005	-1.42563460276553	0.000630053286881309
ALMS1	3.607895	3.298045	-0.129546268992064	0.583277512053537
ALOX12	0.491805	0.511414	0.0564052526578658	0.845803470483872
ALOX12P2	4.21329	3.34189	-0.334282972616865	0.284869574279819
ALOXE3	1.91985	1.264695	-0.602204096482588	0.0363520367757488
ALPK1	1.451495	1.34411	-0.110888391282559	0.044567292542317
ALPP	16.4615	8.54191	-0.9464652000596	0.0200416556278269
ALS2	5.470755	10.05476	0.8780667927159	0.00464718868244587
ALS2CL	3.40052	2.43639	-0.481010288867539	0.0604199588661536
ALS2CR8	1.39042	1.0096075	-0.461726206626096	0.140535288413454
ALX1	3.07194	1.81215	-0.761447659307759	0.0418023796013222
ALX3	1.18871	1.0525	-0.175576562033868	0.18446684367814
ALX4	5.584965	3.72335	-0.584947001745337	0.0508962634263828
ALYREF	262.434	183.5175	-0.516036999188286	0.0761084464040176
AMACR	3.420105	5.50133	0.685739828654215	0.00956974530325557
AMBRA1	12.7979	17.5032	0.451711606382378	0.0900632541749995
AMD1	79.2337	77.96345	-0.0233162403296629	0.405151463045189
AMDHD2	7.092565	6.04527	-0.230500691149894	0.325223849835996
AMER1	4.001745	1.89379	-1.07935287743862	0.0875705586020519
AMFR	27.05215	37.18985	0.459165670638068	0.00291806111065101
AMH	7.810315	8.892605	0.187225368823217	0.171421975795632
AMIGO1	1.59533	1.158625	-0.461441181822525	0.026547083864341
AMIGO2	75.49625	14.037	-2.42717035108762	0.0077819813592302
AMIGO3	2.829765	4.277845	0.596201961678549	0.000395793590925177
AMMECR1	13.03045	10.61315	-0.296033993490377	0.0088589005048101
AMMECR1L	12.0301	9.307745	-0.370145043395439	0.015742226837734
AMN	1.45683	1.153595	-0.336695719991591	0.0470839900314184
AMN1	2.855455	4.57022	0.678542966118812	0.0108414081506646
AMOT	0.809467	1.0651955	0.396074067225445	0.216556079274371
AMOTL1	10.29201	10.69795	0.0558096020077764	0.741527001246664
AMOTL2	14.05155	12.54915	-0.163139631741499	0.0432154683441245
AMPD2	15.05365	8.440415	-0.8347274935532	0.00173182891080834
AMPD3	1.557405	0.7021905	-1.14920978000598	0.0196656358762949
AMT	1.13788	0.6074665	-0.905471664478622	0.0954269670474742
AMY2B	0.5920565	0.552945	-0.0985988724535628	0.575494858638865
AMZ1	0.3030275	0.113971	-1.41078194909337	0.0429272976447499
AMZ2	61.6532	50.20845	-0.296245589273497	0.102488666291089
AMZ2P1	0.8580555	1.384555	0.690279493393452	0.0105725673422811
ANAPC1	17.9886	15.4699	-0.217619039235983	0.218794379150786
ANAPC10	9.55193	10.256085	0.102615954670461	0.722888884240267
ANAPC11	96.53145	119.25	0.304918311307399	0.193203728896834
ANAPC13	35.22545	36.7555	0.061342010465419	0.452961176638231
ANAPC15	24.0452	20.5545	-0.226294648177994	0.174418187482052
ANAPC16	22.38765	25.67425	0.197619034460164	0.13424661922733
ANAPC2	29.2135	39.61345	0.439355138993596	0.0316028929729802
ANAPC4	13.2189	13.9562	0.0783040482569599	0.506200215231527
ANAPC5	100.4022	112.542	0.164672625294237	0.0753688667011077
ANAPC7	44.69095	42.75105	-0.0640228583934305	0.240903650412207
ANG	0.8601785	2.060855	1.26053502470108	0.11773857143275
ANGEL1	10.32795	12.297	0.251752474452951	0.171756079411191
ANGEL2	7.48588	6.644165	-0.172084020388155	0.0356479833120449
ANGPT1	1.502	0.116331	-3.69057730889273	0.0251948171798963
ANGPTL4	46.32315	161.7545	1.80400058261943	0.0206699073526812
ANGPTL6	1.311765	2.25811	0.783606479008738	0.0459710329232044
ANK3	1.811225	0.9819055	-0.883309687385448	0.0250714771475729
ANKEF1	9.729875	10.134975	0.0588493542141879	0.437272898904665
ANKFY1	20.5154	24.55495	0.259306601328683	0.138411989837796
ANKH	3.187225	3.161995	-0.0114657824015141	0.932753979678383
ANKHD1	20.502	18.17295	-0.173972023521545	0.331962512202472
