SUM149_JQ1_12H_R	SUM149R_DMSO_12H_R	LOG2_FOLD_CHANGE	P_VALUE
ACP1	127.4625	149.4795	0.229874780509876	0.211753134412255
ACP2	13.8249	11.6676	-0.244761212691733	0.27367224069317
ACP6	8.363725	8.134475	-0.0400963895798125	0.664852629206004
ACPL2	3.42685	7.610155	1.15104279452644	0.0345697457009612
ACSF2	9.57944	4.901645	-0.966675319309863	0.0155139751324511
ACSF3	5.938635	10.93105	0.880228718478122	0.00749348882806067
ACSL1	50.7053	51.8973	0.0335229295107335	0.248739026897844
ACSL3	58.84805	43.0896	-0.449654904645097	0.0891608725153739
ACSL4	12.91725	23.40025	0.857224980970767	0.0183058230371314
ACSS2	44.4539	29.6254	-0.585475360863489	0.0107793671959661
ACTA2	1.498205	0.5826135	-1.36262400553783	0.0496988809908165
ACTB	1794.595	1624.13	-0.143991182167583	0.066311263207359
ACTBL2	1.24965	0.788788	-0.663814574743513	0.168073163322128
ACTG1	3096.11	2550.43	-0.279716224554426	0.0138539830083489
ACTG1P4	0.69932	0.5820685	-0.264763820839715	0.707104042599941
ACTL10	8.559885	2.67751	-1.67669945131285	0.00173702712266332
ACTL6A	77.56375	99.09665	0.353453731800638	0.0905473659436418
ACTL8	0.8559425	12.27085	3.84157749414747	0.00318376424523373
ACTN1	115.987	124.005	0.0964351776748173	0.316450400342418
ACTN4	248.221	217.8265	-0.18844569766038	0.0631913659802549
ACTR10	26.2663	31.2305	0.249742677400942	0.165304164066015
ACTR1A	50.24225	34.06775	-0.56049440594689	0.0393390743505292
ACTR1B	20.8984	16.792	-0.315618420782287	0.0742773303841695
ACTR2	124.9405	117.1455	-0.0929396726423913	0.157526376577804
ACTR3	60.97535	81.40735	0.416932922378889	0.0438270778342636
ACTR3B	5.79008	9.06181	0.646215960330515	0.0394691429305038
ACTR5	10.2997	13.20995	0.359022689404668	0.0205855962789521
ACTR6	30.2867	56.0202	0.887262741551404	0.022513732013268
ACTR8	5.970835	5.08404	-0.231957320195792	0.26219162476406
ACTRT3	3.18664	4.343385	0.446783795057562	0.0737074763621861
ACVR1	16.45675	7.757325	-1.0850482988538	0.00038664166670956
ACVR1B	2.420905	4.19419	0.792845751201995	0.00599218960875071
ACVR2A	4.26189	2.11846	-1.00847746892262	0.00893343652134256
ACVR2B	0.3747515	1.194645	1.67257581358384	0.024305962039923
ACY1	8.306275	18.04555	1.11936957329028	0.0537110719420568
ACYP1	19.82865	12.24335	-0.695588098199403	0.162117496914682
ACYP2	10.099325	5.711305	-0.822366536217106	0.0184000759894756
ADA	3.50738	6.572705	0.906093489679422	0.0561813231326402
ADAL	4.519295	4.11355	-0.13571375346237	0.237450786029333
ADAM10	8.020135	9.516505	0.246805310174033	0.150907537692894
ADAM15	75.85955	64.04615	-0.244218964982237	0.131893805067629
ADAM17	30.6488	22.9036	-0.420256209110804	0.0933560805535662
ADAM19	2.74202	7.615335	1.4736684085126	0.0601167995211826
ADAM22	1.0316535	1.644075	0.672317617721663	0.196286157787316
ADAM8	48.9064	27.19775	-0.846535965848237	0.00663132218417677
ADAM9	36.2582	31.38705	-0.208137866241339	0.166475673204148
ADAMTS1	1.51336	0.44831	-1.75518663290357	0.0768582211260441
ADAMTS6	0.1900545	1.107495	2.54281509545802	0.0276556462204391
ADAMTS7	1.546775	1.443225	-0.0999671171886285	0.426581924892956
ADAMTSL4	2.64146	2.96014	0.164329846694918	0.245604507546914
ADAP1	2.058125	5.380185	1.38632517451031	0.00233774316350221
ADAR	29.8713	40.15155	0.426695657089371	0.0757543267279834
ADARB1	9.649855	3.351765	-1.52558626252132	0.0164349623281626
ADARB2	0.525641	1.0396815	0.983991919961306	0.0835016059220322
ADAT1	11.424	8.855905	-0.367356233395244	0.158459396269519
ADAT2	0.576586	3.521155	2.61044102302095	0.0121052058569043
ADAT3	6.23407	3.19887	-0.962611991072828	0.0190874761145997
ADC	4.375135	0.6246185	-2.80828032874568	0.0192980501017866
ADCK1	4.21344	2.663215	-0.661829679853012	0.0120093212711472
ADCK2	5.731345	13.98305	1.28673343001484	0.015312892031427
ADCK3	26.27175	32.09665	0.288910424142617	0.0749405514340265
ADCK4	9.235	11.69855	0.341145856868947	0.00239771057885106
ADCK5	8.09028	2.418585	-1.74202639288186	0.0278466838664782
ADCY1	2.14346	4.979755	1.21613326991363	0.102746269529274
ADCY3	8.497365	26.71135	1.65236545051065	0.000346890277048276
ADCY6	4.69124	7.380995	0.65384600305204	0.0287510530390674
ADCY7	3.84947	19.1345	2.31344447023088	0.0355352225216328
ADCY9	0.685008	2.038855	1.5735664348338	0.00922341619546419
ADD1	37.66825	31.95	-0.237533078620401	0.153718948614341
ADD2	6.935895	17.94675	1.37156864480361	0.0306891567803066
ADD3	16.58005	11.5928	-0.516219296088767	0.0397942712788713
ADH5	45.15025	65.33665	0.533158509474497	0.0534204889272741
ADI1	161.2985	111.174	-0.536913594334921	0.0106414782885212
ADIPOR1	94.18325	89.7116	-0.0701759645186079	0.290088698375906
ADIPOR2	53.4672	55.2958	0.0485157776633196	0.0471577148820659
ADIRF	19.06325	39.98645	1.06871710604205	0.0229428882453424
ADK	53.57795	25.40715	-1.07640482900313	0.00143721412652209
ADM	21.74525	3.882715	-2.48556257603158	0.000864962841583278
ADM2	0.7657675	1.562625	1.02899326369778	0.00469932041526612
ADM5	1.65987	3.133795	0.916840552705803	0.060931592458388
ADNP	13.6467	28.4825	1.06152365625258	0.00753214395022984
ADNP2	11.55025	15.97865	0.468221444904839	0.047621413037492
ADO	11.75765	12.54385	0.093380475134094	0.39834836765976
ADORA1	0.228157	3.57892	3.97142547302591	0.0455853268367293
ADORA2B	4.18957	16.04865	1.93757785963228	0.0291471873743928
ADPGK	34.0886	60.01155	0.815950842784593	0.0146863106881299
ADPGK-AS1	1.946375	2.82784	0.538910799386489	0.217174405636228
ADPRH	0.308748	1.4004	2.18133727049235	0.00551918670758069
ADPRHL1	4.868675	3.06606	-0.667143269702651	0.0223629674303877
ADPRHL2	54.08735	22.19375	-1.28513775939225	0.00890682157351973
ADPRM	9.11998	4.734335	-0.945868866266791	0.0446193650547863
ADRA1B	1.372395	1.70027	0.3090680871912	0.0790112860881926
ADRB2	2.1092	3.38473	0.682344852738887	0.156168522989938
ADRBK1	39.0448	38.7924	-0.00935638755277051	0.814883103394884
ADRBK2	0.409813	1.42028	1.79313772171526	0.0172553234936632
ADRM1	228.6045	186.015	-0.297434839765113	0.138833501794847
ADSL	64.6884	71.57735	0.14599610237186	0.143585985045795
ADSS	38.7274	52.5713	0.440920762832773	0.0445177374645453
ADSSL1	1.77946	1.267835	-0.489072502397651	0.102192926408647
ADTRP	2.741545	2.76119	0.0103010101290757	0.961003410772618
AEBP2	12.1364	19.792	0.705576864588731	0.0488498068341855
AEN	9.101605	37.3094	2.03534627795413	0.00347083695783089
AES	48.24355	137.466	1.51066685846403	0.0476238298243755
AFAP1	9.100215	10.9419	0.265890740169496	0.25097560199188
AFAP1L1	1.97323	6.916955	1.80957794401126	0.00370823630288087
AFAP1L2	1.087825	0.439267	-1.30827646086108	0.031202080888875
AFF1	9.048895	5.1051	-0.825802407915457	0.0168849932110874
AFF4	18.1489	14.17765	-0.356263689364605	0.096156478104779
AFG3L1P	11.3849	9.27899	-0.295081935061369	0.200083241915036
AFG3L2	68.7938	70.10405	0.0272192442081428	0.671366552435449
AFMID	21.7662	5.381365	-2.01604549163807	0.00742959359240884
AFTPH	18.09285	19.0851	0.0770270655272451	0.428706500357252
AGA	17.5124	19.89155	0.183778886461331	0.0837356084308218
AGAP1	3.870135	4.568205	0.239243501598958	0.137411001009316
AGAP3	21.18855	33.0726	0.642351604482365	0.00538758618548807
AGAP5	1.871495	0.371656	-2.33215138972157	0.00407037668774035
AGAP6	1.89613	1.63311	-0.215435911254791	0.355086450734251
AGBL5	9.818855	13.35245	0.443477778513269	0.00931314002920672
AGER	2.919615	2.222235	-0.393766749293431	0.092181257992123
AGFG1	12.15485	11.8661	-0.0346862434486972	0.457551060049874
AGFG2	3.954295	2.766275	-0.51547591930003	0.013809764895283
AGGF1	11.7744	13.7832	0.227257327828428	0.11196567993716
AGK	7.64514	11.08355	0.535805216691287	0.0554396816075264
AGL	7.5829	5.299945	-0.516772309170885	0.0355750269747057
AGMAT	3.18008	6.96662	1.1313958131861	0.00368476006261513
AGO1	8.710205	6.220725	-0.485623943585481	0.03670303246423
AGO2	17.59755	17.7189	0.00991445811884709	0.959522933841834
AGO3	15.4353	3.76254	-2.03645469887533	0.0111838481580845
AGO4	0.2820215	0.819624	1.53915707842075	0.0512879150225517
AGPAT1	47.49125	28.68195	-0.727518617454627	0.0425313196390604
AGPAT2	44.1297	44.5504	0.013688445479465	0.836852684003553
AGPAT3	3.45822	15.632	2.17640081613609	0.00714968705056709
AGPAT4	2.17651	1.0188865	-1.09502329879142	0.0212606365000823
AGPAT5	13.08945	24.633	0.91218786268687	0.00388005327108691
AGPAT6	33.97895	25.25255	-0.428212193369428	0.0438417839401916
AGPAT9	2.869205	2.12574	-0.432685898861648	0.020765809130295
AGPHD1	5.205905	5.249075	0.0119142263070508	0.968677787712045
AGPS	11.3549	19.9917	0.816086156673161	0.0282921446955256
AGR2	18.63355	2.50587	-2.89451908046723	0.000580553127065427
AGRN	73.4868	15.22285	-2.27124664701702	0.00422541148220563
AGTPBP1	5.97769	6.9731	0.222212089692788	0.0578865141085435
AGTRAP	51.2053	57.9447	0.178383564997918	0.244489616478191
AGXT2L2	7.41083	5.21986	-0.505624017595857	0.0726234463363111
AHCTF1	12.82465	11.6792	-0.134977997395713	0.352274005360003
AHCY	249.6435	184.841	-0.43358454382231	0.0328667166039103
AHCYL1	86.1656	46.51925	-0.889284177962134	0.00051892456366289
AHCYL2	5.79746	4.31714	-0.42534508238817	0.0964613444623531
AHDC1	5.6002	2.274755	-1.29976718128651	0.0469408091825359
AHI1	6.425885	6.41272	-0.00295874619872366	0.980730146412404
AHNAK	71.3783	54.498	-0.389282255490505	0.171295247359317
AHNAK2	7.59784	8.630195	0.183803826430328	0.47122764208043
AHR	18.10015	13.55	-0.417708801716043	0.156557243492381
AHRR	0.9531255	0.6971695	-0.451156733925462	0.0962296680724009
AHSA1	130.9135	207.313	0.663196708656973	0.0547550243189933
AHSA2	18.65445	30.32945	0.701199511129057	0.0572011797462213
AIDA	108.969	77.9714	-0.482900824979712	0.0299566292531924
AIF1L	5.59169	17.87475	1.67656677831721	0.00020880319159608
AIFM1	47.0103	61.4564	0.386586371816414	0.053223884078201
AIFM2	9.66606	12.93455	0.420230007626926	0.0379792110307516
AIG1	23.82845	28.5515	0.260881432205004	0.253203928374279
AIM1	17.22785	27.50745	0.675079737464514	0.121841483368878
AIM1L	3.82625	0.573183	-2.73886341321019	0.00866722576841708
AIMP1	20.7266	34.00245	0.71415522595747	0.023616616335804
AIMP2	46.8896	42.5865	-0.138871806043843	0.0647077805264751
AIP	33.57075	45.7523	0.446639502036518	0.0808701471178153
AJUBA	9.50477	10.054075	0.0810567346717234	0.0608407553216155
AK1	20.9979	21.9164	0.0617657886997198	0.645947227212484
AK2	82.11565	87.9994	0.0998364831133035	0.24994310834165
AK3	31.72005	35.34525	0.156121301090408	0.135648057583784
AK4	8.998035	15.5252	0.786929970022958	0.0110362778126659
AKAP1	20.73935	45.49735	1.13341183897286	0.00100539294606283
AKAP10	6.76853	13.17195	0.960554494512613	0.042031568206843
AKAP11	8.273785	6.854915	-0.271408691740153	0.226931015724834
AKAP12	3.760865	7.963925	1.08241511425928	0.0638678687873464
AKAP13	13.55425	9.014805	-0.588377096402853	0.0882407543852584
AKAP2	15.7533	20.64025	0.38980636924862	0.0676850442725639
AKAP7	1.800125	3.1162	0.791690739364191	0.0649565348363605
AKAP8	9.732725	13.84545	0.508496247313063	0.0145064519965644
AKAP8L	37.0743	24.83475	-0.578059229505317	0.0537491094526184
AKAP9	6.49824	4.62432	-0.490807792947468	0.0982667957213988
AKD1	2.24287	1.63502	-0.456037718888123	0.154915408571349
AKIP1	10.4059	17.3151	0.734628971273023	0.126346515443366
AKIRIN1	46.51475	23.7908	-0.967284487444684	0.0621288195210572
AKIRIN2	32.26645	25.97935	-0.312669524035101	0.0260462960982823
AKNA	2.59892	3.375325	0.377114196233867	0.128137255516854
AKR1A1	34.59985	22.78135	-0.60291254114676	0.00572567053732381
AKR1B1	154.879	212.5075	0.456372216226718	0.0616075926712321
AKR1B10	0.3953565	1.767025	2.16009640228802	0.0179546184171518
AKR1C1	1.796345	6.821485	1.92502138440065	0.0723982805102159
AKR1C2	0.189672	2.12485	3.48578237613132	0.00311811810645859
AKR1C3	4.708125	22.00395	2.22453800050527	0.04521283267816
AKR1E2	1.3115	2.03237	0.631945266048701	0.0438095616594367
AKR7A2	43.17685	22.70965	-0.926952522811654	0.0281552485709298
AKR7A2P1	1.86753	0.3088715	-2.5960527558974	0.00666610922128643
AKT1	66.53325	61.07045	-0.123601032082302	0.282239906808913
AKT1S1	28.3295	43.56155	0.620750149537346	0.0216147775258701
AKT2	16.63645	28.64195	0.783782103306768	0.00237662792050256
AKT3	14.19895	19.8426	0.482816828564616	0.226815591485273
AKTIP	14.8897	21.37755	0.521781834152478	0.0551952203747453
ALAD	17.4135	10.017195	-0.797727620663436	0.0175599520147237
ALAS1	11.7169	13.79525	0.235580682647397	0.0477530638767378
ALCAM	31.97775	19.3392	-0.725540315880044	0.0186762915512425
ALDH16A1	14.87435	11.121	-0.419540103916047	0.0869287245361802
ALDH18A1	39.9556	44.24815	0.147219418796805	0.0773253378477798
ALDH1A1	0.3313265	2.824705	3.0917747044496	0.000802274036170424
ALDH1A3	3.380765	7.525975	1.15452876033451	0.000300168717738072
ALDH1B1	4.481895	15.0806	1.75051307363567	0.0368344161149529
ALDH1L2	0.716622	2.99177	2.06171502911908	0.0588206057712149
ALDH2	21.81055	29.70405	0.445633497655192	0.0945118747830477
ALDH3A2	39.91205	26.051	-0.615485628594578	0.000989875563298012
ALDH3B1	9.672835	8.923345	-0.116354170124528	0.159989091721042
ALDH3B2	2.62554	5.6092	1.09518084901406	0.00531843841547607
ALDH4A1	5.338865	2.76191	-0.950866760590432	0.0276434691769765
ALDH5A1	8.054155	9.66452	0.262964844212386	0.150300721717081
ALDH6A1	7.46519	3.76406	-0.987889354377824	0.00188187811664285
ALDH7A1	29.32915	34.77875	0.245870820600673	0.0682185099691682
ALDH9A1	32.8355	20.9844	-0.64593921062082	0.036321103087157
ALDOA	2312.15	977.348	-1.24229074240442	0.00878995068056986
ALDOC	13.37585	1.877885	-2.83244995243906	0.024290032971368
ALG1	6.461155	10.48415	0.698345909884975	0.0224879101755967
ALG10	1.21068	2.32906	0.943930215434671	0.0481790484155643
ALG10B	2.195655	3.641045	0.729701187661539	0.116165729740324
ALG11	3.901785	4.860505	0.316971932378927	0.0664005011518348
ALG12	8.73945	8.94712	0.0338808767107418	0.782808301605827
ALG13	5.484295	7.99633	0.544031836084245	0.00552156416830207
ALG14	3.6277	9.70864	1.42021406082907	0.0122520909951855
ALG1L	0.841792	0.4764455	-0.821152603534323	0.242229740217052
ALG1L9P	2.10003	1.47556	-0.509147352083007	0.243923557339307
ALG2	30.53875	25.1852	-0.278064823791428	0.017909939587956
ALG3	49.4756	90.37745	0.869245648722916	0.0613707761418861
ALG5	28.58085	36.6443	0.35853998231762	0.0857795274408813
ALG6	6.970755	5.910855	-0.237948092272587	0.0575712992773184
ALG8	21.6619	51.904	1.26068593507522	0.0396367187363435
ALG9	3.65569	5.00997	0.454658228467437	0.0306813859255118
ALKBH1	4.50019	5.74872	0.353254849897315	0.0879588260438684
ALKBH2	20.09225	25.90825	0.366772439331237	0.208073381498724
ALKBH3	9.317935	26.36425	1.50050078442032	0.0614090845315718
ALKBH4	1.660785	7.416165	2.1588080237756	0.0323130880508775
ALKBH5	56.6498	34.8232	-0.702022080362453	0.00311835139199251
ALKBH6	6.42082	10.32375	0.685137650501348	0.012637517313326
ALKBH7	11.08925	6.471855	-0.776910604820907	0.0106496099464352
ALKBH8	0.8923375	7.00058	2.97181307992395	0.0055717563260878
ALMS1	3.36461	3.607895	0.100718064387043	0.65669016698087
ALOX12	1.38308	0.491805	-1.49172629968077	0.0780001028411267
ALOX12P2	4.585925	4.21329	-0.122265540955812	0.645933783283011
ALOXE3	1.84288	1.91985	0.0590314637340781	0.0971112865359106
ALPK1	1.9777	1.451495	-0.44628399603631	0.0846693207782401
ALPP	8.80576	16.4615	0.902576373154016	0.00929884109185356
ALS2	15.336	5.470755	-1.48711038888921	0.0070360307754196
ALS2CL	4.31361	3.40052	-0.343140369186744	0.0780231593938653
ALS2CR8	1.0325	1.39042	0.42937895770114	0.0354510521375091
ALX1	2.04786	3.07194	0.585032947910787	0.0745401542029798
ALX3	1.88798	1.18871	-0.667446686506817	0.0079647882323895
ALX4	1.644815	5.584965	1.76362291316114	0.0162383740101269
ALYREF	135.3635	262.434	0.955115865600654	0.0611192893379016
AMACR	3.146585	3.420105	0.120253702146781	0.0888576681761824
AMBRA1	16.331	12.7979	-0.351706035840502	0.0727871460965656
AMD1	61.7817	79.2337	0.358934604712173	0.00768671312279426
AMDHD2	6.603465	7.092565	0.103084226561467	0.134980968226983
AMER1	1.64987	4.001745	1.27827688535786	0.0877144686448428
AMFR	31.991	27.05215	-0.241922831644802	0.0764587733738323
AMH	4.176535	7.810315	0.903074207180239	0.00575496974413007
AMIGO1	0.791957	1.59533	1.01036087659415	0.0205153920544334
AMIGO2	8.787395	75.49625	3.10289753488619	0.00362261638486336
AMIGO3	8.88237	2.829765	-1.65026242049291	0.0141296954287779
AMMECR1	6.94934	13.03045	0.906939035200138	0.00165802957117243
AMMECR1L	6.29307	12.0301	0.934812739232516	0.0164830557007301
AMN	1.575535	1.45683	-0.113009267057821	0.38107193279426
AMN1	5.92283	2.855455	-1.0525660288843	0.0305902919980625
AMOT	0.3851095	0.809467	1.07170355413984	0.0217705098371985
AMOTL1	3.884735	10.29201	1.40563667132784	0.0894152310412846
AMOTL2	8.737385	14.05155	0.68545581298044	0.0115824119496953
AMPD2	14.48365	15.05365	0.0556881146948068	0.552587768484341
AMPD3	0.593555	1.557405	1.39169053891736	0.0235883192775276
AMT	1.096575	1.13788	0.0533439319050398	0.804652697494043
AMY2B	1.19196	0.5920565	-1.00952905836076	0.0307759641300024
AMZ1	0.2739665	0.3030275	0.145449230920671	0.815460923354709
AMZ2	45.18965	61.6532	0.448183393916423	0.0394636431779714
AMZ2P1	2.05706	0.8580555	-1.26144100377477	0.00247902861717537
ANAPC1	10.42755	17.9886	0.786682680280693	0.0648325851254246
ANAPC10	8.938885	9.55193	0.0956973773049914	0.754892578466612
ANAPC11	123.191	96.53145	-0.351825905576523	0.157139688405075
ANAPC13	33.1651	35.22545	0.0869522609503068	0.236148172656622
ANAPC15	22.90815	24.0452	0.0698879709103754	0.764233516369277
ANAPC16	30.9457	22.38765	-0.467035857984558	0.0554722116330984
ANAPC2	34.13015	29.2135	-0.224411540624606	0.129278051111065
ANAPC4	16.1278	13.2189	-0.286947524128776	0.109977511288633
ANAPC5	77.1996	100.4022	0.379125604299086	0.0372217313854411
ANAPC7	26.7068	44.69095	0.742775589489168	0.00524212731819661
ANG	4.165885	0.8601785	-2.27591503711944	0.0285215641855388
ANGEL1	9.40875	10.32795	0.134478949885292	0.341724665907185
ANGEL2	7.403345	7.48588	0.0159946612183678	0.803963568783597
ANGPT1	0.174044	1.502	3.10936082834874	0.0063750584071325
ANGPTL4	77.1092	46.32315	-0.735169639522005	0.0237734526907546
ANGPTL6	1.858325	1.311765	-0.502493547556001	0.122073355930417
ANK3	1.34059	1.811225	0.434097699314871	0.060340083305834
ANKEF1	10.43735	9.729875	-0.101262288204783	0.271352816418038
ANKFY1	18.7346	20.5154	0.13100210831846	0.368416559514971
ANKH	1.808245	3.187225	0.817710706340839	0.0389050766450902
