SUM149_DMSO_12H_R	SUM149_JQ1_12H_R	SUM149R_DMSO_12H_R	SUM149R_JQ1_12H_R
ABCD3	48.4888	74.8529	35.1572	59.69775
ABCD4	5.357035	6.1433	3.504195	3.65627
ABCE1	90.64665	49.417	100.26835	69.57255
ABCF1	55.1474	66.0197	41.41415	50.16295
ABCF2	55.8204	42.89555	79.2401	62.37045
ABCF3	34.1584	43.2803	35.5678	42.5745
ABCG1	1.42241	1.86024	2.30279	3.71476
ABCG2	1.0097195	0.189254	0.4235945	0.222854
ABCG4	0.02949	0.03157845	0.0533277	0.0701662
ABCG5	0	0.02155035	0	0.0058032
ABCG8	0	0	0	0.01195995
ABHD1	0.09337555	0.0870371	0.174562	0.15474855
ABHD10	26.586	30.31675	20.6431	30.022
ABHD11	14.81035	16.9807	12.80525	19.06255
ABHD12	31.31915	36.80695	33.26545	40.7949
ABHD12B	0.2104565	0.1174405	0.2831455	0.1516161
ABHD13	4.48442	4.34852	4.484825	4.315005
ABHD14A	1.8646	1.870325	3.211305	4.179365
ABHD14A-ACY1	0.99545	0.2594415	1.515015	0.3067295
ABHD14B	9.87582	8.54676	8.943095	10.8589
ABHD15	9.54101	13.15735	9.20285	12.5538
ABHD16A	20.9774	26.0056	12.6418	13.2204
ABHD16B	9.754645	15.1616	6.48072	7.9346
ABHD2	9.515505	13.56395	16.6945	22.1873
ABHD3	14.97535	36.12695	17.80545	39.87685
ABHD4	3.853525	9.08334	2.89098	3.55619
ABHD5	4.81913	5.25761	6.091605	7.37292
ABHD6	1.31598	2.307535	3.710965	5.13894
ABHD8	4.740585	5.86384	4.06116	5.25043
ABI1	13.01395	21.0091	15.67665	20.6385
ABI2	12.1974	7.09601	9.217885	7.183715
ABI3	0	0.0073067	0	0
ABI3BP	0.01233275	0.01886995	0.03341295	0.0056837
ABL1	22.10265	16.95365	23.64165	20.61225
ABL2	3.79658	4.36439	5.78671	3.507715
ABLIM1	12.16015	4.75507	14.1616	8.54516
ABLIM2	0.4927765	0.959207	0.5937975	1.0573175
ABLIM3	11.41255	6.09113	13.38375	7.537245
ABO	0	0.0192385	0	0
ABP1	0	0.01185335	0.01101215	0.01745655
ABR	18.87605	11.05755	17.18235	13.34635
ABRA	0.04361475	0.04173705	0.02367645	0.0441416
ABRACL	65.605	47.7668	75.64145	55.7458
ABT1	31.6104	22.16045	18.962	14.4833
ABTB1	3.818105	4.05877	3.791	4.672075
ABTB2	5.864075	11.6695	8.76265	15.7386
ACAA1	25.11425	45.05	28.2677	36.88785
ACAA2	60.8982	48.59055	82.7209	71.96325
ACACA	21.72245	14.89255	23.40215	17.9917
ACACB	0.482686	0.593806	0.8636075	1.527825
ACAD10	6.360495	10.24055	7.579655	11.28955
ACAD11	4.58561	4.94159	3.752345	3.5142
ACAD8	5.04332	8.9865	5.567025	7.67723
ACAD9	15.7937	17.85425	17.713	21.45265
ACADL	0.217621	0.0586332	0.0581957	0.03940375
ACADM	43.27555	41.08735	31.68845	33.49235
ACADS	1.886225	2.37885	1.606735	2.257885
ACADSB	4.58623	5.844655	3.946565	5.301125
ACADVL	121.1545	246.59	172.2535	254.34
ACAN	0.0466967	0.0175195	0.0538471	0.0319922
ACAP1	0.408019	0.6271915	0.2754365	0.3307355
ACAP2	11.16185	15.47385	9.87922	12.92375
ACAP3	12.15825	19.81975	5.92617	9.75998
ACAT1	56.0141	52.88145	62.40945	55.4004
ACAT2	86.0799	57.4898	63.8325	43.2297
ACBD3	46.66045	52.4093	32.28165	42.2095
ACBD4	8.133955	9.91296	8.297115	9.09534
ACBD5	9.84178	8.07585	11.4672	9.287925
ACBD6	46.68525	32.48035	49.9921	39.52085
ACBD7	1.173585	3.515095	1.56925	3.963885
ACCS	2.203625	2.77567	1.700285	1.616925
ACCSL	0.249304	0.0330987	0.0148728	0.0075039
ACD	51.5792	38.3073	38.0552	37.65065
ACE	0.3013385	0.2201925	0.187914	0.19252
ACE2	0.01953575	0.0285672	0.0690713	0.0354045
ACER1	0	0.0299096	0	0
ACER2	0.589524	3.92192	0.759031	3.645565
ACER3	9.36635	8.959245	8.61172	9.21489
ACHE	0.0341962	0.02004835	0.0217337	0.01616965
ACIN1	59.5462	68.98185	69.17285	69.40345
ACLY	70.3982	64.57225	87.14625	88.45545
ACMSD	0.02514475	0.11541955	0.02244795	0.05376885
ACN9	11.60455	12.0804	15.3095	19.1318
ACO1	6.15441	7.945845	9.599745	13.34125
ACO2	29.12825	37.52395	32.9971	40.12095
ACOT1	0	0	0	0
ACOT11	9.544875	7.55649	5.866375	3.65671
ACOT12	0	0.0074113	0.0065803	0
ACOT13	10.8985	8.963545	8.063895	7.064
ACOT2	6.28492	4.02357	6.22908	4.77184
ACOT4	1.24588	0.5629955	1.46779	1.76124
ACOT6	0.01943735	0.0337632	0.0446904	0
ACOT7	69.76755	78.4027	46.1406	66.3047
ACOT8	28.9377	39.01375	22.86595	25.4882
ACOT9	36.3138	52.79785	23.29135	27.4161
ACOX1	6.142265	9.932495	3.46252	5.029195
ACOX2	7.904915	7.400105	8.829865	5.1334
ACOX3	3.750135	4.506455	3.43156	3.966055
ACOXL	2.000535	0.784755	1.721025	1.0061405
ACP1	137.181	127.4625	149.4795	141.005
ACP2	10.94435	13.8249	11.6676	12.74425
ACP5	0.16399	0.26794	0.22603	0.2512405
ACP6	9.96255	8.363725	8.134475	5.63586
ACPL2	13.8004	3.42685	7.610155	4.73585
ACPP	0.2941655	0.470178	0.0748975	0.0953799
ACPT	0.0878441	0.07193115	0.04156595	0.0704224
ACR	0.0225596	0.0710065	0.03114365	0
ACRBP	0.04407075	0.1282285	0.2804285	0.455549
ACRC	0.248569	0.6971995	0.577569	0.5760325
ACRV1	0.3143085	0.4168605	0.393884	0.6134095
ACSBG1	0.0956097	0.1571245	0.164655	0.222459
ACSBG2	0.11870245	0.113313	0.0724354	0.0846026
ACSF2	6.917005	9.57944	4.901645	9.28675
ACSF3	8.613545	5.938635	10.93105	9.92994
ACSL1	49.03575	50.7053	51.8973	52.60895
ACSL3	52.3324	58.84805	43.0896	48.16265
ACSL4	17.081	12.91725	23.40025	18.9842
ACSL5	0.622529	0.1803775	0.4631445	0.205176
ACSL6	0.038866	0.0692852	0.0314676	0.0512944
ACSM1	0	0.00747385	0.0133087	0.0079666
ACSM2A	0.005	0.03439335	0	0
ACSM2B	0	0	0.0055785	0
ACSM3	0.222562	0.217974	0.841418	0.819684
ACSM4	0.03033365	0	0.0076313	0.007879
ACSM5	0	0.0122061	0	0
ACSS1	0.04801005	0.03707905	0.13130215	0.04032765
ACSS2	30.00475	44.4539	29.6254	39.36145
ACSS3	0.0160051	0.02399675	0.005	0.03796085
ACTA1	0.1188135	0.2500105	0.188258	0.246618
ACTA2	1.30983	1.498205	0.5826135	1.0000455
ACTB	1404.035	1794.595	1624.13	2104.86
ACTBL2	0.484057	1.24965	0.788788	1.586675
ACTC1	0.129959	0.0844332	0.192335	0.041955
ACTG1	1965.415	3096.11	2550.43	4230.665
ACTG1P4	0.4114535	0.69932	0.5820685	0.890813
ACTG2	0.1239655	0.192839	0.08672565	0.188163
ACTL10	3.23154	8.559885	2.67751	4.886695
ACTL6A	89.51275	77.56375	99.09665	105.181
ACTL6B	0	0.04116655	0	0.0091366
ACTL7A	0	0.0215217	0.0199944	0.02393735
ACTL7B	0	0.022464	0	0.01007745
ACTL8	2.473095	0.8559425	12.27085	3.576685
ACTL9	0	0.01132965	0	0
ACTN1	123.2815	115.987	124.005	128.005
ACTN1-AS1	0.06645945	0.238239	0.02966585	0.0612575
ACTN2	0.005	0.0218237	0	0.01
ACTN3	0.0054014	0.0770459	0.00859365	0.02285285
ACTN4	160.387	248.221	217.8265	288.193
ACTR10	26.96045	26.2663	31.2305	29.6933
ACTR1A	43.813	50.24225	34.06775	39.77775
ACTR1B	16.1036	20.8984	16.792	20.37495
ACTR2	129.449	124.9405	117.1455	124.843
ACTR3	73.77825	60.97535	81.40735	64.8351
ACTR3B	6.070865	5.79008	9.06181	8.596585
ACTR3BP2	0	0.024336	0	0
ACTR3BP5	0	0	0	0
ACTR3C	0.622623	0.305498	0.5003335	0.30203
ACTR5	11.73045	10.2997	13.20995	13.5826
ACTR6	56.1028	30.2867	56.0202	36.1492
ACTR8	5.18471	5.970835	5.08404	5.892245
ACTRT1	0	0	0	0
ACTRT2	0	0.01132965	0	0
ACTRT3	4.885515	3.18664	4.343385	2.898995
ACVR1	9.45734	16.45675	7.757325	11.1005
ACVR1B	4.58347	2.420905	4.19419	2.94008
ACVR1C	0.1242635	0.3777985	0.07598075	0.1673795
ACVR2A	2.527555	4.26189	2.11846	3.6231
ACVR2B	1.176795	0.3747515	1.194645	0.511024
ACVR2B-AS1	0.726487	0.3459505	0.701436	0.5432565
ACVRL1	0.04026885	0.08948995	0.039918	0.0496954
ACY1	13.7338	8.306275	18.04555	11.51215
ACY3	0.0970238	0.0241305	0.054059	0
ACYP1	16.02465	19.82865	12.24335	16.55565
ACYP2	7.953345	10.099325	5.711305	6.72132
ADA	8.849055	3.50738	6.572705	4.61973
ADAD1	0	0	0	0
ADAD2	0	0.00713505	0	0
ADAL	4.09599	4.519295	4.11355	5.27044
ADAM10	7.831355	8.020135	9.516505	11.28125
ADAM11	0.1316835	0.490277	0.2861335	0.406703
ADAM12	0.358398	0.2221725	0.404829	0.3710875
ADAM15	75.96475	75.85955	64.04615	67.7216
ADAM17	22.96085	30.6488	22.9036	27.55555
ADAM18	0	0	0	0
ADAM19	8.96466	2.74202	7.615335	3.80709
ADAM1A	0.555263	0.4408565	0.843536	0.5802235
ADAM2	0	0	0	0
ADAM20	0.01246525	0.0571292	0.005	0.0197473
ADAM20P1	0.0523648	0.343523	0.05923405	0.059622
ADAM21	0.0213974	0.0547217	0.02931785	0.0207743
ADAM21P1	0.00843535	0	0.00666155	0.0065731
ADAM22	1.09204	1.0316535	1.644075	1.81449
ADAM23	0.40473	0.1845625	0.504458	0.31466
ADAM28	0.1560415	0.07726375	0.0266872	0.00976
ADAM29	0	0.005	0.005	0
ADAM30	0	0	0	0
ADAM32	0.3043065	0.391503	0.31932	0.29076
ADAM33	0.0243914	0.04134285	0.01848195	0.03227975
ADAM3A	0.0206475	0.01142505	0.02559565	0.0336548
ADAM5	0	0.00919525	0	0.00980155
ADAM6	0	0.02457855	0	0
ADAM7	0.005	0	0	0
ADAM8	27.8666	48.9064	27.19775	37.94255
ADAM9	38.18835	36.2582	31.38705	29.1053
ADAMDEC1	0	0	0	0
ADAMTS1	2.625995	1.51336	0.44831	0.190495
ADAMTS10	0	0.01683495	0	0.00729955
ADAMTS12	0.005	0.01614505	0.03025965	0.0178791
ADAMTS13	0.3287035	0.288483	0.704418	0.537764
ADAMTS14	0.01561265	0.0237748	0.01901495	0.0226091
ADAMTS15	0.1274645	0.0886498	0.1835195	0.1182505
ADAMTS16	0	0.00554915	0	0.005
ADAMTS17	0.07207585	0.0836826	0.05913985	0.0474988
ADAMTS18	0.01	0.00695495	0	0
ADAMTS19	0.005	0.01	0	0.005
ADAMTS2	0.183004	0.199843	0.12214965	0.148071
ADAMTS20	0.01344815	0.01218135	0.01527175	0.0065831
ADAMTS3	0.73292	0.5729775	0.607332	0.60892
ADAMTS4	0.5048715	0.4783775	0.3684235	0.436246
ADAMTS5	0.0115848	0.005	0.005	0
ADAMTS6	0.573099	0.1900545	1.107495	0.1696075
ADAMTS7	1.893055	1.546775	1.443225	1.46094
ADAMTS8	0	0.01298405	0	0
ADAMTS9	0.2171745	0.10427655	0.03210285	0.02157625
ADAMTS9-AS2	0.00768975	0.0133573	0	0.00599215
ADAMTSL1	0.01111585	0.02408475	0.0130497	0.0345878
ADAMTSL2	0.11984155	0.1812215	0.1085467	0.131361
ADAMTSL3	0.0590711	0.0451915	0.09082485	0.08868045
ADAMTSL4	5.51059	2.64146	2.96014	1.52919
ADAMTSL5	0.6203015	0.790844	0.726192	0.874241
ADAP1	5.850985	2.058125	5.380185	2.43849
ADAP2	0.521627	0.338392	0.4299175	0.193627
ADAR	38.09595	29.8713	40.15155	40.0536
ADARB1	3.69445	9.649855	3.351765	6.629835
ADARB2	1.020845	0.525641	1.0396815	1.033755
ADARB2-AS1	0.05968105	0.03000425	0.02787495	0
ADAT1	8.369835	11.424	8.855905	11.62245
ADAT2	3.253445	0.576586	3.521155	0.869427
ADAT3	3.17429	6.23407	3.19887	5.907165
ADC	1.18677	4.375135	0.6246185	2.17965
ADCK1	2.875335	4.21344	2.663215	3.609145
ADCK2	8.12071	5.731345	13.98305	11.0208
ADCK3	30.96135	26.27175	32.09665	31.8369
ADCK4	9.73239	9.235	11.69855	8.127155
ADCK5	3.25451	8.09028	2.418585	5.237545
ADCY1	3.662875	2.14346	4.979755	4.281485
ADCY10	0.0117757	0.0841406	0.01708515	0.07206175
ADCY10P1	0.05749765	0.258694	0.10284925	0.233407
ADCY2	0.044096	0.03806745	0.0190241	0.01
ADCY3	25.05115	8.497365	26.71135	21.75145
ADCY4	0.00611755	0.01359495	0.005	0.005
ADCY5	0.0192202	0.07673795	0.0489955	0.0898097
ADCY6	8.11637	4.69124	7.380995	6.291885
ADCY7	18.0346	3.84947	19.1345	5.52371
ADCY8	0	0.01018785	0	0
ADCY9	1.39659	0.685008	2.038855	1.82314
ADCYAP1	0.01242515	0.0188844	0.4324935	0.0751992
ADCYAP1R1	0.01018295	0.0156306	0.010925	0
ADD1	39.32665	37.66825	31.95	32.80315
ADD2	16.64415	6.935895	17.94675	15.0774
ADD3	18.24545	16.58005	11.5928	13.1435
ADGB	0	0.005	0	0
ADH1A	0	0	0	0.00935495
ADH1B	0	0.00533965	0.005	0.005
ADH1C	0.053721	0	0.0378717	0
ADH4	0.1461715	0.1979875	0.1086386	0.10439425
ADH5	56.12365	45.15025	65.33665	52.2657
ADH6	0.1449735	0.04519055	0.12945005	0.0245971
ADH7	0	0	0	0
ADHFE1	0.0650877	0.09625485	0.01421365	0.03738625
ADI1	72.2784	161.2985	111.174	221.4635
ADIG	0	0	0	0
ADIPOQ	0.1118165	0.1113263	0.1260625	0.106539
ADIPOQ-AS1	0.1758665	0.2416525	0.1587215	0.153551
ADIPOR1	87.68855	94.18325	89.7116	95.0647
ADIPOR2	44.6677	53.4672	55.2958	64.6305
ADIRF	15.908	19.06325	39.98645	44.37475
ADK	31.49875	53.57795	25.40715	39.98715
ADM	8.794265	21.74525	3.882715	5.85912
ADM2	1.0941175	0.7657675	1.562625	0.6430435
ADM5	1.551205	1.65987	3.133795	2.910445
ADNP	25.3828	13.6467	28.4825	15.78625
ADNP2	14.933	11.55025	15.97865	16.61985
ADO	12.89695	11.75765	12.54385	13.6959
ADORA1	2.385865	0.228157	3.57892	0.488036
ADORA2A	0.2415345	0.4047815	0.346048	0.297013
ADORA2A-AS1	0.333833	0.436259	0.1977975	0.2646735
ADORA2B	11.6675	4.18957	16.04865	8.14936
ADORA3	0	0.020879	0	0
ADPGK	34.33895	34.0886	60.01155	65.4319
ADPGK-AS1	1.895955	1.946375	2.82784	3.18195
ADPRH	1.18513	0.308748	1.4004	0.4254305
ADPRHL1	6.06267	4.868675	3.06606	3.20266
ADPRHL2	37.77705	54.08735	22.19375	28.7929
ADPRM	3.27114	9.11998	4.734335	9.344585
ADRA1A	0.290521	0.322675	0.233496	0.312562
ADRA1B	2.569745	1.372395	1.70027	0.674597
ADRA1D	0.01505765	0.03855425	0.02996465	0.0169551
ADRA2A	0	0.018818	0	0
ADRA2B	0.01210825	0.0176621	0.0130299	0.005
ADRA2C	0.0333902	0.2147855	0.1093176	0.2285245
ADRB1	0.0580262	0.07618705	0.10473435	0.0550659
ADRB2	0.461372	2.1092	3.38473	4.068455
ADRB3	0.005	0.0336869	0.0050338	0.00993395
ADRBK1	52.71965	39.0448	38.7924	35.3915
ADRBK2	0.6621785	0.409813	1.42028	1.177265
ADRM1	180.5745	228.6045	186.015	214.703
ADSL	87.3375	64.6884	71.57735	68.88465
ADSS	61.5061	38.7274	52.5713	38.29895
ADSSL1	1.51416	1.77946	1.267835	1.66764
ADTRP	4.144625	2.741545	2.76119	1.905695
AEBP1	0.0382549	0.0799924	0.02797905	0.0093873
AEBP2	14.64685	12.1364	19.792	15.81085
AEN	19.2574	9.101605	37.3094	24.72185
AES	101.0366	48.24355	137.466	72.22115
AFAP1	13.26495	9.100215	10.9419	10.7282
AFAP1-AS1	0.66449	0.5052655	0.327216	0.27813
AFAP1L1	5.336335	1.97323	6.916955	4.819055
AFAP1L2	1.399145	1.087825	0.439267	0.2681135
AFF1	4.950475	9.048895	5.1051	6.737205
AFF2	0.01	0.0121967	0.01	0.01
AFF3	0.143424	0.179836	0.1141505	0.12101
AFF4	11.2307	18.1489	14.17765	17.70135
AFG3L1P	11.569	11.3849	9.27899	9.797325
AFG3L2	58.72575	68.7938	70.10405	79.2315
AFM	0	0.00737825	0	0
AFMID	6.84031	21.7662	5.381365	9.78106
AFP	0	0	0	0.00804935
AFTPH	13.82845	18.09285	19.0851	20.71085
AGA	18.25185	17.5124	19.89155	18.50665
AGAP1	4.96342	3.870135	4.568205	3.91767
AGAP11	0.0949784	0.2115925	0.162918	0.1652509
AGAP2	0.1118649	0.0841183	0.1366515	0.1183645
AGAP3	31.20115	21.18855	33.0726	29.84075
AGAP4	0	0.00594115	0	0
AGAP5	0.4931175	1.871495	0.371656	0.7471505
AGAP6	1.485745	1.89613	1.63311	1.286255
AGAP7	0.0564199	0.04856155	0.0374141	0.06375645
AGAP8	0.201328	0.2630605	0.120751	0.18006
AGAP9	0	0	0	0
AGBL1	0	0.01304695	0.01	0.00737665
AGBL2	0.297143	0.3274885	0.213162	0.2998185
AGBL3	0.0398735	0.158312	0.1076831	0.1826365
AGBL4	0.005	0.005	0.0132471	0.0087141
AGBL5	16.229	9.818855	13.35245	10.4418
AGER	4.729815	2.919615	2.222235	1.365265
AGFG1	11.07335	12.15485	11.8661	12.68655
AGFG2	2.454445	3.954295	2.766275	5.333185
AGGF1	11.5579	11.7744	13.7832	13.1597
AGK	8.512585	7.64514	11.08355	11.88865
AGL	7.229795	7.5829	5.299945	6.148305
AGMAT	7.945685	3.18008	6.96662	3.390655
AGMO	0.1090321	0.1372905	0.0583401	0.04614385
AGO1	9.70219	8.710205	6.220725	6.640205
AGO2	20.3841	17.59755	17.7189	15.9337
AGO3	7.18223	15.4353	3.76254	6.2478
AGO4	2.09946	0.2820215	0.819624	0.2101225
AGPAT1	51.1765	47.49125	28.68195	26.65275
AGPAT2	47.18265	44.1297	44.5504	45.5547
AGPAT3	15.13715	3.45822	15.632	9.401765
AGPAT4	1.43053	2.17651	1.0188865	1.136365
AGPAT4-IT1	0.5816625	0.5259	0.2487435	0.285966
AGPAT5	21.485	13.08945	24.633	18.15895
AGPAT6	25.6355	33.97895	25.25255	31.3949
AGPAT9	4.146775	2.869205	2.12574	0.883373
AGPHD1	3.66553	5.205905	5.249075	6.519225
AGPS	18.76655	11.3549	19.9917	17.59265
AGR2	5.10304	18.63355	2.50587	4.480135
AGR3	0	0	0.02147965	0
AGRN	39.63365	73.4868	15.22285	29.6915
AGRP	0.04691975	0.0974286	0.0438292	0
AGSK1	0.05330835	0.0917677	0.0201666	0.06319085
AGT	0.03821445	0.1026138	0.08022245	0.04626415
AGTPBP1	4.895575	5.97769	6.9731	7.088625
AGTR1	0	0.03377945	0	0
AGTR2	0	0	0	0
AGTRAP	77.7749	51.2053	57.9447	40.96195
AGXT	0.0154219	0	0.02566375	0
AGXT2	0.0070685	0	0	0
AGXT2L1	0.0905758	0.113447	0.0799909	0.0298773
AGXT2L2	5.23752	7.41083	5.21986	5.409675
AHCTF1	12.9292	12.82465	11.6792	12.69825
AHCTF1P1	0.086909	0.109669	0.10678925	0.1006628
AHCY	194.3525	249.6435	184.841	247.605
AHCYL1	66.3012	86.1656	46.51925	58.8122
AHCYL2	2.651845	5.79746	4.31714	9.311905
AHDC1	4.885975	5.6002	2.274755	2.324195
AHI1	6.84391	6.425885	6.41272	6.895915
AHNAK	35.0249	71.3783	54.498	69.6819
AHNAK2	3.91026	7.59784	8.630195	9.10063
AHR	13.73845	18.10015	13.55	17.5305
AHRR	0.5825825	0.9531255	0.6971695	0.732828
AHSA1	173.245	130.9135	207.313	162.429
AHSA2	32.96905	18.65445	30.32945	16.6271
AHSG	0	0.04956605	0	0
AHSP	0	0.0436602	0	0
AICDA	0.1980995	0.382046	0.2081165	0.2334125
AIDA	102.1875	108.969	77.9714	98.85795
AIF1	0	0.07483	0	0
AIF1L	8.79756	5.59169	17.87475	11.14865
AIFM1	74.2367	47.0103	61.4564	50.32145
AIFM2	14.9457	9.66606	12.93455	8.451295
AIFM3	0.4936025	0.2636935	0.350655	0.1141555
AIG1	26.05045	23.82845	28.5515	29.8444
AIM1	21.64135	17.22785	27.50745	20.1505
AIM1L	2.11779	3.82625	0.573183	0.538369
AIM2	0.0990034	0.0422278	0.0558946	0.01894355
AIMP1	30.49285	20.7266	34.00245	23.4445
AIMP2	38.34015	46.8896	42.5865	53.47705
AIP	50.44445	33.57075	45.7523	35.77685
AIPL1	0.2514665	0.4900125	0.271469	0.2640145
AIRE	0.1530365	0.2075755	0.0981811	0.128133
AIRN	0.01210795	0.0066231	0	0
AJAP1	0	0.00708965	0.005	0.00892235
AJUBA	7.8958	9.50477	10.054075	6.44269
AK1	22.59785	20.9979	21.9164	20.70805
AK2	105.4985	82.11565	87.9994	71.943
AK3	29.00055	31.72005	35.34525	43.12585
AK4	19.70995	8.998035	15.5252	7.91634
AK5	0.07472235	0.0604611	0.04245735	0.0305234
AK7	0.8337065	0.5075055	0.7442905	0.69241
AK8	0.1364175	0.08558335	0.1390165	0.06146665
AKAP1	32.7512	20.73935	45.49735	37.61205
AKAP10	9.224725	6.76853	13.17195	10.9701
AKAP11	7.828975	8.273785	6.854915	8.4061
AKAP12	5.88152	3.760865	7.963925	7.546065
AKAP13	6.67983	13.55425	9.014805	14.98735
AKAP14	0.197088	0.02164375	0	0.04541455
AKAP17A	0	0	0	0
AKAP2	11.251	15.7533	20.64025	22.78135
AKAP3	0.152966	0.129323	0.0466672	0.05904175
AKAP4	0	0	0	0
AKAP5	0.484069	0.3190945	0.337422	0.309794
AKAP6	0.09658105	0.1161375	0.0888594	0.05905455
AKAP7	3.898865	1.800125	3.1162	2.664
AKAP8	13.2849	9.732725	13.84545	10.33094
AKAP8L	24.50605	37.0743	24.83475	27.86085
AKAP9	4.13768	6.49824	4.62432	5.944505
AKD1	1.64416	2.24287	1.63502	2.33762
AKIP1	15.3526	10.4059	17.3151	13.26245
AKIRIN1	37.417	46.51475	23.7908	25.479
AKIRIN2	24.36785	32.26645	25.97935	31.5371
AKNA	2.699105	2.59892	3.375325	4.40826
AKNAD1	0.7475485	0.3282395	0.379581	0.08540295
AKR1A1	29.92675	34.59985	22.78135	26.11125
AKR1B1	134.6045	154.879	212.5075	244.837
AKR1B10	0.4509555	0.3953565	1.767025	0.866963
AKR1B15	0.05892965	0.11371955	0.219474	0.1565452
AKR1C1	2.831825	1.796345	6.821485	4.16074
AKR1C2	0.5347835	0.189672	2.12485	0.976599
AKR1C3	4.061225	4.708125	22.00395	13.986
AKR1C4	0.0483705	0.0139639	0.02431485	0.0122677
AKR1C6P	0.02702635	0.0226521	0.05012425	0.02465895
AKR1CL1	0.09829335	0.05713025	0.08693315	0.02657195
AKR1D1	0.3579775	0.375377	0.187426	0.2006005
AKR1E2	1.372945	1.3115	2.03237	2.551885
AKR7A2	24.79665	43.17685	22.70965	35.26415
AKR7A2P1	0.8080905	1.86753	0.3088715	0.590377
AKR7A3	0.5358765	0.8576245	0.243519	0.3430225
AKR7L	0.5483175	0.661885	0.295033	0.44041
AKT1	73.85455	66.53325	61.07045	76.87395
AKT1S1	29.56975	28.3295	43.56155	35.7909
AKT2	27.9699	16.63645	28.64195	20.6645
