SUM149_JQ1_12H_R	SUM149R_JQ1_12H_R	LOG2_FOLD_CHANGE	P_VALUE
ACADVL	246.59	254.34	0.0446440771208195	0.500331166736586
ACAP2	15.47385	12.92375	-0.25980744570917	0.114050406657216
ACAP3	19.81975	9.75998	-1.02198866838896	0.000582292981946535
ACAT1	52.88145	55.4004	0.0671346569769021	0.512358241706755
ACAT2	57.4898	43.2297	-0.411283187363991	0.0241386671891475
ACBD3	52.4093	42.2095	-0.312255100179866	0.00584531447094745
ACBD4	9.91296	9.09534	-0.124188339652109	0.0997930895852798
ACBD5	8.07585	9.287925	0.20174220803695	0.133810428012978
ACBD6	32.48035	39.52085	0.283046797491926	0.0117662730372056
ACBD7	3.515095	3.963885	0.17335142721855	0.505533212122398
ACCS	2.77567	1.616925	-0.779583293884248	0.0355954548251218
ACD	38.3073	37.65065	-0.0249445726083009	0.739954776552841
ACER2	3.92192	3.645565	-0.105417682639685	0.607444767163865
ACER3	8.959245	9.21489	0.0405897834353822	0.408892928471166
ACIN1	68.98185	69.40345	0.00879055956169689	0.881380385298287
ACLY	64.57225	88.45545	0.454036736109929	0.026563053283627
ACN9	12.0804	19.1318	0.663304389640022	0.0393091199467495
ACO1	7.945845	13.34125	0.74762128916875	0.00408632428818469
ACO2	37.52395	40.12095	0.0965440643359075	0.21544793082676
ACOT11	7.55649	3.65671	-1.04717003974053	0.0210530967385705
ACOT13	8.963545	7.064	-0.343584074837407	0.00828502836314568
ACOT2	4.02357	4.77184	0.246069538040073	0.168111380917962
ACOT4	0.5629955	1.76124	1.64539621913665	0.053269758116993
ACOT7	78.4027	66.3047	-0.241792198923488	0.0781581258202443
ACOT8	39.01375	25.4882	-0.614153184299779	0.00536535659761599
ACOT9	52.79785	27.4161	-0.945455823085093	0.00190571530828208
ACOX1	9.932495	5.029195	-0.981828669080493	0.0191523171632162
ACOX2	7.400105	5.1334	-0.527631060005283	0.0941595583341391
ACOX3	4.506455	3.966055	-0.184288299934352	0.389001762330596
ACOXL	0.784755	1.0061405	0.358517559830931	0.152153774408611
ACP1	127.4625	141.005	0.145673458514881	0.016555057399674
ACP2	13.8249	12.74425	-0.117422571860416	0.472430297839928
ACP6	8.363725	5.63586	-0.569509852562736	0.0876421028609625
ACPL2	3.42685	4.73585	0.466740343152263	0.0310623544548881
ACSF2	9.57944	9.28675	-0.0447675226095585	0.580039340546938
ACSF3	5.938635	9.92994	0.741653636014669	0.0635466960879913
ACSL1	50.7053	52.60895	0.0531717025930759	0.345251112183932
ACSL3	58.84805	48.16265	-0.289079836554386	0.129914738089936
ACSL4	12.91725	18.9842	0.555500242463103	0.00814313442224746
ACSS2	44.4539	39.36145	-0.175526626407127	0.0398872877807301
ACTA2	1.498205	1.0000455	-0.583169400722032	0.120923236602189
ACTB	1794.595	2104.86	0.230065982146032	0.0255319677661404
ACTBL2	1.24965	1.586675	0.344482566260292	0.190633854810214
ACTG1	3096.11	4230.665	0.450427723069616	0.0049225930765268
ACTG1P4	0.69932	0.890813	0.349169846403287	0.633477596753436
ACTL10	8.559885	4.886695	-0.808732352005664	0.00538080810918224
ACTL6A	77.56375	105.181	0.439419657612205	0.0263283772999832
ACTL8	0.8559425	3.576685	2.06303727675186	0.0140277745278131
ACTN1	115.987	128.005	0.142237049447999	0.011531310503089
ACTN4	248.221	288.193	0.215410118358883	0.0360327840717563
ACTR10	26.2663	29.6933	0.176924448177792	0.0685608966104763
ACTR1A	50.24225	39.77775	-0.336939400460503	0.0251822010769474
ACTR1B	20.8984	20.37495	-0.0365959735415495	0.49626466725083
ACTR2	124.9405	124.843	-0.00112627754539928	0.974037201934013
ACTR3	60.97535	64.8351	0.0885489272047067	0.0866587970724592
ACTR3B	5.79008	8.596585	0.570180380218007	0.0580901240085551
ACTR5	10.2997	13.5826	0.399157352136934	0.053135091901711
ACTR6	30.2867	36.1492	0.255279327467313	0.116110472800327
ACTR8	5.970835	5.892245	-0.0191152823681655	0.806818967824615
ACTRT3	3.18664	2.898995	-0.136483199538606	0.430171763681567
ACVR1	16.45675	11.1005	-0.5680547884893	0.0469279302835953
ACVR1B	2.420905	2.94008	0.280308944638917	0.0563384895799271
ACVR2A	4.26189	3.6231	-0.234268731737115	0.0483752049139484
ACVR2B	0.3747515	0.511024	0.447456795451446	0.0975968134994223
ACY1	8.306275	11.51215	0.470883753522148	0.0329670311156112
ACYP1	19.82865	16.55565	-0.260262803217169	0.32140290639396
ACYP2	10.099325	6.72132	-0.587442375203564	0.0376634234683585
ADA	3.50738	4.61973	0.39741479089286	0.0106219815817285
ADAL	4.519295	5.27044	0.221825676586111	0.048858735476833
ADAM10	8.020135	11.28125	0.492228505644467	0.0425602699340945
ADAM15	75.85955	67.7216	-0.163714754617521	0.193447584206051
ADAM17	30.6488	27.55555	-0.153487665637045	0.0335412278171163
ADAM19	2.74202	3.80709	0.473449581744255	0.071713273850875
ADAM22	1.0316535	1.81449	0.814605609695698	0.0399547692720114
ADAM8	48.9064	37.94255	-0.366206630780401	0.0158540274636645
ADAM9	36.2582	29.1053	-0.317025417691115	0.0556510259363291
ADAMTS1	1.51336	0.190495	-2.98993018218738	0.057749142115354
ADAMTS6	0.1900545	0.1696075	-0.164213217983952	0.608093770696659
ADAMTS7	1.546775	1.46094	-0.0823664232624107	0.524373703920878
ADAMTSL4	2.64146	1.52919	-0.788567892179911	0.0175197309305754
ADAP1	2.058125	2.43849	0.24465744921935	0.135831730065592
ADAR	29.8713	40.0536	0.423171892106507	0.0172807131162761
ADARB1	9.649855	6.629835	-0.541534298700861	0.0557604429738215
ADARB2	0.525641	1.033755	0.975744591967968	0.00428047863072913
ADAT1	11.424	11.62245	0.0248463348891904	0.405929648406346
ADAT2	0.576586	0.869427	0.592529091722464	0.0644600013591455
ADAT3	6.23407	5.907165	-0.0777084443859463	0.503199671220934
ADC	4.375135	2.17965	-1.00523104264928	0.0102180011467314
ADCK1	4.21344	3.609145	-0.223341475432068	0.139252028521573
ADCK2	5.731345	11.0208	0.943283305526967	0.0218144372161531
ADCK3	26.27175	31.8369	0.277187561928139	0.0776385367515959
ADCK4	9.235	8.127155	-0.184361551799722	0.1638885750639
ADCK5	8.09028	5.237545	-0.627298900146767	0.0529443713741858
ADCY1	2.14346	4.281485	0.998169776382224	0.00014031805324043
ADCY3	8.497365	21.75145	1.35602413586044	0.00940730412951735
ADCY6	4.69124	6.291885	0.423522992299692	0.0524991858463651
ADCY7	3.84947	5.52371	0.520977751365633	0.031804055565049
ADCY9	0.685008	1.82314	1.41223260895666	0.111974690393339
ADD1	37.66825	32.80315	-0.199514650096441	0.154878321941056
ADD2	6.935895	15.0774	1.12023370323619	0.0229057835915766
ADD3	16.58005	13.1435	-0.335098853544362	0.0533999280341533
ADH5	45.15025	52.2657	0.21113049484636	0.103868436315185
ADI1	161.2985	221.4635	0.45733592171801	0.0481226061143806
ADIPOR1	94.18325	95.0647	0.013439223406052	0.761772756980507
ADIPOR2	53.4672	64.6305	0.27356102589951	0.0142629274883345
ADIRF	19.06325	44.37475	1.21894489340401	0.0190565107275902
ADK	53.57795	39.98715	-0.422102922067827	0.008038607999615
ADM	21.74525	5.85912	-1.89194439217981	0.0109749389570221
ADM2	0.7657675	0.6430435	-0.25199009702386	0.356527553306631
ADM5	1.65987	2.910445	0.810169499574296	0.0954042475153925
ADNP	13.6467	15.78625	0.210116376293435	0.143684315761742
ADNP2	11.55025	16.61985	0.524983282867365	0.0876256338879916
ADO	11.75765	13.6959	0.220144335403263	0.193607112891228
ADORA1	0.228157	0.488036	1.09696065493323	0.0455537756107904
ADORA2B	4.18957	8.14936	0.959884584187577	0.0397286772188907
ADPGK	34.0886	65.4319	0.940704814027905	0.00450842504738258
ADPGK-AS1	1.946375	3.18195	0.709121470894264	0.0744105008349759
ADPRH	0.308748	0.4254305	0.46249367554921	0.052458365193963
ADPRHL1	4.868675	3.20266	-0.60425855199557	0.0418469986375161
ADPRHL2	54.08735	28.7929	-0.909578111221138	0.0227169830293954
ADPRM	9.11998	9.344585	0.0350999336470618	0.630580241424347
ADRA1B	1.372395	0.674597	-1.02459796722153	0.0624969471800324
ADRB2	2.1092	4.068455	0.947785131724954	0.101899146768696
ADRBK1	39.0448	35.3915	-0.141727513648304	0.118816616182327
ADRBK2	0.409813	1.177265	1.52240144965388	0.0821611777108853
ADRM1	228.6045	214.703	-0.0905114529687272	0.227445602083004
ADSL	64.6884	68.88465	0.0906755042911836	0.148638252525073
ADSS	38.7274	38.29895	-0.0160498080283526	0.761925485007225
ADSSL1	1.77946	1.66764	-0.0936316211146795	0.623063810939236
ADTRP	2.741545	1.905695	-0.524671915081918	0.156803639598343
AEBP2	12.1364	15.81085	0.381574389022619	0.0732634064693128
AEN	9.101605	24.72185	1.44159382654137	0.000646619581345782
AES	48.24355	72.22115	0.582085321144579	0.0470013801456101
AFAP1	9.100215	10.7282	0.237435502311641	0.189991492312492
AFAP1L1	1.97323	4.819055	1.28819114006372	0.0247119206249824
AFAP1L2	1.087825	0.2681135	-2.02053071822302	0.00986167503815448
AFF1	9.048895	6.737205	-0.425591430785849	0.0876960602817953
AFF4	18.1489	17.70135	-0.0360227173336207	0.520427594076887
AFG3L1P	11.3849	9.797325	-0.216661815800867	0.110133383436906
AFG3L2	68.7938	79.2315	0.203795566631252	0.034619124832873
AFMID	21.7662	9.78106	-1.15402683250716	0.00798539035090681
AFTPH	18.09285	20.71085	0.194967084518739	0.0418674278262825
AGA	17.5124	18.50665	0.0796669553921127	0.216333987272677
AGAP1	3.870135	3.91767	0.0176119870599176	0.865210156069983
AGAP3	21.18855	29.84075	0.493998933035392	0.00566630043906469
AGAP5	1.871495	0.7471505	-1.32472041154167	0.00782660219794639
AGAP6	1.89613	1.286255	-0.55988119455656	0.163495789405887
AGBL5	9.818855	10.4418	0.0887437276252791	0.243566828575761
AGER	2.919615	1.365265	-1.09659713059745	0.0288964680060752
AGFG1	12.15485	12.68655	0.0617677042635489	0.18834201901991
AGFG2	3.954295	5.333185	0.43157687013304	0.011417326826062
AGGF1	11.7744	13.1597	0.160473055671514	0.221161608059767
AGK	7.64514	11.88865	0.636970075061429	0.00260635852811241
AGL	7.5829	6.148305	-0.302560962586032	0.119319362014453
AGMAT	3.18008	3.390655	0.0925009379793838	0.465100192816427
AGO1	8.710205	6.640205	-0.391478892012255	0.0284948292573033
AGO2	17.59755	15.9337	-0.143293267977727	0.076366734983011
AGO3	15.4353	6.2478	-1.30481334656633	0.00405585449929882
AGO4	0.2820215	0.2101225	-0.42457449650285	0.214626138954689
AGPAT1	47.49125	26.65275	-0.833377333075457	0.036844727387265
AGPAT2	44.1297	45.5547	0.0458499687043154	0.47352323579956
AGPAT3	3.45822	9.401765	1.44290196920704	0.0178352452133349
AGPAT4	2.17651	1.136365	-0.937590346249411	0.0181678193125391
AGPAT5	13.08945	18.15895	0.472276305908766	0.0161370479639251
AGPAT6	33.97895	31.3949	-0.114111054786823	0.157811167815823
AGPAT9	2.869205	0.883373	-1.69955640731429	0.00501573131651967
AGPHD1	5.205905	6.519225	0.324551483323436	0.351692810565813
AGPS	11.3549	17.59265	0.631657813285099	0.00526959334574921
AGR2	18.63355	4.480135	-2.05628844696369	0.00228537742152818
AGRN	73.4868	29.6915	-1.30743515101749	0.00256989531495437
AGTPBP1	5.97769	7.088625	0.245917729579111	0.0770638888028641
AGTRAP	51.2053	40.96195	-0.322008747280559	0.18823886408232
AGXT2L2	7.41083	5.409675	-0.454093207824178	0.0142346244917727
AHCTF1	12.82465	12.69825	-0.0142897667617775	0.836603558227849
AHCY	249.6435	247.605	-0.011828895678974	0.853938934277683
AHCYL1	86.1656	58.8122	-0.550996556617043	0.00583566068557807
AHCYL2	5.79746	9.311905	0.68365537902947	0.0105647366374758
AHDC1	5.6002	2.324195	-1.26874723511417	0.000621117799247875
AHI1	6.425885	6.895915	0.101846829638831	0.367435554286545
AHNAK	71.3783	69.6819	-0.0347015793714318	0.706008756470053
AHNAK2	7.59784	9.10063	0.260377089580593	0.077915924048139
AHR	18.10015	17.5305	-0.0461345084679435	0.751179669882739
AHRR	0.9531255	0.732828	-0.379191562081429	0.112962795445695
AHSA1	130.9135	162.429	0.311195355768255	0.00976524473579969
AHSA2	18.65445	16.6271	-0.165983260696412	0.0810260472573522
AIDA	108.969	98.85795	-0.140488873894647	0.0740432458014067
AIF1L	5.59169	11.14865	0.99551273760929	0.0670790969757984
AIFM1	47.0103	50.32145	0.0981966064778871	0.228694453395602
AIFM2	9.66606	8.451295	-0.193755526142495	0.211889796229087
AIG1	23.82845	29.8444	0.324775140012239	0.0710713992582317
AIM1	17.22785	20.1505	0.226072969750102	0.0306232727190931
AIM1L	3.82625	0.538369	-2.82926389459085	0.0047364668314819
AIMP1	20.7266	23.4445	0.177766035514621	0.0748273106162277
AIMP2	46.8896	53.47705	0.18965191106568	0.0160314788864503
AIP	33.57075	35.77685	0.0918216013299162	0.30384778017889
AJUBA	9.50477	6.44269	-0.560988537494135	0.00589520647387437
AK1	20.9979	20.70805	-0.0200533444417012	0.834661569683065
AK2	82.11565	71.943	-0.190802883398375	0.0632522901343103
AK3	31.72005	43.12585	0.44315784707672	0.0201696844944374
AK4	8.998035	7.91634	-0.184776402405519	0.0632464694972269
AKAP1	20.73935	37.61205	0.858824262100836	0.00383348645055154
AKAP10	6.76853	10.9701	0.69666223080534	0.0106161204745044
AKAP11	8.273785	8.4061	0.0228891504335521	0.872035237574578
AKAP12	3.760865	7.546065	1.00466000690141	0.0077894424969476
AKAP13	13.55425	14.98735	0.145000028130669	0.00848915992508577
AKAP2	15.7533	22.78135	0.532199166332808	0.0257454654520326
AKAP7	1.800125	2.664	0.565496992177168	0.0315680806543958
AKAP8	9.732725	10.33094	0.0860558321629375	0.385898860592586
AKAP8L	37.0743	27.86085	-0.4121801799584	0.0487831140653517
AKAP9	6.49824	5.944505	-0.128492346321778	0.343446510405404
AKD1	2.24287	2.33762	0.0596944244386695	0.706776993854794
AKIP1	10.4059	13.26245	0.349945563837264	0.0183370702470725
AKIRIN1	46.51475	25.479	-0.868379616928559	0.0447593871375606
AKIRIN2	32.26645	31.5371	-0.0329848562958121	0.676973187678785
AKNA	2.59892	4.40826	0.762297091411954	0.0408341609564311
AKR1A1	34.59985	26.11125	-0.406094259265465	0.13443451102449
AKR1B1	154.879	244.837	0.66068005317738	0.00639420405029935
AKR1B10	0.3953565	0.866963	1.13281627984377	0.146058746112696
AKR1C1	1.796345	4.16074	1.21177568293191	0.0266686651489563
AKR1C2	0.189672	0.976599	2.36425958159668	0.281780778552965
AKR1C3	4.708125	13.986	1.57075888097	0.0110498211774586
AKR1E2	1.3115	2.551885	0.9603455083071	0.0190463137591105
AKR7A2	43.17685	35.26415	-0.29205572858412	0.0239928763487174
AKR7A2P1	1.86753	0.590377	-1.66142299578684	0.010578044383599
AKT1	66.53325	76.87395	0.208419292244188	0.117325747732558
AKT1S1	28.3295	35.7909	0.337287683130202	0.0326008936083368
AKT2	16.63645	20.6645	0.312806842422386	0.0710509666279552
AKT3	14.19895	15.2245	0.100610600574879	0.597387542144447
AKTIP	14.8897	24.09215	0.69424845984907	0.00589915845985097
ALAD	17.4135	19.37035	0.153643817586774	0.179789097575013
ALAS1	11.7169	15.67365	0.419750267369407	0.0259315417448884
ALCAM	31.97775	27.69335	-0.207528848595319	0.0530214305611565
ALDH16A1	14.87435	17.26025	0.214626735968486	0.21731780344118
ALDH18A1	39.9556	37.74965	-0.0819344506788971	0.212999739040686
ALDH1A1	0.3313265	0.69361	1.0658711015227	0.0866657333960555
ALDH1A3	3.380765	7.26942	1.10449052476867	0.00107857410267465
ALDH1B1	4.481895	8.841635	0.98020432787014	0.00137019125904123
ALDH1L2	0.716622	1.4898	1.05583442786434	0.00788886353783529
ALDH2	21.81055	33.0545	0.599820540776128	0.0323984805556857
ALDH3A2	39.91205	43.767	0.133019116328757	0.0246100014308643
ALDH3B1	9.672835	7.54667	-0.358098599927647	0.0634537233399319
ALDH3B2	2.62554	2.19484	-0.258498401589768	0.0178006921079414
ALDH4A1	5.338865	6.917285	0.373672829239019	0.0762161037122554
ALDH5A1	8.054155	7.93872	-0.0208268237238805	0.637150692128278
ALDH6A1	7.46519	5.234105	-0.512236113324208	0.0101789670553423
ALDH7A1	29.32915	40.11065	0.451650085093569	0.0329438638167237
ALDH9A1	32.8355	27.19025	-0.2721670076896	0.0222329363308237
ALDOA	2312.15	1302.945	-0.827458809205744	0.0358539680807681
ALDOC	13.37585	4.697315	-1.50972232540808	0.0243390068715585
ALG1	6.461155	9.7739	0.597142258954112	0.0560149609942256
ALG10	1.21068	1.644195	0.441563820926588	0.0133240316427576
ALG10B	2.195655	2.24182	0.0300190624315156	0.891094026548352
ALG11	3.901785	5.31258	0.445278377930114	0.144461967710941
ALG12	8.73945	10.9164	0.320882769556474	0.0129240764275117
ALG13	5.484295	7.55496	0.462117941300374	0.0140399215073325
ALG14	3.6277	6.665465	0.877650370735151	0.0795004833563756
ALG1L	0.841792	0.7519785	-0.162772384992717	0.680076279132983
ALG1L9P	2.10003	1.4804	-0.50442289692257	0.187262459225719
ALG2	30.53875	31.23525	0.032534065437962	0.38119165310555
ALG3	49.4756	59.83995	0.274391766548914	0.00416835456080124
ALG5	28.58085	26.89475	-0.0877242446749698	0.0781428815219445
ALG6	6.970755	8.208255	0.235760628474112	0.11519673791203
ALG8	21.6619	28.41505	0.39149546440965	0.0150191846427405
ALG9	3.65569	4.2846	0.229016788034015	0.113197036610655
ALKBH1	4.50019	5.48112	0.284484806492109	0.214912986408045
ALKBH2	20.09225	16.3853	-0.294237043561804	0.0327170194180877
ALKBH3	9.317935	14.7267	0.660352011811929	0.0930813120495153
ALKBH4	1.660785	2.48937	0.583915358253029	0.0394164400796509
ALKBH5	56.6498	47.1209	-0.265703768048464	0.0507754892951432
ALKBH6	6.42082	7.059885	0.136887128274371	0.133952875728489
ALKBH7	11.08925	7.59316	-0.546389481417435	0.0433137648669647
ALKBH8	0.8923375	2.606005	1.54617847715842	0.0263821339075419
ALMS1	3.36461	3.298045	-0.028828204605021	0.724277437049864
ALOX12	1.38308	0.511414	-1.43532104702291	0.0575795907217325
ALOX12P2	4.585925	3.34189	-0.456548513572677	0.242142084373151
ALOXE3	1.84288	1.264695	-0.54317263274851	0.0286977040950013
ALPK1	1.9777	1.34411	-0.557172387318869	0.0737366885809797
ALPP	8.80576	8.54191	-0.0438888269055838	0.552893272820666
ALS2	15.336	10.05476	-0.609043596173309	0.00897557775642912
ALS2CL	4.31361	2.43639	-0.824150658054283	0.0101814751537036
ALS2CR8	1.0325	1.0096075	-0.0323472489249561	0.842074082308407
ALX1	2.04786	1.81215	-0.176414711396972	0.419422645721552
ALX3	1.88798	1.0525	-0.843023248540685	0.017787827891549
ALX4	1.644815	3.72335	1.17867591141581	0.0119149530598476
ALYREF	135.3635	183.5175	0.439078866412368	0.0466145068400094
AMACR	3.146585	5.50133	0.805993530800996	0.0057199267464527
AMBRA1	16.331	17.5032	0.100005570541875	0.26198997685809
AMD1	61.7817	77.96345	0.33561836438251	0.00783481106017661
AMDHD2	6.603465	6.04527	-0.127416464588427	0.523943232989293
AMER1	1.64987	1.89379	0.198924007919249	0.164787645142046
AMFR	31.991	37.18985	0.217242838993266	0.0587904417647199
AMH	4.176535	8.892605	1.09029957600346	0.0396647858001206
AMIGO1	0.791957	1.158625	0.548919694771626	0.0184922152191427
AMIGO2	8.787395	14.037	0.675727183798568	0.016434632149746
AMIGO3	8.88237	4.277845	-1.05406045881437	0.0179267940211656
AMMECR1	6.94934	10.61315	0.61090504170976	0.0117744553354697
AMMECR1L	6.29307	9.307745	0.564667695837077	0.0144877629039679
AMN	1.575535	1.153595	-0.449704987049412	0.0826201562182306
AMN1	5.92283	4.57022	-0.37402306276549	0.107143913745345
AMOT	0.3851095	1.0651955	1.46777762136529	0.0889276436176504
AMOTL1	3.884735	10.69795	1.46144627333561	0.00108515964129668
AMOTL2	8.737385	12.54915	0.522316181238942	0.00231095924790739
AMPD2	14.48365	8.440415	-0.779039378858393	0.0634905335673647
AMPD3	0.593555	0.7021905	0.242480758911378	0.513913974342991
AMT	1.096575	0.6074665	-0.852127732573583	0.13966918886852
AMY2B	1.19196	0.552945	-1.10812793081433	0.0540122996195134
AMZ1	0.2739665	0.113971	-1.2653327181727	0.329738049069835
AMZ2	45.18965	50.20845	0.151937804642926	0.103045252333762
AMZ2P1	2.05706	1.384555	-0.571161510381314	0.00770482356281935
ANAPC1	10.42755	15.4699	0.56906364104471	0.020306924513429
ANAPC10	8.938885	10.256085	0.198313331975452	0.109300943709683
ANAPC11	123.191	119.25	-0.0469075942691243	0.192495237782145
ANAPC13	33.1651	36.7555	0.148294271415726	0.176850115473996
ANAPC15	22.90815	20.5545	-0.156406677267618	0.565427166633595
ANAPC16	30.9457	25.67425	-0.269416823524394	0.0398193428688913
ANAPC2	34.13015	39.61345	0.21494359836899	0.0771815467946336
ANAPC4	16.1278	13.9562	-0.208643475871816	0.0978587873682143
ANAPC5	77.1996	112.542	0.543798229593324	0.0261092502367174
ANAPC7	26.7068	42.75105	0.678752731095738	0.0134085800772773
ANG	4.165885	2.060855	-1.01538001241836	0.0194972928166663
ANGEL1	9.40875	12.297	0.386231424338244	0.0003460114735908
ANGEL2	7.403345	6.644165	-0.156089359169787	0.161818402719377
ANGPT1	0.174044	0.116331	-0.581216480543989	0.327172270766765
ANGPTL4	77.1092	161.7545	1.06883094309742	0.0164092439187562
ANGPTL6	1.858325	2.25811	0.281112931452737	0.168479637888129
ANK3	1.34059	0.9819055	-0.449211988070577	0.14645228764605
ANKEF1	10.43735	10.134975	-0.0424129339905954	0.556289113655794
ANKFY1	18.7346	24.55495	0.390308709647143	0.0282346711361665
ANKH	1.808245	3.161995	0.806244923939324	0.0633927947923149
ANKHD1	13.9402	18.17295	0.382541370383973	0.0876468421433818
