SUM149_DMSO_12H_R	SUM149R_JQ1_12H_R	LOG2_FOLD_CHANGE	P_VALUE
ADM5	1.551205	2.910445	0.907850395775888	0.0249037831946106
ADNP	25.3828	15.78625	-0.68518272111882	0.00238053567022601
ADNP2	14.933	16.61985	0.15440333314813	0.145246502515087
ADO	12.89695	13.6959	0.0867141501147815	0.4871150713906
ADORA1	2.385865	0.488036	-2.28945293566778	0.0757540641747534
ADORA2B	11.6675	8.14936	-0.517736798683901	0.0219921603461103
ADPGK	34.33895	65.4319	0.930148238057744	0.0120565067257951
ADPGK-AS1	1.895955	3.18195	0.746986443214132	0.0896115167107437
ADPRH	1.18513	0.4254305	-1.4780499488488	0.00651891482259663
ADPRHL1	6.06267	3.20266	-0.920682649366468	0.0342281471753976
ADPRHL2	37.77705	28.7929	-0.391796943027308	0.0768990198089929
ADPRM	3.27114	9.344585	1.51433708825236	0.0139582798335351
ADRA1B	2.569745	0.674597	-1.92952739785832	0.0317697711226978
ADRB2	0.461372	4.068455	3.14047867684246	0.00259031659710385
ADRBK1	52.71965	35.3915	-0.574937883596244	0.0782091931395718
ADRBK2	0.6621785	1.177265	0.830147030364857	0.0950412393990995
ADRM1	180.5745	214.703	0.249748174164583	0.201271833280405
ADSL	87.3375	68.88465	-0.342418701227591	0.00805689319028059
ADSS	61.5061	38.29895	-0.683424660020635	0.00367702050964389
ADSSL1	1.51416	1.66764	0.139290220408647	0.523396056195272
ADTRP	4.144625	1.905695	-1.12092433526117	0.0392209766176638
AEBP2	14.64685	15.81085	0.110324502620809	0.159999602063284
AEN	19.2574	24.72185	0.360373774189916	0.022122801230214
AES	101.0366	72.22115	-0.484384698608788	0.0315898649268925
AFAP1	13.26495	10.7282	-0.306211199595306	0.02526388059974
AFAP1L1	5.336335	4.819055	-0.147098970986835	0.154698577278103
AFAP1L2	1.399145	0.2681135	-2.38362971497833	0.0411522727683899
AFF1	4.950475	6.737205	0.444583239404102	0.0529127281112252
AFF4	11.2307	17.70135	0.656411539676079	0.00302513695133055
AFG3L1P	11.569	9.797325	-0.239804362588275	0.0747011904463
AFG3L2	58.72575	79.2315	0.432080882047496	0.0214195888202576
AFMID	6.84031	9.78106	0.515929113493398	0.0958172961726032
AFTPH	13.82845	20.71085	0.582747307745558	0.0359895660792541
AGA	18.25185	18.50665	0.0200010655580086	0.779325475175619
AGAP1	4.96342	3.91767	-0.341338660194606	0.0303316390315035
AGAP3	31.20115	29.84075	-0.0643154084628097	0.50516022073144
AGAP5	0.4931175	0.7471505	0.599467424367462	0.123165270164831
AGAP6	1.485745	1.286255	-0.208009840581068	0.139297481246999
AGBL5	16.229	10.4418	-0.636203675518754	0.0134388224871887
AGER	4.729815	1.365265	-1.79260274808585	0.109091926093954
AGFG1	11.07335	12.68655	0.196208049794176	0.0420320213457726
AGFG2	2.454445	5.333185	1.11960053507747	0.000706554384037534
AGGF1	11.5579	13.1597	0.187247307761767	0.21864714229725
AGK	8.512585	11.88865	0.481915697117213	0.00303853793323268
AGL	7.229795	6.148305	-0.233766005486153	0.130549328809842
AGMAT	7.945685	3.390655	-1.22860760288066	0.00487312653505507
AGO1	9.70219	6.640205	-0.547082650484422	0.000705031746237845
AGO2	20.3841	15.9337	-0.355362943077105	0.012956168283783
AGO3	7.18223	6.2478	-0.201083582136859	0.0798652301824053
AGO4	2.09946	0.2101225	-3.32071574171305	0.0147723877247356
AGPAT1	51.1765	26.65275	-0.941197087458764	0.00359872537387748
AGPAT2	47.18265	45.5547	-0.0506565410012567	0.677594006153631
AGPAT3	15.13715	9.401765	-0.68709007693331	0.0119967130949653
AGPAT4	1.43053	1.136365	-0.332123450724001	0.145650383404138
AGPAT5	21.485	18.15895	-0.242648992632136	0.0734755379509916
AGPAT6	25.6355	31.3949	0.292387180378738	0.00107905977642217
AGPAT9	4.146775	0.883373	-2.23089512745654	0.0157124082957484
AGPHD1	3.66553	6.519225	0.830678655155773	0.00957248341233688
AGPS	18.76655	17.59265	-0.0931906388580807	0.0664509660279304
AGR2	5.10304	4.480135	-0.187814744584053	0.343862628672835
AGRN	39.63365	29.6915	-0.416675856792932	0.174962087197317
AGTPBP1	4.895575	7.088625	0.534027492444861	0.0105394265630947
AGTRAP	77.7749	40.96195	-0.925020238104089	0.0317968817852622
AGXT2L2	5.23752	5.409675	0.0466580751780343	0.452895362238486
AHCTF1	12.9292	12.69825	-0.0260033237737019	0.533895779556048
AHCY	194.3525	247.605	0.349364782333385	0.04005106125881
AHCYL1	66.3012	58.8122	-0.172919523531133	0.0506691628401383
AHCYL2	2.651845	9.311905	1.81207988738018	0.00169010213581751
AHDC1	4.885975	2.324195	-1.07191536584761	0.0763752892350949
AHI1	6.84391	6.895915	0.0109212037107452	0.9261817135113
AHNAK	35.0249	69.6819	0.992403030493347	0.0381176385883368
AHNAK2	3.91026	9.10063	1.21870188271285	0.000153922202747756
AHR	13.73845	17.5305	0.351647899292316	0.056568405223735
AHRR	0.5825825	0.732828	0.331012261694776	0.34680793374895
AHSA1	173.245	162.429	-0.0930044819030317	0.032170905635816
AHSA2	32.96905	16.6271	-0.98757575222032	0.0222491056592413
AIDA	102.1875	98.85795	-0.0477898356246699	0.271005581856281
AIF1L	8.79756	11.14865	0.341693670082589	0.103871349396112
AIFM1	74.2367	50.32145	-0.560959086910725	0.0299655904218605
AIFM2	14.9457	8.451295	-0.822486139987287	0.0284085578878229
AIG1	26.05045	29.8444	0.196151955658761	0.122876468745873
AIM1	21.64135	20.1505	-0.102974860934115	0.0553689646944102
AIM1L	2.11779	0.538369	-1.97589229365932	0.0396779862161317
AIMP1	30.49285	23.4445	-0.379221486386347	0.00464824315787874
AIMP2	38.34015	53.47705	0.480063901670679	0.0104303210032884
AIP	50.44445	35.77685	-0.495669180050325	0.00528394658897193
AJUBA	7.8958	6.44269	-0.293422267979164	0.0629474619173911
AK1	22.59785	20.70805	-0.125993811842954	0.0496303598213648
AK2	105.4985	71.943	-0.552296260774608	0.0150341035133973
AK3	29.00055	43.12585	0.572472630787856	0.0211203261267732
AK4	19.70995	7.91634	-1.31601863523106	0.0126890935681368
AKAP1	32.7512	37.61205	0.19964717310653	0.0814998374548592
AKAP10	9.224725	10.9701	0.249998868482355	0.0508443184026239
AKAP11	7.828975	8.4061	0.102613182462122	0.152304237489081
AKAP12	5.88152	7.546065	0.359535478789938	0.056950064742141
AKAP13	6.67983	14.98735	1.16586202253253	0.00123004397797784
AKAP2	11.251	22.78135	1.01780000694111	0.0194361649136522
AKAP7	3.898865	2.664	-0.549460119209581	0.00438386947167397
AKAP8	13.2849	10.33094	-0.362815838919631	0.108882623747115
AKAP8L	24.50605	27.86085	0.185101310853036	0.0632539646835076
AKAP9	4.13768	5.944505	0.522734607170199	0.0379172217257468
AKD1	1.64416	2.33762	0.50768972612397	0.15252565118573
AKIP1	15.3526	13.26245	-0.211135688057468	0.153374916477881
AKIRIN1	37.417	25.479	-0.554385235793837	0.0231212313511155
AKIRIN2	24.36785	31.5371	0.372071036695189	0.107956145604575
AKNA	2.699105	4.40826	0.707728215534609	0.0116508013390465
AKR1A1	29.92675	26.11125	-0.196764088708307	0.276282663460297
AKR1B1	134.6045	244.837	0.863094954062443	0.00439203445932437
AKR1B10	0.4509555	0.866963	0.942985347551356	0.00504089281686477
AKR1C1	2.831825	4.16074	0.55510802571726	0.127689704375706
AKR1C2	0.5347835	0.976599	0.868811346939667	0.447769955260353
AKR1C3	4.061225	13.986	1.78399654751641	0.0145730687724722
AKR1E2	1.372945	2.551885	0.894289483445061	0.00526373620722169
AKR7A2	24.79665	35.26415	0.508057038427422	0.0263026000115584
AKR7A2P1	0.8080905	0.590377	-0.452880355162159	0.332307160472245
AKT1	73.85455	76.87395	0.0578079954253804	0.458572853100087
AKT1S1	29.56975	35.7909	0.27547077618147	0.103032360210503
AKT2	27.9699	20.6645	-0.436720639233342	0.0199985940384843
AKT3	24.50065	15.2245	-0.686425176096711	0.0338594866603013
AKTIP	12.2976	24.09215	0.970186359791018	0.00312634475942765
ALAD	8.0241	19.37035	1.27143853132134	0.00582867168245004
ALAS1	10.250825	15.67365	0.612601162014109	0.0335124360236076
ALCAM	21.65545	27.69335	0.35480943181447	0.0147713945557
ALDH16A1	9.05035	17.26025	0.931407869809957	0.0612062985513905
ALDH18A1	55.7128	37.74965	-0.561545556028723	0.0163475113177764
ALDH1A1	2.29256	0.69361	-1.7247628883511	0.0252328173995895
ALDH1A3	8.081715	7.26942	-0.152821214615543	0.266343340214335
ALDH1B1	10.2107	8.841635	-0.20769669097771	0.0513081541861938
ALDH1L2	1.64012	1.4898	-0.138682706684709	0.0757173159878569
ALDH2	18.4841	33.0545	0.838561892178747	0.0343880774799906
ALDH3A2	24.8622	43.767	0.815889535262526	0.00474799573533398
ALDH3B1	11.6341	7.54667	-0.62444751522331	0.0753068840867678
ALDH3B2	7.74058	2.19484	-1.81832589760324	0.00777994047077277
ALDH4A1	1.7026	6.917285	2.02246636277586	0.00202460251336641
ALDH5A1	13.51115	7.93872	-0.767172156505273	0.024669622758375
ALDH6A1	4.804465	5.234105	0.123567077203907	0.173876493861281
ALDH7A1	29.4582	40.11065	0.445316066156216	0.0535169366461426
ALDH9A1	27.5909	27.19025	-0.0211031011351556	0.448150235780641
ALDOA	1185.435	1302.945	0.136359627196873	0.161555003804887
ALDOC	5.80633	4.697315	-0.305790225808082	0.0406486380880047
ALG1	6.71408	9.7739	0.541744616748012	0.0151434703277102
ALG10	2.90269	1.644195	-0.820009092526697	0.0119153237162307
ALG10B	5.331525	2.24182	-1.24987780648493	0.0102684431821413
ALG11	4.276845	5.31258	0.31286573877832	0.208599407763674
ALG12	9.21411	10.9164	0.244580437735874	0.122107278098271
ALG13	5.615045	7.55496	0.42812653231622	0.0365611097217338
ALG14	7.51747	6.665465	-0.173541680495792	0.307828502143227
ALG1L	0.51617	0.7519785	0.542845120173304	0.350671264960718
ALG1L9P	1.84973	1.4804	-0.321327659132007	0.271565107395065
ALG2	19.18325	31.23525	0.703327916474865	0.0031673902942371
ALG3	83.9437	59.83995	-0.488313084762615	0.0412290198894021
ALG5	43.7527	26.89475	-0.702047470665677	0.0400474493815238
ALG6	5.58223	8.208255	0.556233983020724	0.0572615863434786
ALG8	50.95495	28.41505	-0.842567049279315	0.00443752119479282
ALG9	4.904115	4.2846	-0.194832286115018	0.0422423700409589
ALKBH1	5.372785	5.48112	0.0288006128314297	0.858684451001331
ALKBH2	19.79385	16.3853	-0.272650163312563	0.0607801924925234
ALKBH3	19.9786	14.7267	-0.440021306384014	0.0937837704740323
ALKBH4	6.571	2.48937	-1.40033226524293	0.00115731146408834
ALKBH5	35.74745	47.1209	0.398526761925042	0.0816632439912073
ALKBH6	11.7041	7.059885	-0.729297412621378	0.0238558926051315
ALKBH7	9.03622	7.59316	-0.251018987303553	0.270645361480091
ALKBH8	3.935585	2.606005	-0.594738247302921	0.013408997559881
ALMS1	4.500975	3.298045	-0.448626467823863	0.0208069667832559
ALOX12	0.6079885	0.511414	-0.249552380578738	0.416945747870623
ALOX12P2	4.923595	3.34189	-0.559047847838523	0.0238482692395122
ALOXE3	1.86541	1.264695	-0.560703256952737	0.0362049250808119
ALPK1	1.790825	1.34411	-0.413973152580302	0.186079910575021
ALPP	18.79975	8.54191	-1.13808287447452	0.037353653620212
ALS2	5.489865	10.05476	0.873036068146032	0.00778745257877463
ALS2CL	2.935545	2.43639	-0.26888328433325	0.147648767131314
ALS2CR8	1.341545	1.0096075	-0.410100915608067	0.105954811941935
ALX1	3.826515	1.81215	-1.07832867622164	0.021484513384112
ALX3	2.34395	1.0525	-1.15512156192864	0.0817755704097725
ALX4	7.09579	3.72335	-0.930362075817937	0.0379668960726695
ALYREF	251.554	183.5175	-0.454950487099424	0.056211616829582
AMACR	2.110985	5.50133	1.38186411897308	0.0714499979886086
AMBRA1	10.68835	17.5032	0.711579548940016	0.00283714233831217
AMD1	59.5487	77.96345	0.3887279202917	0.0202003568179496
AMDHD2	8.61313	6.04527	-0.510730830339392	0.107776970571207
AMER1	5.64781	1.89379	-1.57641519417431	0.0073550895799799
AMFR	22.90465	37.18985	0.699268411478611	0.0140183999951771
AMH	3.031155	8.892605	1.55273847698274	0.00849678083858005
AMIGO1	1.941925	1.158625	-0.745073782905529	0.050015658858582
AMIGO2	63.24145	14.037	-2.17163581165616	0.000250198876015734
AMIGO3	1.387435	4.277845	1.62446402583056	0.0252027492861869
AMMECR1	9.9835	10.61315	0.0882353268685429	0.0947153712952098
AMMECR1L	8.46477	9.307745	0.136960817883498	0.0572035545773962
AMN	2.54988	1.153595	-1.14429253728996	0.14823583195725
AMN1	3.097765	4.57022	0.561035911233306	0.0055372014502358
AMOT	0.1583225	1.0651955	2.75018003515366	0.0664926527982958
AMOTL1	6.27286	10.69795	0.77013909643372	0.00956927838889333
AMOTL2	6.14178	12.54915	1.03086090777654	0.00213402879245406
AMPD2	24.1226	8.440415	-1.51499957274248	0.0415721236388826
AMPD3	1.129515	0.7021905	-0.685769046791324	0.0547481381723891
AMT	2.00976	0.6074665	-1.72614647341002	0.0317929216444685
AMY2B	0.762305	0.552945	-0.463232352383245	0.0231157496205518
AMZ1	1.0201565	0.113971	-3.16205180845274	0.00261588591372165
AMZ2	60.3576	50.20845	-0.265605253278883	0.0386749662801207
AMZ2P1	1.318555	1.384555	0.070464613767676	0.448469236987717
ANAPC1	16.2278	15.4699	-0.0690035562317759	0.00648675163661363
ANAPC10	8.25204	10.256085	0.313657404323353	0.173893010968097
ANAPC11	103.5675	119.25	0.203417917114038	0.0520791509100745
ANAPC13	29.1886	36.7555	0.332555132163311	0.104597312824099
ANAPC15	34.98575	20.5545	-0.767313141525343	0.0434121388099611
ANAPC16	22.911	25.67425	0.164281703384531	0.101788186808494
ANAPC2	26.8457	39.61345	0.561299329804841	0.0101451236584583
ANAPC4	16.3648	13.9562	-0.229689793400618	0.144851126937266
ANAPC5	75.41025	112.542	0.577630969462464	0.0439064854639051
ANAPC7	30.78375	42.75105	0.473790866278798	0.00288704708479311
ANG	1.48414	2.060855	0.473615812810536	0.140959433513295
ANGEL1	11.1447	12.297	0.141948614052922	0.0106190669943956
ANGEL2	8.13128	6.644165	-0.291394573225532	0.049666214924331
ANGPT1	2.24969	0.116331	-4.27341871247172	0.025578410690135
ANGPTL4	30.2609	161.7545	2.41827904745858	0.025261470051613
ANGPTL6	1.40761	2.25811	0.681868097776338	0.0383435300111593
ANK3	3.760495	0.9819055	-1.93726648938507	0.0295415803507335
ANKEF1	11.789	10.134975	-0.218098817031185	0.0609595277016583
ANKFY1	15.60535	24.55495	0.653973170168291	0.049717658922744
ANKH	2.126775	3.161995	0.572167673477276	0.117631254928051
