SUM149_DMSO_12H_R	SUM149_JQ1_12H_R	LOG2_FOLD_CHANGE	P_VALUE
ACADSB	4.58623	5.844655	0.349809159379428	0.0975705044985897
ACADVL	121.1545	246.59	1.02526630379493	0.0280136606582119
ACAP2	11.16185	15.47385	0.471256030086749	0.00185855450099132
ACAP3	12.15825	19.81975	0.705003175801966	0.0543346600312783
ACAT1	56.0141	52.88145	-0.0830282956180535	0.440887233316175
ACAT2	86.0799	57.4898	-0.582370390100135	0.0369290775984281
ACBD3	46.66045	52.4093	0.167622618935886	0.108038353176842
ACBD4	8.133955	9.91296	0.285358899737719	0.124357529626222
ACBD5	9.84178	8.07585	-0.285305152835087	0.071355150604393
ACBD6	46.68525	32.48035	-0.523399630032514	0.0023435465104364
ACBD7	1.173585	3.515095	1.58264134387646	0.00871362006709134
ACCS	2.203625	2.77567	0.332957320388055	0.0813156172897137
ACD	51.5792	38.3073	-0.429170052539538	0.0963162816515018
ACER2	0.589524	3.92192	2.73393765469011	0.0655817669781295
ACER3	9.36635	8.959245	-0.0641097886186173	0.17712727391008
ACIN1	59.5462	68.98185	0.212207376441584	0.129012097290415
ACLY	70.3982	64.57225	-0.124624243080067	0.0564893375017426
ACN9	11.60455	12.0804	0.0579776461381365	0.0371428280180283
ACO1	6.15441	7.945845	0.368580093351475	0.0192790317425274
ACO2	29.12825	37.52395	0.365392674517481	0.0317935560769768
ACOT11	9.544875	7.55649	-0.337010047964666	0.0234636780189317
ACOT13	10.8985	8.963545	-0.281988262388989	0.0228929110169059
ACOT2	6.28492	4.02357	-0.643418248691486	0.0161311666209437
ACOT4	1.24588	0.5629955	-1.14596982226639	0.194137702590901
ACOT7	69.76755	78.4027	0.168347166166244	0.0842506325567941
ACOT8	28.9377	39.01375	0.431032417364929	0.0152822589013382
ACOT9	36.3138	52.79785	0.539961275710998	0.0185268599930055
ACOX1	6.142265	9.932495	0.693385405213961	0.00513555138505363
ACOX2	7.904915	7.400105	-0.0952042083811058	0.103761874431489
ACOX3	3.750135	4.506455	0.265050452784548	0.31135799634979
ACOXL	2.000535	0.784755	-1.35007164835717	0.0146918374595943
ACP1	137.181	127.4625	-0.106007814945273	0.0919211108556033
ACP2	10.94435	13.8249	0.337082771594726	0.176546197326567
ACP6	9.96255	8.363725	-0.252369432942659	0.113839485477002
ACPL2	13.8004	3.42685	-2.0097551349076	0.000482760431185284
ACSF2	6.917005	9.57944	0.469793821308492	0.0711935871927103
ACSF3	8.613545	5.938635	-0.536475752466024	0.0389648640836113
ACSL1	49.03575	50.7053	0.0483026096579708	0.197878225240699
ACSL3	52.3324	58.84805	0.169290187182243	0.205417488409599
ACSL4	17.081	12.91725	-0.40309347724445	0.00255951081886658
ACSS2	30.00475	44.4539	0.567119084815501	0.00188572425029881
ACTA2	1.30983	1.498205	0.193855462206392	0.397936059874184
ACTB	1404.035	1794.595	0.354079396926431	0.0227619379451713
ACTBL2	0.484057	1.24965	1.36827523693507	0.0558104789496936
ACTG1	1965.415	3096.11	0.655622757483782	0.00201962221090194
ACTG1P4	0.4114535	0.69932	0.765223370574811	0.0864446023071201
ACTL10	3.23154	8.559885	1.40536956509045	0.00475295311497476
ACTL6A	89.51275	77.56375	-0.206710635754171	0.0402615812107439
ACTL8	2.473095	0.8559425	-1.5307318711429	0.00932196915992706
ACTN1	123.2815	115.987	-0.0879932057887989	0.147095927601642
ACTN4	160.387	248.221	0.630067965159054	0.00769781127278525
ACTR10	26.96045	26.2663	-0.0376315872351469	0.0723708933311402
ACTR1A	43.813	50.24225	0.197542070474095	0.0628965001083828
ACTR1B	16.1036	20.8984	0.376009250050231	0.107929411498065
ACTR2	129.449	124.9405	-0.0511426118337377	0.312987222331193
ACTR3	73.77825	60.97535	-0.274969434955015	0.00740202711753322
ACTR3B	6.070865	5.79008	-0.0683188101318335	0.343122893986491
ACTR5	11.73045	10.2997	-0.187656042109258	0.0228936622141229
ACTR6	56.1028	30.2867	-0.889388382712187	0.00684094106901255
ACTR8	5.18471	5.970835	0.203669405332373	0.0611960474498115
ACTRT3	4.885515	3.18664	-0.616474605296824	0.0425637460507944
ACVR1	9.45734	16.45675	0.799173080895245	0.0334492145592147
ACVR1B	4.58347	2.420905	-0.920893763808648	0.00497042762589262
ACVR2A	2.527555	4.26189	0.753750871688479	0.0339300297856458
ACVR2B	1.176795	0.3747515	-1.65085686405063	0.00195245691439601
ACY1	13.7338	8.306275	-0.725457317780146	0.00782437779939166
ACYP1	16.02465	19.82865	0.307293610685846	0.297636464997567
ACYP2	7.953345	10.099325	0.344625213431526	0.049347400630246
ADA	8.849055	3.50738	-1.33512965154477	0.00686375926626608
ADAL	4.09599	4.519295	0.141885539836235	0.239829205976078
ADAM10	7.831355	8.020135	0.0343645735406845	0.716688640235003
ADAM15	75.96475	75.85955	-0.00199930502022406	0.977835333339675
ADAM17	22.96085	30.6488	0.416654537925912	0.0294679154036041
ADAM19	8.96466	2.74202	-1.70900977344595	0.0239128115270677
ADAM22	1.09204	1.0316535	-0.0820672050858122	0.615874994633882
ADAM8	27.8666	48.9064	0.811486281647861	0.046580643752835
ADAM9	38.18835	36.2582	-0.0748252811449876	0.442767150141828
ADAMTS1	2.625995	1.51336	-0.795108950773984	0.0323878018602695
ADAMTS6	0.573099	0.1900545	-1.59237119399942	0.0521225932476464
ADAMTS7	1.893055	1.546775	-0.291452975156454	0.319534225835777
ADAMTSL4	5.51059	2.64146	-1.06087122836152	0.0480531786298375
ADAP1	5.850985	2.058125	-1.507348912746	0.104450068018791
ADAR	38.09595	29.8713	-0.350877607067665	0.00338592177136874
ADARB1	3.69445	9.649855	1.38514766089325	0.0260955292630913
ADARB2	1.020845	0.525641	-0.957614115862695	0.0196760246901136
ADAT1	8.369835	11.424	0.448796797096543	0.00552776382855561
ADAT2	3.253445	0.576586	-2.49636045244638	0.00393199185168389
ADAT3	3.17429	6.23407	0.97374041713937	0.0677192589637157
ADC	1.18677	4.375135	1.88228717076508	0.00955470665253575
ADCK1	2.875335	4.21344	0.551268529544978	0.0633015471154762
ADCK2	8.12071	5.731345	-0.502732126555475	0.048920466871234
ADCK3	30.96135	26.27175	-0.236956074608798	0.0517465578892863
ADCK4	9.73239	9.235	-0.075682172446394	0.640022316582174
ADCK5	3.25451	8.09028	1.31374928723226	0.0133567323801584
ADCY1	3.662875	2.14346	-0.773034973516005	0.0105369192676829
ADCY3	25.05115	8.497365	-1.55978939184463	0.00264154395533004
ADCY6	8.11637	4.69124	-0.790865324742243	0.0222981820083856
ADCY7	18.0346	3.84947	-2.22803569262168	0.00310368408630204
ADCY9	1.39659	0.685008	-1.02771580566537	0.0172897720088031
ADD1	39.32665	37.66825	-0.0621582872374694	0.463624033753818
ADD2	16.64415	6.935895	-1.26286123197424	0.00644042800628031
ADD3	18.24545	16.58005	-0.138088375998834	0.224830576909896
ADH5	56.12365	45.15025	-0.313874861611694	0.0826234598584651
ADI1	72.2784	161.2985	1.15809654690602	0.0198066594498459
ADIPOR1	87.68855	94.18325	0.103082032907923	0.130949189060816
ADIPOR2	44.6677	53.4672	0.259422156616248	0.0656046877690233
ADIRF	15.908	19.06325	0.261041630962629	0.317151094408667
ADK	31.49875	53.57795	0.766344804152397	0.000162189879609213
ADM	8.794265	21.74525	1.30606538377756	0.00762178106443339
ADM2	1.0941175	0.7657675	-0.514789343995851	0.184446817250304
ADM5	1.551205	1.65987	0.0976808962015914	0.683875764163929
ADNP	25.3828	13.6467	-0.895299097412254	0.0127830129282154
ADNP2	14.933	11.55025	-0.370579949719235	0.0827835853912639
ADO	12.89695	11.75765	-0.133430185288482	0.300928286255568
ADORA1	2.385865	0.228157	-3.38641359060101	0.0655375982114728
ADORA2B	11.6675	4.18957	-1.47762138287148	0.0216635723790309
ADPGK	34.33895	34.0886	-0.0105565759701617	0.823618771858629
ADPGK-AS1	1.895955	1.946375	0.0378649723198682	0.524574010442749
ADPRH	1.18513	0.308748	-1.94054362439801	0.00386597395539965
ADPRHL1	6.06267	4.868675	-0.316424097370899	0.0713883792363914
ADPRHL2	37.77705	54.08735	0.517781168193831	0.0842590969543505
ADPRM	3.27114	9.11998	1.4792371546053	0.00268853747890847
ADRA1B	2.569745	1.372395	-0.904929430636798	0.0127048119688456
ADRB2	0.461372	2.1092	2.19269354511751	0.112946057236821
ADRBK1	52.71965	39.0448	-0.43321036994794	0.0729999962846553
ADRBK2	0.6621785	0.409813	-0.692254419289023	0.086967689427709
ADRM1	180.5745	228.6045	0.34025962713331	0.104747412749375
ADSL	87.3375	64.6884	-0.433094205518775	0.0137702929259631
ADSS	61.5061	38.7274	-0.667374851992283	0.00410267947816372
ADSSL1	1.51416	1.77946	0.232921841523327	0.025379631891722
ADTRP	4.144625	2.741545	-0.596252420179254	0.124148959128541
AEBP2	14.64685	12.1364	-0.27124988640181	0.164674321479495
AEN	19.2574	9.101605	-1.08122005235146	0.00923087350214894
AES	101.0366	48.24355	-1.06647001975337	0.022194297284535
AFAP1	13.26495	9.100215	-0.543646701906947	0.082172482181145
AFAP1L1	5.336335	1.97323	-1.43529011105056	0.000186366924287794
AFAP1L2	1.399145	1.087825	-0.363098996755315	0.154302223800923
AFF1	4.950475	9.048895	0.870174670189952	0.0203266830434401
AFF4	11.2307	18.1489	0.6924342570097	0.0396887187913561
AFG3L1P	11.569	11.3849	-0.0231425467874078	0.76754217763591
AFG3L2	58.72575	68.7938	0.228285315416244	0.0176011297147789
AFMID	6.84031	21.7662	1.66995594600055	0.0246314428159461
AFTPH	13.82845	18.09285	0.387780223226819	0.0396746232972098
AGA	18.25185	17.5124	-0.0596658898341042	0.458628868316925
AGAP1	4.96342	3.870135	-0.358950647254524	0.0610722746334792
AGAP3	31.20115	21.18855	-0.558314341498201	0.0681645029589875
AGAP5	0.4931175	1.871495	1.92418783590913	0.00492529841152986
AGAP6	1.485745	1.89613	0.351871353975492	0.217282373273113
AGBL5	16.229	9.818855	-0.724947403144033	0.00708196474092568
AGER	4.729815	2.919615	-0.696005617488401	0.189842645067239
AGFG1	11.07335	12.15485	0.134440345530627	0.122907446662639
AGFG2	2.454445	3.954295	0.688023664944427	0.00699345334180475
AGGF1	11.5579	11.7744	0.0267742520902526	0.662088136043457
AGK	8.512585	7.64514	-0.155054377944216	0.0249416103204698
AGL	7.229795	7.5829	0.0687949570998799	0.498769840327819
AGMAT	7.945685	3.18008	-1.32110854086004	0.00892574750654929
AGO1	9.70219	8.710205	-0.155603758472167	0.074439495227968
AGO2	20.3841	17.59755	-0.212069675099378	0.0316037972347276
AGO3	7.18223	15.4353	1.10372976442947	0.00336987021506648
AGO4	2.09946	0.2820215	-2.8961412452102	0.0269827930760231
AGPAT1	51.1765	47.49125	-0.107819754383307	0.221141106794933
AGPAT2	47.18265	44.1297	-0.0965065097055721	0.475124628200113
AGPAT3	15.13715	3.45822	-2.12999204614035	0.0170786226272034
AGPAT4	1.43053	2.17651	0.60546689552541	0.0145710876739424
AGPAT5	21.485	13.08945	-0.714925298540902	0.0165159761465533
AGPAT6	25.6355	33.97895	0.406498235165561	0.0450411588114726
AGPAT9	4.146775	2.869205	-0.531338720142254	0.0274562766915031
AGPHD1	3.66553	5.205905	0.506127171832336	0.310779981634026
AGPS	18.76655	11.3549	-0.72484845214318	0.00460827936803115
AGR2	5.10304	18.63355	1.86847370237964	0.00171233183388576
AGRN	39.63365	73.4868	0.890759294224557	0.0516622284457147
AGTPBP1	4.895575	5.97769	0.28810976286575	0.0870547577698082
AGTRAP	77.7749	51.2053	-0.60301149082353	0.0310821933867411
AGXT2L2	5.23752	7.41083	0.500751283002213	0.00420207411954705
AHCTF1	12.9292	12.82465	-0.0117135570119245	0.856345631268372
AHCY	194.3525	249.6435	0.361193678012359	0.0811084860937361
AHCYL1	66.3012	86.1656	0.37807703308591	0.0184675335468954
AHCYL2	2.651845	5.79746	1.12842450835071	0.00152574397287509
AHDC1	4.885975	5.6002	0.196831869266566	0.265800319074745
AHI1	6.84391	6.425885	-0.0909256259280857	0.519548992744545
AHNAK	35.0249	71.3783	1.02710460986478	0.0441667714190303
AHNAK2	3.91026	7.59784	0.958324793132259	0.0289493035267778
AHR	13.73845	18.10015	0.39778240776026	0.193670115165146
AHRR	0.5825825	0.9531255	0.710203823776205	0.107095880650173
AHSA1	173.245	130.9135	-0.404199837671287	0.00294098857093799
AHSA2	32.96905	18.65445	-0.821592491523909	0.0406968974122698
AIDA	102.1875	108.969	0.0926990382699771	0.116763567706317
AIF1L	8.79756	5.59169	-0.653819067526701	0.0696764625157656
AIFM1	74.2367	47.0103	-0.659155693388612	0.0172143032068831
AIFM2	14.9457	9.66606	-0.628730613844792	0.0135653357957262
AIG1	26.05045	23.82845	-0.128623184353478	0.169754899691358
AIM1	21.64135	17.22785	-0.329047830684217	0.0372004616755681
AIM1L	2.11779	3.82625	0.853371600931526	0.0454160177206326
AIMP1	30.49285	20.7266	-0.556987521900968	0.0083944788959187
AIMP2	38.34015	46.8896	0.290411990604999	0.0223942882878458
AIP	50.44445	33.57075	-0.587490781380241	0.0330187490828295
AJUBA	7.8958	9.50477	0.267566269514971	0.0361831485703125
AK1	22.59785	20.9979	-0.105940467401253	0.378977585599927
AK2	105.4985	82.11565	-0.361493377376233	0.000523512529513823
AK3	29.00055	31.72005	0.129314783711135	0.204793912864793
AK4	19.70995	8.998035	-1.13124223282554	0.00366568920963375
AKAP1	32.7512	20.73935	-0.659177088994306	0.0129705796704109
AKAP10	9.224725	6.76853	-0.446663362322985	0.00370355955813777
AKAP11	7.828975	8.273785	0.0797240320285697	0.612868314266791
AKAP12	5.88152	3.760865	-0.645124528111475	0.0291208413596975
AKAP13	6.67983	13.55425	1.02086199440186	0.000569372356889718
AKAP2	11.251	15.7533	0.485600840608301	0.0115957411071394
AKAP7	3.898865	1.800125	-1.11495711138675	0.0144105883510327
AKAP8	13.2849	9.732725	-0.448871671082568	0.129237362035888
AKAP8L	24.50605	37.0743	0.597281490811435	0.0366485679480057
AKAP9	4.13768	6.49824	0.651226953491977	0.041178929053941
AKD1	1.64416	2.24287	0.4479953016853	0.0627358446975102
AKIP1	15.3526	10.4059	-0.561081251894731	0.0721656845060006
AKIRIN1	37.417	46.51475	0.313994381134722	0.147864218834824
AKIRIN2	24.36785	32.26645	0.405055892991001	0.0520220749504559
AKNA	2.699105	2.59892	-0.0545688758773454	0.572353120257714
AKR1A1	29.92675	34.59985	0.209330170557158	0.0464589335501824
AKR1B1	134.6045	154.879	0.202414900885063	0.112831493779186
AKR1B10	0.4509555	0.3953565	-0.189830932292417	0.71920027817314
AKR1C1	2.831825	1.796345	-0.65666765721465	0.20171763774336
AKR1C2	0.5347835	0.189672	-1.49544823465701	0.160782713321079
AKR1C3	4.061225	4.708125	0.213237666546406	0.182103360007726
AKR1E2	1.372945	1.3115	-0.066056024862038	0.673034843911305
AKR7A2	24.79665	43.17685	0.800112767011542	0.0229385450127381
AKR7A2P1	0.8080905	1.86753	1.20854264062468	0.0419909958624947
AKT1	73.85455	66.53325	-0.150611296818808	0.210913174310738
AKT1S1	29.56975	28.3295	-0.0618169069487323	0.557736956343847
AKT2	27.9699	16.63645	-0.749527481655728	0.0306393446301786
AKT3	24.50065	14.19895	-0.787035776671591	0.0463042006130381
AKTIP	12.2976	14.8897	0.275937899941948	0.0252363474307058
ALAD	8.0241	17.4135	1.11779471373456	0.0372153225688462
ALAS1	10.250825	11.7169	0.192850894644702	0.0708582086230955
ALCAM	21.65545	31.97775	0.56233828040979	0.0117179157243414
ALDH16A1	9.05035	14.87435	0.716781133841471	0.0378478060413648
ALDH18A1	55.7128	39.9556	-0.479611105349826	0.00662719935518441
ALDH1A1	2.29256	0.3313265	-2.7906339898738	0.00406097612327263
ALDH1A3	8.081715	3.380765	-1.25731173938421	0.0470662636353415
ALDH1B1	10.2107	4.481895	-1.18790101884785	0.0119871141916107
ALDH1L2	1.64012	0.716622	-1.19451713454905	0.0104708962135804
ALDH2	18.4841	21.81055	0.238741351402619	0.0261212796941893
ALDH3A2	24.8622	39.91205	0.682870418933769	0.00178545043396704
ALDH3B1	11.6341	9.672835	-0.266348915295663	0.216320056859508
ALDH3B2	7.74058	2.62554	-1.55982749601347	0.00549025931557713
ALDH4A1	1.7026	5.338865	1.64879353353684	0.0167232982854813
ALDH5A1	13.51115	8.054155	-0.746345332781392	0.00377061005315741
ALDH6A1	4.804465	7.46519	0.635803190528116	0.0151829671066457
ALDH7A1	29.4582	29.32915	-0.00633401893735368	0.931355480936791
ALDH9A1	27.5909	32.8355	0.251063906554444	0.00939660853671037
ALDOA	1185.435	2312.15	0.963818436402617	0.00975740517550686
ALDOC	5.80633	13.37585	1.2039320996	0.0361188022492741
ALG1	6.71408	6.461155	-0.0553976422061009	0.559178040397742
ALG10	2.90269	1.21068	-1.26157291345328	0.00274892201180706
ALG10B	5.331525	2.195655	-1.27989686891645	0.0441041714317102
ALG11	4.276845	3.901785	-0.132412639151794	0.119881215960986
ALG12	9.21411	8.73945	-0.0763023318206005	0.423081642787709
ALG13	5.615045	5.484295	-0.0339914089841546	0.718455738012341
ALG14	7.51747	3.6277	-1.05119205123094	0.00641643099782225
ALG1L	0.51617	0.841792	0.705617505166021	0.284870660093495
ALG1L9P	1.84973	2.10003	0.183095237790563	0.310042428758568
ALG2	19.18325	30.53875	0.670793851036903	0.0253201956594918
ALG3	83.9437	49.4756	-0.76270485131153	0.0276020806475034
ALG5	43.7527	28.58085	-0.614323225990707	0.0454717277709494
ALG6	5.58223	6.970755	0.320473354546612	0.0100268428551706
ALG8	50.95495	21.6619	-1.23406251368897	0.0107213544194414
ALG9	4.904115	3.65569	-0.423849074149033	0.0447004102669479
ALKBH1	5.372785	4.50019	-0.255684193660679	0.175501371958437
ALKBH2	19.79385	20.09225	0.021586880249241	0.615261505090262
ALKBH3	19.9786	9.317935	-1.10037331819594	0.000663744386673567
ALKBH4	6.571	1.660785	-1.98424762349595	0.0046947501055956
ALKBH5	35.74745	56.6498	0.664230529973505	0.0620041612749712
ALKBH6	11.7041	6.42082	-0.866184540895749	0.00253967120201993
ALKBH7	9.03622	11.08925	0.295370494113882	0.153513431155236
ALKBH8	3.935585	0.8923375	-2.14091672446134	0.0215606641874983
ALMS1	4.500975	3.36461	-0.419798263218842	0.0238437059320108
ALOX12	0.6079885	1.38308	1.18576866644417	0.115591548802981
ALOX12P2	4.923595	4.585925	-0.102499334265847	0.638297978966609
ALOXE3	1.86541	1.84288	-0.0175306242042273	0.44156975564127
ALPK1	1.790825	1.9777	0.143199234738567	0.376410525446376
ALPP	18.79975	8.80576	-1.09419404756894	0.0256412001110835
ALS2	5.489865	15.336	1.48207966431934	0.00189045658971368
ALS2CL	2.935545	4.31361	0.555267373721033	0.0598887937223043
ALS2CR8	1.341545	1.0325	-0.377753666683111	0.0736082222490072
ALX1	3.826515	2.04786	-0.901913964824672	0.00948715564365817
ALX3	2.34395	1.88798	-0.312098313387953	0.212503258107141
ALX4	7.09579	1.644815	-2.10903798723374	0.0188312803646743
ALYREF	251.554	135.3635	-0.894029353511792	0.0510269965152816
AMACR	2.110985	3.146585	0.575870588172079	0.221400580274491
AMBRA1	10.68835	16.331	0.61157397839814	0.0354211614707489
AMD1	59.5487	61.7817	0.0531095559091893	0.156839277524046
AMDHD2	8.61313	6.603465	-0.383314365750966	0.0794170563931861
AMER1	5.64781	1.64987	-1.77533920209356	0.016088226043236
AMFR	22.90465	31.991	0.482025572485345	0.0546804003316627
AMH	3.031155	4.176535	0.462438900979281	0.114907844372126
AMIGO1	1.941925	0.791957	-1.29399347767715	0.0250616456662753
AMIGO2	63.24145	8.787395	-2.84736299545473	0.00255221826500737
AMIGO3	1.387435	8.88237	2.67852448464492	0.000706700655645896
AMMECR1	9.9835	6.94934	-0.522669714841217	0.00543971495992187
AMMECR1L	8.46477	6.29307	-0.427706877953579	0.0113285894544969
AMN	2.54988	1.575535	-0.694587550240552	0.197803049689072
AMN1	3.097765	5.92283	0.935058973998796	0.0425109939104327
AMOT	0.1583225	0.3851095	1.28240241378838	0.00212490126498421
AMOTL1	6.27286	3.884735	-0.691307176901893	0.00960927527104512
AMOTL2	6.14178	8.737385	0.508544726537598	0.0100945853773548
AMPD2	24.1226	14.48365	-0.735960193884086	0.0273572545498248
AMPD3	1.129515	0.593555	-0.928249805702703	0.0734759005523265
AMT	2.00976	1.096575	-0.874018740836439	0.00928571114462448
AMY2B	0.762305	1.19196	0.644895578431082	0.093848577909247
AMZ1	1.0201565	0.2739665	-1.89671909028004	0.0700868900275418
AMZ2	60.3576	45.18965	-0.417543057921808	0.00608963825370082
AMZ2P1	1.318555	2.05706	0.64162612414899	0.0208940998673821
ANAPC1	16.2278	10.42755	-0.638067197276486	0.0197194172206488
ANAPC10	8.25204	8.938885	0.115344072347901	0.506897770873032
ANAPC11	103.5675	123.191	0.250325511383162	0.0084583876518067
ANAPC13	29.1886	33.1651	0.184260860747585	0.12944105320128
ANAPC15	34.98575	22.90815	-0.610906464257725	0.117955129211844
ANAPC16	22.911	30.9457	0.433698526908925	0.00297350344071628
ANAPC2	26.8457	34.13015	0.346355731435851	0.0478234084145827
ANAPC4	16.3648	16.1278	-0.0210463175288028	0.778964609730088
ANAPC5	75.41025	77.1996	0.0338327398691401	0.317360814207615
ANAPC7	30.78375	26.7068	-0.204961864816939	0.103225246230348
ANG	1.48414	4.165885	1.48899582522889	0.009013069574012
ANGEL1	11.1447	9.40875	-0.244282810285321	0.0104868136878041
ANGEL2	8.13128	7.403345	-0.135305214055745	0.163240321957616
ANGPT1	2.24969	0.174044	-3.69220223192773	0.0128601958751697
ANGPTL4	30.2609	77.1092	1.34944810436116	0.0285952488185108
ANGPTL6	1.40761	1.858325	0.400755166323601	0.147487649517126
ANK3	3.760495	1.34059	-1.48805450131449	0.0588019673612273
ANKEF1	11.789	10.43735	-0.17568588304059	0.127225828704465
ANKFY1	15.60535	18.7346	0.263664460521148	0.142356568837952
