SUM159R_DMSO_24H_0	SUM159R_DMSO_24H_1	SUM159R_DMSO_3H_0	SUM159R_DMSO_3H_1	SUM159R_JQ1_24H_0	SUM159R_JQ1_24H_1	SUM159R_JQ1_3H_0	SUM159R_JQ1_3H_1	SUM159_DMSO_12H_0	SUM159_DMSO_12H_1	SUM159_DMSO_24H_0	SUM159_DMSO_24H_1	SUM159_DMSO_3H_0	SUM159_DMSO_3H_1	SUM159_JQ1_12H_0	SUM159_JQ1_12H_1	SUM159_JQ1_24H_0	SUM159_JQ1_24H_1	SUM159_JQ1_3H_0	SUM159_JQ1_3H_1
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	2.17592	1.6477	5.38859	5.36864	1.91667	1.80595	4.25649	4.81847	5.10376	5.7748	2.80894	2.93374	6.40378	6.41201	2.6042	2.25975	1.13213	1.13104	3.99853	4.6874
AAED1	11.0504	9.71201	24.0822	24.7311	11.2266	10.9814	19.7442	23.0031	5.50521	7.16511	6.04927	5.79315	9.88806	8.22365	8.57562	7.46624	5.67908	5.99135	5.27759	8.52597
AAGAB	30.7489	30.4187	46.0155	50.6443	32.3317	28.4808	44.4577	50.0263	23.5762	27.0416	18.5366	15.9689	27.3793	23.7275	37.2782	32.4317	18.2703	19.8073	23.2524	27.3784
AAK1	1.80193	1.52824	0.796119	0.680318	2.0782	1.72054	0.916348	0.795612	1.63033	1.9487	1.16388	1.28055	1.76653	1.36473	2.07868	1.891	1.75483	2.02647	1.25527	1.45219
AAMDC	68.2339	60.9913	75.854	77.3137	60.2301	57.2091	82.0553	86.7541	13.1963	16.5498	48.2509	32.7384	14.6446	15.2509	39.0614	36.1433	46.2172	48.1517	20.4866	21.6323
AAMP	70.9231	70.2304	94.111	91.6379	69.1033	76.4914	97.6042	100.157	66.333	64.4713	53.8097	48.4077	62.2116	78.5565	64.7619	65.6911	54.4187	54.814	80.3264	71.7318
AANAT	0.0519904	0	0	0	0	0.0118851	0.0387422	0	0.02973	0.0772717	0.156535	0.0660144	0	0.0592143	0.0327093	0.143644	0.122676	0.0275339	0	0
AAR2	19.617	17.0535	28.6607	27.9654	17.3295	16.3333	23.8034	24.2719	24.5599	25.3389	21.218	18.7751	28.1359	29.5941	20.0422	19.414	13.8157	15.0175	21.0964	19.3347
AARD	0.0270144	0.0692599	0.132275	0.155151	0.138449	0.102714	0.181176	0.0868182	0.108135	0.0166941	0.040668	0.0686024	0.177268	0.0769196	0.0337476	0.174934	0.2231	0.0297442	0.0709603	0.122825
AARS	77.7294	68.1844	42.2353	38.4004	81.4376	74.4418	44.7072	43.4896	66.7391	71.9132	103.308	91.8352	54.5099	54.86	65.4439	58.8346	66.655	75.0491	54.9321	53.1692
AARS2	6.90812	7.44945	4.63386	4.45676	4.84016	6.03851	3.7565	3.8402	7.11592	6.74391	5.91654	5.80816	5.90118	7.10774	4.72897	4.64377	4.98922	4.87208	5.35183	4.87261
AARSD1	23.6156	21.6068	41.8293	38.5893	21.2732	18.9247	41.4525	47.1352	41.0607	42.8575	39.2115	32.3839	43.9858	45.2591	32.7382	29.3266	20.6463	22.8145	43.5379	44.959
AASDH	9.02606	8.20874	7.85429	8.35349	11.7115	9.55988	9.30643	10.791	6.43542	7.35585	11.2691	10.5474	4.91485	4.03812	11.3155	9.64531	11.5651	14.4797	4.48102	5.56825
AASDHPPT	30.6573	30.2584	31.2178	36.6281	31.2837	27.597	35.7901	37.4512	32.781	35.9624	30.8004	28.3577	38.4367	30.5844	34.752	30.6507	19.6597	24.918	25.6883	37.2531
AASS	9.73592	9.44017	6.33285	6.06912	14.6418	12.3835	7.56411	8.04646	3.40252	3.93335	7.62918	7.08593	3.67849	3.13076	5.43123	4.57715	6.46832	7.83015	4.63044	5.59581
AATF	53.0625	58.0231	88.5601	84.979	50.8461	55.7968	83.801	82.8547	91.8116	83.7299	50.9846	51.6872	108.199	114.173	78.3743	82.1911	42.976	45.6465	113.172	95.4394
AATK	0.0262452	0.0672884	0.112447	0.10049	0.0149452	0.0748428	0.0651918	0.105434	0.0950518	0.0702822	0.158044	0.211059	0.0574069	0.104623	0.081968	0.103003	0.1445	0.0385306	0.103411	0.0636414
AATK-AS1	0	0	0	0	0	0.0147936	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	0.26884	0.350575	0.255332	0.266212	0.878958	0.806575	0.276325	0.215998	0.0207811	0.0515574	0.376811	0.235419	0.0608278	0.0369549	0.260572	0.158263	0.995287	1.11259	0.146105	0.143305
ABCA1	2.68507	2.30886	2.40799	2.00212	2.02055	1.66076	0.853538	0.940278	4.42591	5.48826	6.29128	5.87808	4.5342	3.76714	5.42548	4.35112	6.43848	8.1244	2.69803	2.76616
ABCA10	0.460363	0.362133	0.200654	0.20531	0.369395	0.288416	0.202714	0.218563	1.96243	2.18972	2.18413	1.95732	1.72404	1.55312	0.823447	0.636464	0.452611	0.560644	1.33752	1.87746
ABCA11P	2.20826	2.01069	3.40045	3.46716	2.70403	1.91098	2.97818	3.52901	1.86296	2.48656	3.90592	2.53823	2.50548	2.42811	2.83848	1.96734	2.56088	2.58772	1.9282	2.87981
ABCA12	0.0651474	0.0923836	0.01	0.01	0.0695316	0.0821971	0	0	0.0521959	0.0445394	0.0899194	0.051953	0.0770987	0.030934	0.01	0.01	0.0510107	0.0528954	0.0321251	0.0443797
ABCA13	0.0578888	0.0596891	0.110916	0.106608	0.0365476	0.0406714	0.0750221	0.0788656	0.178468	0.192867	0.106092	0.0639162	0.357844	0.245095	0.0848943	0.0740837	0.0326637	0.0387974	0.153713	0.148766
ABCA17P	0.0214543	0.01	0.01	0.0154022	0.0183256	0.03059	0.0159873	0.01	0.0184026	0	0.0161489	0.0136207	0	0.01	0.0134008	0.0126299	0.0126558	0.0236223	0	0
ABCA2	8.1281	11.529	5.83365	4.635	8.64173	15.7589	4.46657	4.12042	8.65958	5.59766	7.96325	10.0544	4.84501	8.95743	4.91602	7.78816	13.731	8.44045	8.68425	5.04968
ABCA3	1.11853	1.1394	0.709056	0.678726	1.51273	2.01251	0.620167	0.42794	0.140868	0.0987455	0.300688	0.287429	0.0946593	0.125119	0.519834	0.552639	1.70452	1.51012	0.126793	0.054488
ABCA4	0	0.01	0.01	0	0.01	0.01	0	0	0.0274553	0.0259615	0.126488	0.106686	0.0262547	0.0273417	0.0262409	0.0105991	0.0424835	0.0330401	0.0354704	0.0436591
ABCA5	0.250426	0.281654	0.193762	0.319309	0.48529	0.448532	0.3169	0.275829	0.183732	0.192712	0.441017	0.337424	0.258374	0.1184	0.391257	0.326055	0.683211	0.850691	0.192375	0.263916
ABCA6	4.45666	4.55644	0.441782	0.451904	2.30842	1.9865	0.300206	0.438313	4.52585	5.66898	7.02503	6.92164	4.24073	3.14973	1.13761	0.968406	1.24765	1.81125	2.51328	3.66335
ABCA7	2.35848	3.49136	1.4554	1.22002	4.38784	7.44723	1.30488	1.21482	1.29324	0.862507	1.9844	2.3547	0.318006	0.945682	1.84448	3.09255	7.21169	3.98415	1.3536	0.88136
ABCA8	0.232435	0.268164	0.0189685	0.0611846	0.489728	0.309316	0.0346412	0.0497996	0.381023	0.397399	1.41131	1.27398	0.347414	0.352973	0.232294	0.155076	0.32907	0.418007	0.305275	0.486128
ABCA9	0.175238	0.121305	0.0772244	0.0654185	0.0658603	0.106606	0.0679037	0.0337905	0.256531	0.41151	0.348225	0.396061	0.321974	0.227528	0.0788094	0.0618963	0.115777	0.146639	0.216345	0.286828
ABCB1	0.189437	0.0849942	0.127542	0.101999	0.218445	0.171065	0.169398	0.106541	0.0270818	0.0702401	0.0998138	0.108241	0.062154	0.0485455	0.153825	0.172855	0.0558741	0.093861	0.167942	0.223939
ABCB10	19.4557	19.2264	25.2697	25.6755	20.2958	19.6056	23.4688	22.8974	20.0232	21.9567	10.9195	9.35112	24.4255	21.546	23.7788	21.0127	12.6294	14.4142	19.7138	25.1811
ABCB11	0	0.017978	0.011445	0	0	0.0133308	0.01	0.0150238	0.128315	0.173334	0.0844504	0.100908	0.17383	0.0745405	0.0583997	0.093568	0.0441224	0.0823551	0.116656	0.0850187
ABCB4	0.319156	0.305759	0.339427	0.358737	0.454388	0.250101	0.290154	0.189599	0.0539764	0.0437479	0.248676	0.104872	0.0258057	0.0461837	0.0368486	0.0972436	0.174164	0.155896	0.0929796	0.128751
ABCB5	0.396175	0.147487	0.134045	0.119835	0.258176	0.243277	0.194058	0.385875	0.179187	0.257753	0.31363	0.164519	0.331031	0.207863	0.162663	0.190249	0.270974	0.414116	0.143259	0.199537
ABCB6	8.12517	9.8706	4.48044	3.88149	10.339	12.4656	4.51558	3.61182	5.08051	4.73958	8.04784	7.24108	3.4216	4.10813	5.48308	6.42826	8.33179	7.90948	4.52788	3.19016
ABCB7	16.7291	16.6213	16.5823	17.6071	19.0948	17.2113	16.107	17.5421	24.6603	26.5323	39.2442	39.3175	26.9638	23.177	26.2357	24.5065	33.2651	39.1813	21.4663	23.6793
ABCB8	9.22676	10.8738	8.12352	8.19948	9.38083	14.6341	8.7385	7.94982	6.34018	4.68179	5.05619	5.16721	3.64193	5.95532	7.52738	9.85231	11.9776	9.08755	6.37241	4.51178
ABCB9	2.3908	2.90164	1.54144	1.5689	2.43609	3.23531	2.13662	1.82284	2.87885	2.45852	2.74699	3.01687	1.91915	2.47559	2.45895	3.59945	4.79299	3.38928	3.94352	2.67242
ABCC1	12.4736	10.7735	4.41377	3.65242	12.2046	11.9686	3.66096	3.01304	15.8492	16.4592	12.1612	10.9699	15.1487	16.3003	15.5071	15.3627	13.0037	14.4593	13.4256	12.2166
ABCC10	7.16491	7.84711	4.6632	4.4037	9.17975	11.5889	5.14909	4.45837	4.01395	3.70887	2.49708	2.57757	2.97105	3.60896	7.59492	8.48161	8.76284	7.01683	3.63708	2.99585
ABCC11	0.02007	0	0	0.01	0.0257164	0.01	0	0.01	0.0401741	0.0248077	0.0604333	0.114695	0.0439037	0.0333992	0.01	0.011815	0.011837	0.0442004	0.0131798	0.0456308
ABCC12	0	0	0	0	0	0	0	0	0.0147695	0.0212815	0.0388822	0.032795	0.0564946	0.0196112	0.01	0.01	0	0	0.0113074	0.0156576
ABCC13	0.0489353	0.0522755	0.0299514	0.0351312	0.041799	0.0310102	0.0607762	0.0262112	0.139915	0.0604814	0.0491122	0.0414234	0.0356792	0.0371564	0.0509436	0.067218	0.134712	0.0179601	0.0428471	0.0148328
ABCC2	14.3015	12.094	3.81004	3.54477	15.0703	12.3748	2.9764	2.70614	26.0873	30.2898	65.8238	60.7526	26.7402	22.57	16.8472	14.8503	38.2707	45.3664	18.2043	20.4052
ABCC3	29.8126	27.0927	25.5551	21.5022	50.2452	52.864	22.061	20.6933	8.53888	9.52445	22.6941	21.9103	8.23683	9.19267	10.7453	10.7418	30.9884	29.6496	10.5637	7.91589
ABCC4	5.36686	5.11477	6.85233	6.98005	5.64497	5.38924	6.38807	6.60706	3.75539	4.12884	2.96643	3.0687	5.44759	4.75366	3.58275	3.14363	2.88188	3.47084	3.95386	5.25032
ABCC5	9.21638	8.09197	5.80413	5.22162	14.9332	12.2924	7.7395	7.561	6.3625	7.80115	6.79594	5.74507	7.49858	6.47626	8.32382	6.84462	6.77483	7.44933	9.8617	11.8747
ABCC5-AS1	0	0	0	0	0	0.0766446	0	0	0	0	0	0	0.176369	0	0	0	0	0	0	0
ABCC6	0	0.01	0.0508892	0.01	0	0.0372086	0.0194465	0.0668016	0.0574934	0.0513313	0.519548	0.360465	0.090856	0.0148611	0.0760681	0.11778	0.184729	0.485349	0.17456	0.170526
ABCC6P1	0	0	0	0.0121751	0.0144859	0	0	0	0	0	0.0765917	0.0861344	0	0	0.010593	0.0299509	0.0200082	0.0373457	0.0222737	0.0154214
ABCC6P2	0	0	0	0	0	0	0.0634384	0	0.0486814	0	0.128159	0.162142	0	0	0	0	0	0	0	0.0774127
ABCC8	0	0.01	0	0.01	0	0	0	0	0	0	0.0269531	0.01	0	0	0	0.0105399	0.0211231	0	0	0
ABCC9	0.831582	0.870351	0.699041	0.687685	0.768754	0.647875	0.666744	0.693502	1.56805	1.4929	1.33112	1.2096	1.95709	1.69344	0.940226	0.774594	0.732717	0.88003	1.31339	1.45494
ABCD1	3.2238	4.76596	2.10168	1.9331	2.96467	5.94088	1.80404	1.63745	4.70407	2.66392	4.23955	5.23827	1.79665	3.73503	3.53354	7.14043	11.7163	6.14715	5.38587	2.39237
ABCD2	1.1564	1.19445	0.595764	0.866028	1.73391	1.56183	0.86793	0.975895	0.0761179	0.138812	0.363204	0.295778	0.0727893	0.0379015	0.311791	0.239981	0.598729	0.824413	0.0491696	0.060521
ABCD3	33.6456	36.9681	39.4381	41.7517	42.2938	39.4746	44.8189	47.5734	32.1337	32.4513	24.5446	24.032	38.8004	33.7492	47.4734	46.723	30.905	38.8574	46.8539	58.514
ABCD4	7.02141	6.42202	4.03682	3.9148	7.57805	8.12655	5.05974	4.20634	5.10685	4.7029	6.06865	6.35854	4.7782	4.93382	5.46043	5.2468	7.75865	7.68928	5.038	3.99312
ABCE1	51.7923	52.208	90.244	111.456	44.7317	40.5586	84.7988	88.6155	100.673	108.004	63.5698	59.7888	132.206	104.576	82.7573	74.4034	34.0837	38.5424	92.0632	120.558
ABCF1	54.1861	49.3904	48.8569	47.7915	51.4311	49.4273	49.5677	47.5132	46.4408	47.4502	29.5044	26.0171	50.5966	53.1691	51.2435	49.5768	30.2525	34.9887	51.8082	46.2535
ABCF2	47.6021	44.8703	70.8898	71.0578	41.837	39.5484	68.0492	70.2871	74.2869	75.7503	36.2422	28.9109	82.1146	83.1047	57.4606	57.6781	22.219	25.0042	82.4261	75.9853
ABCF3	24.7253	22.8462	21.739	20.1734	25.7905	27.4225	25.9965	25.593	20.4755	21.949	22.2245	17.7827	18.613	21.655	24.5187	24.1388	23.3153	21.8387	21.0961	18.2001
ABCG1	2.79628	3.28425	3.29977	2.75698	4.52965	4.82829	2.0962	1.91655	2.44201	2.05321	3.14672	3.20137	0.697859	1.11235	4.34708	4.74983	7.41518	6.6091	1.13024	1.18492
ABCG2	5.60196	4.9517	4.7278	5.0954	6.92611	6.8354	4.25029	4.6362	7.88091	8.73472	3.37896	3.13674	8.01665	6.7486	10.1905	9.35327	11.2722	13.353	7.14164	8.25844
ABCG4	0.0376297	0.0241189	0.0383869	0.0450254	0.085715	0.0950985	0.0560833	0.05039	0.0502103	0.0387576	0.018881	0.0875997	0.0274355	0.021429	0.0626803	0.0516899	0.13319	0.0828666	0.0741356	0.12547
ABCG5	0	0	0	0	0	0	0	0	0	0.0104141	0	0	0	0.01	0	0	0	0.018555	0	0
ABCG8	0	0	0	0	0.0444995	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114038	0.0157911
ABHD1	0.447324	0.352879	0.252729	0.247029	0.146958	0.392494	0.256414	0.304108	0.23612	0.233906	0.673411	0.546139	0.263427	0.195952	0.150451	0.0607695	0.405962	0.151547	0.203368	0.156448
ABHD10	23.2043	25.4774	24.5474	29.0869	24.956	23.9501	28.0157	29.3459	21.344	21.8986	24.9174	24.1128	20.9353	18.607	25.8218	27.4155	23.7608	25.0514	22.5783	26.7487
ABHD11	8.70011	10.6737	16.0214	14.7597	9.12664	11.6592	17.016	16.7951	12.5932	10.5573	8.3582	6.72389	10.1427	14.429	12.0505	15.2677	12.7089	10.4754	14.915	11.5087
ABHD12	29.8478	28.7415	41.7616	40.8082	34.1594	37.0688	44.8754	42.6098	21.658	20.6416	22.3338	23.4861	20.0209	23.504	24.2103	27.0173	35.2714	29.8878	27.8091	24.6845
ABHD12B	0	0	0	0	0	0.0159547	0	0	0	0.062238	0	0	0.0367141	0.0573532	0	0.0395254	0	0	0.022045	0.0610537
ABHD13	3.06821	3.08957	4.86928	5.57294	3.53732	2.92843	5.07875	5.78566	2.39688	3.12903	1.80467	2.2566	4.40077	3.24627	3.06322	2.60076	1.3253	2.02142	2.79108	3.65904
ABHD14A	2.39885	2.74666	5.11114	5.18289	4.01938	4.58032	5.42396	4.45461	7.64121	6.44723	4.90372	6.98282	5.3845	7.85566	5.01854	6.7219	7.78511	5.13978	8.17238	5.60897
ABHD14A-ACY1	1.96005	2.25067	2.17699	1.12853	0.626961	0.0831522	0.534295	1.9927	2.70415	3.56494	6.75296	1.87195	2.64435	2.18875	1.88392	0.581586	1.2912	2.83921	2.91356	3.33061
ABHD14B	16.5405	15.6215	12.2966	12.4859	19.3179	18.0797	10.5369	11.4062	28.345	29.9515	38.8701	35.8513	21.5464	25.0486	25.6337	26.7137	39.2654	39.0552	26.7897	24.8839
ABHD15	4.63853	4.7552	3.53638	3.05741	5.52607	5.93687	3.73954	3.56335	4.80861	4.33326	3.47106	3.03097	2.9815	3.86186	7.31111	7.99235	6.84865	6.42142	3.82096	3.5643
ABHD16A	14.8954	13.4316	10.4056	9.96058	14.836	14.8341	10.7637	9.98893	14.8841	13.8891	18.8873	15.8591	13.5819	15.467	13.6082	13.599	17.4973	17.6778	16.8909	15.495
ABHD16B	1.03308	3.76382	3.4444	2.36159	0.766313	3.20438	2.65389	2.00952	2.82939	0.722415	0.572974	1.91583	0.594651	2.33775	0.424528	2.32061	2.88667	0.598669	2.17806	0.766359
ABHD2	19.3632	16.5698	17.5363	16.1192	17.8617	14.9511	18.2392	17.6796	8.97021	10.8606	8.02499	7.18464	12.0713	10.1183	12.4557	10.4372	8.51085	9.6417	7.77079	9.24151
ABHD3	10.9829	12.0173	17.2696	18.2437	15.7989	13.9233	19.2621	18.036	7.35783	8.95958	5.22305	5.42645	9.29767	7.85077	13.6629	11.9977	8.89138	8.72802	13.2176	19.1802
ABHD4	8.19509	6.54802	4.26691	3.70038	10.4841	10.4863	3.60607	3.9476	3.5306	4.1248	10.6624	10.4762	2.49414	2.71354	4.25026	4.06032	8.5748	9.30903	2.03333	1.77028
ABHD5	5.78514	5.42635	9.20013	9.9808	5.86313	4.90338	9.57445	10.3831	8.72842	9.81217	8.74656	8.23615	14.3242	10.9469	11.8878	10.2316	6.32586	6.91807	12.0839	15.9252
ABHD6	3.26042	3.19098	3.89555	3.72828	3.55205	3.74871	4.8883	5.25481	7.71449	6.38236	4.02657	4.0779	5.35937	6.00375	6.35349	6.98789	5.29774	6.16945	7.12839	6.42669
ABHD8	1.17832	2.39646	2.17748	1.88707	1.4323	3.71555	2.16139	1.82061	1.16621	0.532124	1.53508	2.22985	0.322171	0.825871	0.82093	1.85422	3.79625	2.07084	1.16069	0.45332
ABI1	20.9596	19.7757	17.6484	19.7596	20.4249	18.4691	20.1854	20.4098	11.5974	12.6926	14.2308	12.8689	14.0447	12.2773	18.3278	16.0308	12.9146	15.5024	14.8055	16.7135
ABI2	16.6018	14.8921	10.5364	9.91422	14.2912	12.7482	9.43328	9.15867	10.5644	11.7702	9.34919	9.69694	12.5489	10.7184	8.93219	8.23394	9.67284	11.4865	7.87929	8.9415
ABI3	0	0	0	0	0	0	0	0	0.0388388	0.013979	0.102247	0.0143612	0	0.0644731	0	0.0133166	0.0266878	0.0249066	0.0883931	0.0205697
ABI3BP	3.38372	3.23396	1.1887	1.20741	1.25701	1.06103	1.35772	1.39149	16.8591	19.203	14.9201	13.1308	20.682	16.3105	11.9372	10.8084	8.61016	10.9345	20.0971	22.1848
ABL1	32.2797	32.7064	15.5461	14.0483	27.8802	35.8242	15.8679	13.7801	24.6867	21.1669	28.8501	28.1546	22.0134	28.4583	16.5556	19.3316	22.6495	19.9157	26.9977	21.5272
ABL2	2.74816	2.64689	5.10499	4.20991	2.6746	2.21052	5.12481	4.72739	4.74705	5.23301	4.22258	3.89621	8.26269	7.30651	4.6011	4.84753	3.08004	3.38035	9.12381	10.1797
ABLIM1	9.19338	8.0004	4.48313	4.38087	10.6494	8.83016	4.55755	4.3548	15.8556	18.0168	15.0633	13.0093	20.2061	16.7902	11.6758	10.185	6.51386	7.82008	17.911	21.1345
ABLIM2	6.63259	7.29389	10.5081	9.28404	9.69882	11.079	10.8055	11.0703	0.988505	0.75911	3.4254	2.90679	0.781884	0.936203	1.92645	2.2332	4.36306	4.54749	0.925243	0.6739
ABLIM3	64.1106	57.6892	47.4522	43.9683	48.7434	44.9995	30.436	30.214	27.0238	26.1545	52.4228	46.462	25.1746	25.339	20.6461	19.4279	61.0152	67.8211	19.267	17.7048
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0182972	0	0	0	0
ABP1	0	0	0	0	0	0	0	0	0.0547415	0.035493	0.115288	0.1094	0.0418732	0.0654189	0.0717544	0.0450829	0.112941	0.189732	0.0502905	0.0348157
ABR	26.571	25.0134	15.4556	13.5	18.7819	20.0907	11.3387	10.1406	12.2283	11.6914	9.25534	8.55242	11.0621	12.6052	9.7845	10.1333	12.2315	12.1924	9.06646	7.83998
ABRA	0.0167596	0	0.0102579	0	0	0.0159307	0.0124889	0.0134654	0	0.0103569	0	0.0106401	0	0	0	0	0	0	0	0
ABRACL	36.4025	39.87	58.8842	66.5308	31.6064	30.8315	66.1766	66.9582	52.9176	53.108	43.058	41.7772	66.3534	57.0269	54.0543	47.844	25.328	28.5559	62.3022	81.2391
ABT1	8.38546	8.18178	14.3301	15.8249	6.18749	7.04348	12.9614	12.7074	15.5367	15.1612	10.7176	10.8187	14.9594	16.2998	9.96988	10.0317	7.68921	6.69609	10.7407	9.98443
ABTB1	4.27479	4.02095	3.46161	2.83971	5.00399	7.05307	2.95051	3.51663	1.22773	1.12523	7.59933	6.90356	0.738551	0.952752	2.37666	2.7371	9.85343	7.65362	1.27662	1.07463
ABTB2	5.92078	6.76212	6.58533	5.61522	5.70214	7.63798	5.76075	5.23199	4.09824	3.42845	1.60193	2.8062	3.04371	4.17451	4.3686	5.76098	5.18265	3.70517	9.32313	6.85606
ACAA1	25.2089	26.4774	30.6873	28.7972	27.35	31.8663	31.534	31.8151	22.9002	20.0373	22.5301	23.2099	17.0659	22.8437	28.6576	29.4438	35.8654	34.1854	29.172	24.4864
ACAA2	53.7792	50.272	54.6586	57.6025	54.208	53.7261	58.6678	61.0517	54.8242	62.0257	69.5805	67.5013	61.1668	55.3429	59.0516	55.0291	61.8454	72.4871	61.6615	66.1326
ACACA	12.7217	10.5934	8.44583	7.25774	15.3259	12.3226	9.23982	8.32726	20.2529	23.7691	21.1463	18.674	21.8836	19.1195	18.5118	15.4889	16.3893	20.0016	19.5382	21.7122
ACACB	0.930812	0.841913	0.321006	0.318855	1.40852	1.54949	0.359135	0.337864	0.362054	0.338706	0.839336	0.63294	0.284212	0.169515	0.463354	0.411664	0.925359	0.884408	0.412675	0.292164
ACAD10	6.76539	6.73569	5.40484	4.70454	7.77266	8.61874	4.78188	4.52076	3.62789	3.56921	7.45336	6.48649	3.08292	2.81701	5.28158	4.77628	10.7387	10.8824	3.03622	3.00851
ACAD11	11.8414	10.8271	8.46587	8.53912	13.4247	12.8931	10.142	10.0551	6.90094	7.50067	14.9609	13.2612	7.19959	6.08862	7.81125	7.62542	14.6443	15.1638	6.43279	6.61621
ACAD8	14.1457	13.1955	16.9755	16.2394	19.9248	18.1351	18.2756	18.2258	9.0436	9.73355	10.2127	7.97529	10.9067	11.3583	16.2679	15.4832	14.6944	15.0568	15.5291	15.6849
ACAD9	27.2086	28.6348	36.4008	35.7678	24.6675	27.8889	34.9768	34.4284	23.028	20.1567	16.8316	16.0048	19.3196	23.0101	19.5369	20.9797	18.6367	19.3237	23.5521	19.1143
ACADL	0.29912	0.239653	0.263177	0.456326	0.335343	0.195476	0.362211	0.135184	0.0427621	0.0577651	0.168863	0.0712134	0.0817843	0.0212926	0.035032	0.0550278	0.0882252	0.123505	0.0245537	0.0509999
ACADM	16.8881	17.5355	26.3491	30.8291	22.0335	18.6082	26.9991	28.7505	20.6085	23.4218	22.3329	19.0668	27.4294	20.6905	28.5788	23.3846	19.9381	28.1241	25.9405	38.3562
ACADS	1.92103	2.25471	2.94711	3.15229	2.15233	4.10264	2.91881	2.94658	2.04011	1.37216	3.34266	5.30607	0.791272	1.79014	1.34017	2.33522	6.97588	3.68093	1.75303	1.40656
ACADSB	7.44936	7.68249	10.7284	11.0329	11.3071	9.61241	13.034	13.9095	4.86898	5.22037	5.16985	5.30162	6.60729	5.34093	8.60813	7.52527	8.28776	9.39145	7.29385	9.34803
